MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
1:Del:C:0	0.00E+00	4.98E-08	1.02E-04	0.00E+00	3.42E-02	3.61E-07	5.43E-03	5.22E-03	1.91E-02	5.18E-02	5.22E-07	0.00E+00	3.00E-02	5.11E-02	1.97E-06	2.82E-08	2.58E-02	3.32E-07	1.69E-02
1:Del:C:1	0.00E+00	7.76E-08	1.29E-03	2.80E-46	2.57E-02	9.04E-03	2.86E-07	0.00E+00	8.27E-03	2.99E-46	3.15E-03	3.94E-03	8.05E-03	7.09E-02	3.07E-02	1.68E-03	1.09E-02	3.86E-06	4.58E-03
1:Del:C:2	1.82E-08	1.20E-08	0.00E+00	1.60E-04	8.72E-04	1.32E-03	4.85E-08	2.15E-03	0.00E+00	5.05E-08	8.95E-04	2.44E-04	1.29E-02	2.92E-04	3.33E-03	1.65E-03	4.35E-03	0.00E+00	3.11E-07
1:Del:C:3	1.44E-03	0.00E+00	1.80E-03	9.25E-07	3.79E-04	3.99E-05	2.46E-03	3.76E-03	5.22E-03	7.60E-03	2.25E-03	2.32E-27	8.99E-04	4.38E-03	6.57E-04	1.40E-46	6.50E-03	1.58E-02	0.00E+00
1:Del:C:4	4.01E-04	7.88E-08	1.42E-03	5.30E-04	3.68E-03	6.10E-04	4.25E-04	3.33E-03	6.50E-03	1.97E-03	0.00E+00	5.78E-08	3.64E-03	1.04E-02	1.69E-02	2.92E-03	3.43E-03	1.51E-03	6.09E-03
1:Del:C:5	3.69E-04	5.73E-08	3.19E-03	0.00E+00	1.40E-46	3.36E-04	1.84E-03	0.00E+00	4.37E-03	2.14E-03	6.31E-04	0.00E+00	2.61E-06	9.90E-03	4.07E-03	3.28E-03	3.73E-03	1.44E-03	4.84E-02
1:Del:T:0	2.67E-03	0.00E+00	0.00E+00	3.17E-08	1.15E-02	1.25E-02	8.50E-03	1.48E-02	4.56E-03	5.16E-02	9.73E-03	1.31E-07	1.45E-02	3.08E-02	1.78E-02	1.69E-03	1.23E-02	1.09E-02	7.54E-03
1:Del:T:1	2.34E-09	1.76E-04	0.00E+00	0.00E+00	5.81E-03	2.09E-03	6.04E-03	2.67E-03	7.93E-04	1.32E-02	1.87E-03	3.54E-08	0.00E+00	2.39E-02	1.71E-02	5.33E-03	1.68E-02	0.00E+00	8.53E-03
1:Del:T:2	0.00E+00	0.00E+00	1.26E-03	0.00E+00	2.24E-02	2.99E-46	2.25E-02	4.05E-03	1.21E-02	4.91E-03	4.28E-03	0.00E+00	1.64E-02	1.67E-02	7.78E-02	1.06E-03	1.14E-02	2.70E-07	5.32E-03
1:Del:T:3	3.38E-04	0.00E+00	4.38E-03	1.70E-02	7.60E-46	1.40E-46	5.93E-02	1.87E-46	3.12E-02	3.18E-02	4.56E-03	3.92E-02	3.92E-02	4.06E-02	2.14E-02	1.66E-02	1.64E-02	5.12E-05	7.29E-03
1:Del:T:4	1.36E-03	8.51E-04	4.64E-03	5.61E-46	2.55E-03	2.80E-46	7.81E-03	5.09E-07	2.60E-02	5.44E-02	0.00E+00	1.87E-03	1.40E-46	3.49E-02	6.93E-02	1.40E-46	2.45E-02	1.40E-02	1.01E-02
1:Del:T:5	4.07E-08	8.17E-08	1.13E-02	1.20E-03	5.31E-46	5.43E-07	8.41E-07	1.32E-07	1.02E-01	3.82E-07	6.87E-07	1.75E-08	9.62E-46	1.24E-02	1.60E-06	3.61E-06	7.09E-02	1.96E-02	1.69E-02
1:Ins:C:0	6.40E-09	9.13E-05	4.21E-08	5.27E-09	0.00E+00	6.58E-04	6.28E-04	1.36E-06	4.31E-07	1.21E-03	1.00E-03	0.00E+00	0.00E+00	1.25E-03	4.26E-04	0.00E+00	3.85E-08	0.00E+00	0.00E+00
1:Ins:C:1	0.00E+00	3.66E-08	8.35E-05	1.28E-04	2.66E-07	2.14E-07	1.46E-04	5.01E-04	5.97E-04	1.95E-04	1.57E-07	0.00E+00	4.06E-04	1.02E-04	1.45E-03	5.32E-06	4.33E-03	4.26E-07	2.01E-03
1:Ins:C:2	1.94E-08	7.89E-05	1.21E-07	0.00E+00	2.05E-08	7.56E-08	7.04E-07	2.35E-07	1.37E-04	2.73E-07	1.01E-03	1.92E-08	5.27E-08	1.40E-46	4.47E-07	1.47E-07	1.41E-03	0.00E+00	6.08E-08
1:Ins:C:3	3.98E-04	1.25E-04	2.19E-08	3.81E-06	3.27E-08	2.41E-08	8.57E-08	0.00E+00	1.52E-03	6.45E-08	4.03E-04	7.41E-05	8.44E-04	5.70E-04	2.41E-04	2.10E-07	4.22E-04	3.23E-03	1.88E-03
1:Ins:C:4	2.11E-04	2.36E-07	4.22E-04	3.79E-09	0.00E+00	2.47E-04	2.47E-07	3.50E-04	7.68E-04	2.43E-04	7.31E-04	3.71E-04	2.50E-03	1.48E-04	4.27E-08	1.53E-03	5.83E-03	4.60E-03	3.41E-03
1:Ins:C:5	3.28E-03	4.07E-08	1.26E-03	3.06E-04	0.00E+00	0.00E+00	3.67E-04	0.00E+00	2.95E-07	3.63E-03	0.00E+00	6.96E-04	2.13E-03	5.38E-04	2.22E-02	0.00E+00	5.58E-03	7.48E-02	2.36E-02
1:Ins:T:0	1.06E-03	1.27E-04	5.14E-04	1.20E-08	3.92E-03	0.00E+00	2.09E-04	3.72E-03	7.25E-03	2.52E-03	1.88E-03	0.00E+00	2.13E-03	5.01E-03	6.20E-03	1.89E-03	6.28E-03	8.23E-03	8.24E-03
1:Ins:T:1	1.45E-04	1.93E-04	6.39E-05	1.70E-03	4.80E-03	2.15E-03	4.58E-03	1.80E-03	5.46E-03	6.64E-03	6.52E-04	2.49E-03	1.98E-03	1.14E-02	2.82E-03	2.72E-03	2.71E-03	3.57E-04	1.17E-02
1:Ins:T:2	4.30E-08	1.98E-08	7.54E-08	4.99E-05	2.33E-04	6.40E-05	8.18E-04	1.42E-03	5.32E-04	2.19E-03	1.23E-03	0.00E+00	1.32E-03	7.43E-04	3.19E-03	1.13E-07	3.86E-03	1.00E-03	1.33E-03
1:Ins:T:3	7.84E-04	8.76E-08	4.30E-09	0.00E+00	1.98E-07	3.43E-04	2.34E-08	3.21E-05	2.27E-04	7.60E-03	8.05E-05	0.00E+00	1.45E-03	5.06E-04	1.76E-07	5.72E-07	1.72E-03	1.23E-02	1.56E-02
1:Ins:T:4	1.22E-03	1.23E-07	4.57E-04	0.00E+00	6.17E-04	3.62E-04	4.17E-04	5.69E-04	1.55E-03	2.54E-03	0.00E+00	1.07E-08	1.37E-07	2.88E-03	2.88E-03	1.45E-03	2.00E-02	1.68E-02	3.99E-02
1:Ins:T:5	8.56E-03	8.27E-08	1.14E-07	2.10E-07	1.29E-07	1.56E-03	6.03E-07	5.75E-04	4.26E-37	2.88E-03	2.07E-03	5.66E-04	4.20E-02	6.95E-07	1.79E-02	1.86E-07	2.61E-02	1.04E-01	2.00E-02
2:Del:R:0	9.48E-05	2.51E-04	1.82E-05	5.33E-04	2.22E-03	4.98E-03	8.26E-04	7.41E-04	4.03E-03	9.26E-03	2.57E-03	8.89E-04	8.51E-03	1.72E-02	3.27E-02	0.00E+00	3.30E-03	5.66E-03	4.46E-02
2:Del:R:1	1.02E-07	6.11E-08	9.22E-07	1.90E-02	8.58E-07	1.70E-06	2.76E-02	9.64E-07	2.34E-02	4.30E-06	9.18E-07	4.92E-02	6.69E-02	1.63E-06	4.93E-07	8.26E-07	5.13E-03	6.54E-08	6.79E-18
2:Del:R:2	1.76E-04	1.64E-08	2.43E-04	3.67E-04	1.57E-04	0.00E+00	7.65E-04	8.29E-08	2.21E-03	0.00E+00	1.24E-03	2.50E-04	5.59E-03	1.58E-03	0.00E+00	3.86E-03	7.07E-03	8.87E-04	2.21E-03
2:Del:R:3	1.44E-04	7.10E-05	2.42E-07	2.03E-08	2.14E-08	0.00E+00	3.81E-08	7.50E-05	5.51E-04	3.06E-08	1.52E-08	1.26E-07	1.77E-03	1.45E-07	1.11E-07	1.40E-03	4.08E-04	9.42E-07	5.07E-04
