NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	58.827	23.199	14.282	14.972	0.124	0.984	30000.0
2	61.754	23.826	14.825	14.996	0.13	0.985	50000.0
3	59.059	23.236	14.035	14.766	0.127	0.984	50000.0
4	62.006	24.564	15.664	16.315	0.13	0.981	40000.0
5	59.66	23.535	14.057	14.73	0.13	0.985	20000.0
6	61.805	24.059	15.15	15.508	0.131	0.984	30000.0
7	61.363	24.249	15.3	16.177	0.132	0.981	40000.0
8	61.68	24.082	14.787	15.137	0.137	0.985	40000.0
9	61.026	24.185	15.029	15.73	0.127	0.983	20000.0
10	60.092	23.535	14.785	15.348	0.126	0.983	30000.0
