Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
V1	171	3	6	44	1	1	0	10	105	1	2	11	0	26	23	0	0
V2	75	695	170	1	46	3	6	38	13	13	74	18	27	49	7	10	0
V3	55	15	21	0	41	0	0	0	0	37	0	4	0	4	0	4	0
V4	105	24	3	31	20	46	19	2	0	55	0	16	0	14	4	0	0
V5	1	38	47	1	1	1	0	10	25	3	12	1	0	25	0	4	0
V6	23	6	21	84	21	19	34	81	0	16	25	48	66	7	0	5	0
V7	0	5	2	34	0	0	0	42	5	0	22	3	0	0	5	0	0
V8	0	71	42	12	21	68	32	36	6	26	32	29	25	4	0	13	0
V9	8	2	1	122	2	0	0	0	0	0	0	2	0	0	0	3	0
V10	14	8	0	20	1	36	23	38	0	0	12	14	0	12	0	0	0
V11	77	40	28	8	7	55	68	1	23	3	4	0	11	0	0	0	0
V12	86	0	1	0	6	0	0	1	2	16	0	0	0	1	1	0	0
V13	7	54	7	4	36	111	162	18	0	28	59	0	0	0	27	8	0
V14	75	8	5	41	3	15	8	160	0	0	85	65	0	36	0	0	0
V15	43	33	27	3	23	54	28	7	65	45	16	0	11	3	0	6	0
V16	182	28	13	21	9	3	6	1	4	5	1	0	4	7	3	4	1
V17	2	93	242	0	5	5	3	7	0	0	5	17	0	0	0	0	0
V18	45	8	5	4	32	53	35	10	0	54	11	7	0	0	1	9	0
V19	12	0	2	70	1	17	14	0	48	0	0	11	16	0	7	2	0
V20	170	0	1	6	1	0	0	0	112	0	0	19	0	5	3	0	0
V21	80	60	27	86	7	10	23	9	5	3	0	0	1	1	0	2	26
V22	29	54	12	27	8	0	23	33	0	1	17	6	7	10	0	3	21
V23	594	215	120	7	28	0	4	0	188	34	0	47	0	46	0	10	0
V24	22	180	71	1	9	17	0	38	0	12	2	10	0	12	0	1	20
V25	0	39	61	152	45	27	24	9	6	58	0	2	0	1	19	17	0
V26	0	13	6	12	4	97	33	8	18	10	0	0	8	0	19	0	0
V27	134	11	2	5	24	7	9	12	0	9	21	11	18	28	13	9	0
V28	125	11	2	25	18	31	25	0	4	4	0	14	3	25	10	1	0
V29	43	7	26	1	1	20	10	84	0	3	15	20	46	13	0	10	59
V30	0	24	55	7	231	13	8	29	6	157	45	0	43	9	0	0	0
V31	14	19	48	225	7	8	19	0	0	2	0	0	14	0	12	0	0
V32	96	8	2	0	49	33	53	7	0	21	10	1	0	0	0	21	0
V33	39	38	33	57	74	25	41	13	0	116	4	0	0	6	0	50	0
V34	0	1	8	41	8	0	0	0	0	3	0	0	0	0	2	4	0
V35	4	43	81	229	55	0	6	62	0	28	20	24	2	8	0	4	0
V36	9	134	175	80	0	16	0	65	0	0	56	78	0	19	0	0	0
V37	63	37	10	1	16	13	8	5	17	11	0	4	0	1	0	0	6
V38	205	6	7	177	0	19	16	3	30	3	0	0	17	12	0	2	0
V39	51	4	0	9	142	10	6	15	16	42	12	4	5	16	0	0	0
V40	0	0	0	6	4	0	3	2	0	2	3	1	0	0	2	0	0
V41	22	2	9	21	9	1	0	1	0	3	3	10	0	17	1	0	0
V42	0	32	14	5	1	30	55	23	0	2	8	2	11	4	0	5	0
