Sample Names	MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
V1	1:Del:C:0	0.030435141968198562	0.0013985474206260244	0.03767352284646913	0.6206281995839787	0.0	0.002193891620999582	0.3076706965597282
V1	1:Del:C:1	0.00024446156984367373	0.0	0.007705470716177221	0.5648656646478606	0.0	0.0008299821021419356	0.4263544209639766
V1	1:Del:C:2	0.006885233677810306	0.04096362185159392	0.0	0.7882088117199268	0.0	1.6058784663754575e-06	0.16394072687220246
V1	1:Del:C:3	0.024912891729092432	0.13501721253319818	0.0	0.6515604369579384	0.0	0.0	0.18850945877977102
V1	1:Del:C:4	0.0	0.30200056261649993	0.18453203658130077	0.052222310964835615	0.0	0.0	0.4612450898373637
V1	1:Del:C:5	0.0013687564347511932	0.0038080184612062115	0.9846633373176602	5.482485728515801e-46	0.0	0.000255407130329621	0.009904480656052867
V1	1:Del:T:0	0.0003880029922791016	0.02214601002235959	0.017075751967164148	0.40783887575570604	0.0	0.012831131006520079	0.5397202282559711
V1	1:Del:T:1	1.4492959109459342e-07	0.01660656022165705	0.0018330445374401224	0.2838464650054988	0.0	0.011223443043232528	0.6864903422625805
V1	1:Del:T:2	0.009786646034526834	0.042031737542081456	0.020182796317602558	0.0177853997857966	0.0	0.002358194544709867	0.9078552257752828
V1	1:Del:T:3	0.000970875211370391	0.10866050281688562	0.011866700258176273	0.054078439116151775	0.0	0.007604608307777506	0.8168188742896384
V1	1:Del:T:4	0.0344988934928715	0.32565739493529355	0.024762066626542775	2.480784040214777e-45	0.0	0.0	0.6150816449452923
V1	1:Del:T:5	2.640539659794155e-46	0.9867058146548554	0.00015948839034571314	0.0017192712021744823	0.0	0.0007865264171557715	0.010628899335468655
V1	1:Ins:C:0	3.2215861989452623e-07	0.049839166614173015	0.0	0.5858646794639972	0.0	4.826080510662623e-07	0.36429534915515877
V1	1:Ins:C:1	1.6702225638065112e-06	0.01422719691698478	0.006724035851307523	0.6626034341651563	0.0	1.0880554162561803e-06	0.3164425747885712
V1	1:Ins:C:2	8.139888069656337e-07	0.0004769919408298262	4.307037492968661e-05	0.005672779579674159	0.0	0.9938060570383489	2.8707741034385814e-07
V1	1:Ins:C:3	0.026688615801436374	0.016207231010051955	2.206509886860914e-06	0.05573801503008999	0.0	0.9012646352044793	9.929644405547579e-05
V1	1:Ins:C:4	0.29175256744733624	0.21035453186406144	2.638724795331142e-06	0.097229054663729	0.0	0.0	0.400661207300078
