Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
V1	21	13	25	30	0	11	37
V2	135	13	42	0	30	0	73
V3	1	126	53	20	6	19	5
V4	240	0	0	0	24	0	0
V5	360	14	38	17	132	6	8
V6	46	80	0	0	33	79	0
V7	2	229	10	5	140	3	4
V8	6	57	0	0	57	8	0
V9	8	0	72	0	117	87	55
V10	143	9	0	39	60	0	51
V11	0	461	18	25	0	32	0
V12	181	233	4	33	14	37	26
V13	60	0	233	70	0	0	113
V14	97	3	110	31	26	100	67
V15	54	148	273	0	0	0	130
V16	4	9	439	19	8	39	31
V17	157	15	61	144	31	6	18
V18	113	24	133	0	54	77	24
V19	2	0	19	13	19	0	0
V20	6	17	75	45	1	66	19
V21	238	28	0	24	0	25	0
V22	11	7	0	0	5	9	0
V23	27	6	0	0	29	77	0
V24	41	6	5	4	58	10	2
V25	53	21	228	0	0	0	0
V26	0	94	41	20	0	18	0
V27	0	0	15	84	102	0	82
V28	236	14	27	14	16	5	5
V29	25	2	3	125	12	12	11
V30	31	12	0	0	65	6	0
V31	31	15	49	12	0	8	0
V32	10	28	7	26	182	102	4
V33	32	66	95	51	30	17	190
V34	0	40	66	24	72	0	0
V35	13	5	37	45	3	41	5
V36	8	128	42	0	0	5	21
V37	3	76	4	23	32	13	43
V38	0	17	28	0	17	5	0
V39	7	87	0	0	22	16	0
V40	15	58	11	146	32	15	61
V41	1	77	4	4	5	4	3
V42	38	49	193	0	0	160	58
V43	224	0	0	52	0	0	16
V44	15	42	9	16	19	0	21
V45	16	131	11	0	0	97	0
V46	74	43	5	117	34	25	62
V47	5	84	209	147	36	156	21
V48	3	89	21	0	0	4	0
V49	0	135	0	34	15	14	0
V50	327	11	0	31	0	33	22
V51	36	0	127	35	74	0	0
V52	0	187	0	28	30	0	32
V53	25	16	87	0	0	0	20
V54	34	14	61	49	0	0	55
V55	0	218	0	0	84	46	0
V56	5	56	125	79	5	43	20
V57	4	0	17	15	4	0	30
V58	59	21	50	0	33	15	0
V59	26	101	10	76	81	2	5
V60	305	0	0	35	0	45	0
V61	0	36	169	299	0	0	113
V62	43	53	26	182	28	191	39
V63	361	0	256	125	0	0	130
V64	20	129	125	23	8	21	10
V65	13	42	156	40	14	20	34
V66	98	523	118	0	190	0	34
V67	2	12	14	12	12	36	31
V68	17	273	160	0	0	96	42
V69	23	8	117	88	54	26	27
V70	0	72	62	0	0	42	0
V71	30	3	0	0	0	42	3
V72	89	1	3	3	17	34	2
V73	51	11	0	0	0	202	0
V74	47	10	24	4	152	94	7
V75	76	116	0	0	40	0	17
V76	36	0	372	0	127	70	0
V77	4	17	46	161	12	23	36
V78	7	35	0	0	52	3	0
V79	74	3	8	42	92	56	90
V80	97	54	22	1	109	20	17
V81	800	0	0	0	0	0	0
V82	70	0	58	306	194	43	0
V83	0	75	174	0	145	209	0
V84	9	0	166	0	0	0	0
V85	12	297	0	0	0	25	0
V86	25	348	1	14	22	1	3
V87	37	6	1	4	6	33	8
V88	4	36	12	49	0	5	5
V89	60	15	147	36	54	0	0
V90	7	153	10	1	66	6	2
V91	17	11	13	219	0	29	65
V92	78	0	43	43	100	0	94
V93	1	67	26	47	13	1	5
V94	99	63	0	0	130	18	0
V95	0	5	50	0	0	5	53
V96	203	3	17	97	132	11	64
V97	20	28	67	115	1	6	64
V98	15	56	41	0	51	41	12
V99	0	23	166	0	80	25	0
V100	0	0	0	71	0	86	61
