NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	95.988	37.277	27.612	26.211	0.221	0.956	30000.0
2	95.359	36.798	27.222	25.83	0.22	0.956	20000.0
3	96.609	37.554	27.432	26.027	0.222	0.956	30000.0
4	96.138	37.588	27.748	26.484	0.224	0.955	20000.0
5	97.801	37.771	28.063	26.446	0.22	0.955	20000.0
6	96.299	37.675	27.805	26.312	0.22	0.956	20000.0
7	96.093	37.184	28.145	26.496	0.216	0.954	30000.0
8	96.631	37.694	27.577	26.01	0.224	0.956	20000.0
9	96.558	37.377	27.944	26.298	0.224	0.955	20000.0
10	95.488	37.141	26.758	25.817	0.223	0.956	20000.0
