NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	147.811	26.174	30.278	16.133	0.115	0.981	70000.0
2	148.683	26.625	30.487	16.325	0.119	0.98	50000.0
3	148.969	26.387	30.699	16.418	0.114	0.981	40000.0
4	147.049	26.548	30.28	16.637	0.119	0.98	70000.0
5	148.497	26.546	30.575	16.311	0.118	0.981	30000.0
6	147.114	26.796	29.943	16.576	0.12	0.979	60000.0
7	145.377	26.378	29.8	16.277	0.12	0.98	50000.0
8	147.087	26.597	30.462	16.725	0.12	0.979	50000.0
9	149.861	26.779	30.719	16.643	0.12	0.979	60000.0
10	149.15	26.732	30.566	16.425	0.118	0.981	50000.0
