Samples	ID83A	ID83B	ID83C
V1	2.07E+00	1.86E+00	9.57E-01
V2	1.43E+01	1.59E+01	8.86E+00
V3	8.03E+00	8.16E+00	7.14E+00
V4	6.20E+00	3.33E+00	4.16E+00
V5	4.05E+01	2.94E+00	3.99E+01
V6	2.24E+01	2.38E+01	1.91E+01
V7	3.34E+01	1.34E+00	3.29E+01
V8	9.12E+00	9.93E+00	7.24E+00
V9	1.76E+01	1.47E+01	1.91E+01
V10	3.47E+01	2.79E+01	1.07E+01
V11	1.78E+01	1.17E+01	9.84E+00
V12	1.35E+01	9.95E+00	4.52E+00
V13	7.57E+00	5.53E+00	7.94E+00
V14	1.98E+00	3.09E+00	3.01E+00
V15	8.11E+00	8.27E+00	9.46E+00
V16	2.77E+01	4.04E+01	2.89E+01
V17	1.03E+01	6.88E+00	8.94E+00
V18	8.46E+00	5.52E+00	1.06E+01
V19	1.00E+01	1.19E+01	1.02E+01
V20	1.70E+01	1.80E+01	1.58E+01
V21	2.12E+00	3.33E+00	3.00E+00
V22	1.18E+01	1.48E+01	1.46E+01
V23	2.34E+01	2.86E+01	2.79E+01
V24	4.98E+00	2.13E+00	4.57E+00
V25	4.77E+00	1.45E+00	4.24E+00
V26	9.50E+00	1.16E+01	1.07E+01
V27	1.57E+01	1.89E+01	1.94E+01
V28	6.11E+00	3.89E+00	4.50E+00
V29	3.21E+01	2.48E+00	3.13E+01
V30	1.03E+01	5.32E+00	9.72E+00
V31	2.63E+01	3.39E+00	2.53E+01
V32	2.24E+01	8.29E+00	2.43E+01
V33	1.79E+01	1.69E+00	1.74E+01
V34	9.11E+00	1.12E+01	6.49E+00
V35	7.94E+01	4.06E+00	7.60E+01
V36	9.59E+00	8.08E+00	3.68E+00
V37	8.24E+00	1.04E+01	8.01E+00
V38	9.54E+00	4.61E+00	7.80E+00
V39	3.80E+01	3.97E+01	3.57E+01
V40	1.81E+01	5.77E+00	1.84E+01
V41	1.88E+01	2.15E+01	1.39E+01
V42	2.78E+01	5.99E+00	2.28E+01
V43	1.18E+01	1.01E+01	1.14E+01
V44	3.82E+00	6.11E+00	3.81E+00
V45	4.15E+01	4.42E+01	3.46E+01
V46	9.15E+00	3.39E+00	9.87E+00
V47	2.17E+01	6.76E+00	2.21E+01
V48	3.57E+01	2.31E+01	2.40E+01
V49	1.90E+00	9.87E-01	1.69E+00
V50	2.89E+01	1.92E+01	1.87E+01
V51	8.80E+00	3.20E+00	6.91E+00
V52	1.23E+01	1.22E+01	1.35E+01
V53	3.31E+01	2.83E+01	8.43E+00
V54	1.29E+01	1.44E+01	1.33E+01
V55	4.30E+01	4.34E+00	4.25E+01
V56	4.82E+01	5.69E+01	5.32E+01
V57	4.32E+01	4.58E+01	3.77E+01
V58	1.38E+01	2.90E+00	1.56E+01
V59	3.16E+00	3.55E+00	5.11E+00
V60	1.86E+01	3.88E+00	1.78E+01
V61	2.23E+01	3.89E+00	2.04E+01
V62	1.38E+01	1.01E+01	1.69E+01
V63	6.71E+00	3.22E+00	4.46E+00
V64	2.13E+01	1.43E+01	1.06E+01
V65	1.66E+01	3.35E+00	1.75E+01
V66	2.27E+01	2.27E+01	2.19E+01
V67	2.06E+00	1.82E+00	1.55E+00
V68	7.34E-01	1.28E+00	1.22E+00
V69	2.88E+00	3.01E+00	3.36E+00
V70	2.11E+01	2.08E+01	1.64E+01
V71	2.73E+01	1.99E+01	1.18E+01
V72	1.39E+01	7.27E-01	1.36E+01
V73	1.02E+01	1.00E+01	8.15E+00
V74	3.32E+01	3.05E+01	9.90E+00
V75	3.24E+00	1.61E+00	2.70E+00
V76	8.47E+01	8.38E+01	6.75E+01
V77	4.50E+00	3.08E+00	2.81E+00
V78	2.86E+01	1.40E+01	1.93E+01
V79	8.84E+01	8.49E+01	1.19E+01
V80	1.37E+01	1.43E+01	1.17E+01
V81	1.88E+01	4.99E-01	1.89E+01
V82	4.27E-01	3.19E+00	3.09E+00
V83	4.29E+00	4.22E+00	2.77E+00
V84	1.33E+01	9.76E+00	7.26E+00
V85	5.83E+00	7.45E+00	5.39E+00
V86	8.00E-01	5.87E+00	5.89E+00
V87	1.16E+01	2.01E+00	1.02E+01
V88	4.81E+01	7.81E+00	4.78E+01
V89	3.19E+01	3.01E+00	3.35E+01
V90	1.16E+01	8.82E+00	1.19E+01
V91	6.13E+00	3.29E+00	5.34E+00
V92	2.06E+01	3.09E+00	2.17E+01
V93	7.01E+00	7.00E+00	9.64E-01
V94	1.17E+00	1.07E+00	1.27E+00
V95	8.70E+00	9.31E+00	6.36E+00
V96	8.65E+00	4.88E+00	7.47E+00
V97	3.31E+00	1.53E+00	4.03E+00
V98	2.99E+01	1.85E+00	2.92E+01
V99	2.23E+00	2.44E+00	1.16E+00
V100	1.37E+01	2.60E+00	1.17E+01
