NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	50.729	19.167	11.755	11.857	0.097	0.991	40000.0
2	52.234	20.685	12.469	13.45	0.1	0.988	80000.0
3	50.798	19.461	11.8	12.287	0.099	0.99	50000.0
4	52.489	19.684	12.111	12.267	0.1	0.99	40000.0
5	50.452	19.503	11.459	12.012	0.096	0.99	60000.0
6	47.726	18.255	11.092	11.556	0.094	0.991	80000.0
7	52.124	20.171	12.33	12.79	0.098	0.989	50000.0
8	53.975	21.027	13.164	13.949	0.1	0.986	30000.0
9	47.087	18.028	10.813	11.173	0.097	0.992	60000.0
10	51.927	20.139	12.424	13.034	0.101	0.988	50000.0
