MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
1:Del:C:0	2.29E-03	6.50E-03	1.81E-04	3.98E-04	1.01E-02	3.07E-02	1.83E-02	6.04E-03	3.61E-02	3.19E-02	4.06E-02	2.11E-02	1.77E-07	1.23E-02	3.09E-02	4.77E-02	1.28E-02
1:Del:C:1	8.39E-04	1.40E-46	4.76E-04	0.00E+00	8.56E-04	1.62E-02	2.85E-03	8.53E-03	3.15E-02	2.76E-02	1.85E-02	3.42E-03	1.01E-02	3.73E-03	2.54E-02	1.90E-02	2.17E-02
1:Del:C:2	4.09E-08	3.56E-04	2.18E-08	1.47E-04	0.00E+00	7.74E-04	1.67E-04	7.88E-04	4.35E-03	1.74E-07	5.84E-03	2.50E-03	1.25E-06	6.76E-04	1.99E-03	5.65E-03	9.39E-04
1:Del:C:3	7.98E-04	9.61E-07	5.00E-03	4.47E-04	0.00E+00	1.70E-03	1.78E-03	3.23E-03	2.21E-03	1.29E-02	6.82E-03	8.82E-04	1.90E-02	9.56E-04	7.53E-03	2.45E-03	8.72E-03
1:Del:C:4	1.88E-04	1.80E-04	4.39E-03	1.04E-04	7.10E-04	1.85E-03	1.23E-03	0.00E+00	5.25E-03	3.03E-03	4.98E-03	3.35E-03	1.79E-02	3.14E-03	1.52E-02	2.61E-03	4.97E-03
1:Del:C:5	3.23E-04	1.09E-06	6.23E-05	2.08E-03	2.57E-06	9.87E-04	1.36E-03	7.18E-04	7.66E-04	1.06E-02	5.72E-03	4.06E-03	1.27E-03	2.56E-02	6.02E-07	8.81E-03	1.70E-03
1:Del:T:0	0.00E+00	1.27E-04	2.18E-04	9.32E-04	8.50E-04	1.90E-02	7.48E-03	1.66E-02	2.94E-02	1.36E-02	1.35E-02	2.11E-02	8.15E-03	5.16E-03	8.60E-02	8.60E-03	5.62E-03
1:Del:T:1	0.00E+00	4.40E-08	4.12E-08	0.00E+00	2.38E-08	1.32E-02	1.05E-03	2.39E-03	9.06E-03	5.53E-03	1.11E-02	8.73E-06	5.02E-03	7.21E-04	2.60E-02	3.93E-03	1.07E-02
1:Del:T:2	1.51E-04	1.57E-03	5.61E-46	1.07E-03	2.86E-04	3.00E-02	1.19E-03	1.54E-03	1.38E-02	1.36E-03	1.23E-02	9.95E-04	5.36E-03	1.57E-02	4.57E-02	5.24E-03	3.43E-02
1:Del:T:3	1.17E-03	4.90E-03	1.02E-03	2.05E-03	7.30E-04	2.05E-02	1.65E-03	3.37E-03	2.01E-02	1.80E-02	1.65E-02	1.60E-02	9.26E-03	9.95E-03	3.57E-02	1.54E-02	1.19E-02
1:Del:T:4	1.23E-03	1.38E-03	9.30E-04	4.78E-03	1.54E-03	2.42E-02	0.00E+00	0.00E+00	1.15E-02	9.37E-03	2.04E-02	1.31E-03	1.19E-02	3.52E-02	3.17E-03	1.24E-02	1.93E-02
1:Del:T:5	4.98E-09	7.00E-04	1.88E-07	1.02E-02	7.63E-08	1.74E-07	9.48E-04	1.98E-02	1.17E-07	2.49E-03	2.19E-02	1.04E-06	6.18E-07	6.59E-02	3.29E-03	7.03E-02	6.13E-07
1:Ins:C:0	4.56E-08	3.87E-08	3.16E-07	4.36E-05	5.61E-08	1.49E-07	1.24E-03	2.14E-03	7.09E-04	1.32E-06	2.35E-07	3.31E-07	4.61E-07	2.70E-07	3.16E-03	9.40E-04	2.19E-03
1:Ins:C:1	1.65E-08	2.70E-08	1.15E-04	8.17E-08	3.08E-08	5.54E-08	9.86E-04	1.32E-03	1.72E-07	2.34E-06	2.87E-05	7.56E-09	3.66E-08	1.97E-03	9.29E-04	4.30E-04	8.28E-07
1:Ins:C:2	4.45E-05	3.37E-08	2.13E-07	3.57E-08	3.96E-08	6.31E-04	2.59E-04	2.06E-04	6.21E-04	3.86E-04	9.37E-05	6.93E-07	1.06E-04	5.57E-07	6.04E-04	3.52E-04	2.22E-04
1:Ins:C:3	5.63E-08	4.08E-08	8.42E-08	9.67E-08	3.17E-02	3.65E-08	3.84E-08	1.75E-07	6.38E-04	2.27E-02	3.15E-03	9.98E-02	1.55E-04	3.05E-07	5.91E-07	6.80E-03	1.06E-04
1:Ins:C:4	3.40E-04	9.12E-09	3.52E-06	2.29E-04	2.91E-08	0.00E+00	2.86E-04	1.78E-03	9.51E-04	1.31E-03	8.31E-04	7.76E-04	1.14E-03	1.74E-03	6.10E-04	3.87E-03	1.32E-05
1:Ins:C:5	4.10E-03	6.59E-04	1.31E-03	1.68E-03	3.85E-08	0.00E+00	0.00E+00	0.00E+00	2.12E-03	4.08E-08	2.99E-02	1.60E-03	7.01E-03	2.91E-02	1.81E-03	2.26E-02	1.40E-46
1:Ins:T:0	6.40E-04	6.39E-04	4.96E-08	1.58E-07	2.29E-05	3.06E-02	1.81E-03	2.71E-04	1.12E-02	1.21E-03	1.33E-06	1.30E-03	3.44E-03	7.17E-04	2.86E-03	2.87E-03	3.55E-02
1:Ins:T:1	1.93E-08	0.00E+00	0.00E+00	5.18E-05	0.00E+00	6.86E-03	1.05E-03	6.93E-04	3.75E-03	2.61E-03	4.71E-03	1.00E-07	1.50E-03	1.06E-03	8.96E-03	1.64E-03	4.96E-03
1:Ins:T:2	1.02E-04	0.00E+00	0.00E+00	4.52E-08	1.40E-46	3.54E-04	9.71E-04	8.30E-04	1.32E-03	0.00E+00	7.69E-04	1.24E-07	4.39E-03	3.42E-04	1.72E-03	2.18E-03	1.31E-03
1:Ins:T:3	3.09E-07	0.00E+00	1.05E-08	1.45E-04	1.10E-07	4.41E-04	1.93E-04	3.11E-04	3.42E-03	1.39E-03	3.62E-04	4.55E-03	6.18E-04	4.91E-03	0.00E+00	3.54E-03	1.76E-07
1:Ins:T:4	1.97E-03	8.04E-04	1.40E-07	2.75E-04	3.18E-08	1.40E-46	9.81E-08	8.27E-08	4.61E-03	2.38E-03	4.78E-02	4.04E-03	2.08E-02	1.26E-02	2.46E-02	2.29E-03	1.19E-02
1:Ins:T:5	6.84E-03	1.97E-06	1.38E-03	6.78E-08	7.77E-08	3.60E-03	2.21E-06	2.69E-03	4.40E-34	1.11E-06	1.06E-05	9.90E-03	6.86E-02	1.07E-01	1.53E-06	2.88E-04	1.00E-02
2:Del:R:0	2.96E-04	0.00E+00	0.00E+00	0.00E+00	8.46E-04	1.68E-03	8.98E-03	6.91E-03	1.25E-02	7.81E-03	3.45E-03	5.70E-03	8.74E-04	9.77E-04	1.37E-03	5.93E-03	2.90E-03
2:Del:R:1	1.61E-04	2.16E-03	4.54E-04	7.89E-04	0.00E+00	1.16E-02	5.97E-03	4.02E-03	4.76E-03	1.94E-03	1.25E-03	3.11E-02	2.88E-04	1.67E-03	5.56E-04	1.42E-02	3.12E-03
2:Del:R:2	0.00E+00	7.13E-05	6.61E-05	3.14E-04	0.00E+00	3.56E-03	2.04E-04	5.94E-04	2.51E-04	6.81E-04	1.50E-03	4.12E-03	1.40E-46	6.98E-04	5.64E-03	2.61E-03	2.36E-04
2:Del:R:3	2.57E-08	9.26E-09	3.40E-08	1.72E-04	2.76E-08	6.05E-08	1.90E-07	7.58E-08	1.14E-04	1.62E-07	7.98E-05	8.57E-08	1.75E-07	6.77E-04	2.49E-04	1.21E-04	8.04E-08
2:Del:R:4	2.67E-07	1.23E-02	7.68E-02	1.13E-06	1.28E-04	1.21E-07	1.80E-07	1.40E-46	1.40E-46	2.95E-02	2.44E-04	2.08E-07	3.69E-07	2.27E-02	8.86E-07	2.07E-03	1.18E-06
2:Del:R:5	2.13E-08	3.77E-08	6.97E-08	9.17E-08	1.82E-08	4.28E-07	5.99E-04	7.03E-04	2.47E-04	8.83E-04	2.07E-07	1.45E-06	1.38E-07	2.28E-07	6.17E-04	7.84E-04	4.29E-04
3:Del:R:0	1.39E-04	2.64E-04	1.85E-03	1.76E-08	2.10E-08	1.38E-03	4.98E-03	4.35E-03	2.57E-03	0.00E+00	1.09E-03	3.30E-07	1.33E-06	1.35E-07	2.44E-03	4.66E-03	1.96E-03
