Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q
V1	15	4	99	93	6	15	81	0	58	26	0	33	0	70	0	0	0
V2	13	104	4	5	1	0	20	0	1	0	0	9	14	51	11	15	0
V3	24	11	42	102	11	0	16	0	15	28	4	9	71	10	4	0	6
V4	9	7	101	211	18	3	98	0	18	25	6	32	129	101	0	4	0
V5	34	171	49	1	104	19	0	0	18	5	42	12	0	0	0	0	16
V6	40	59	41	0	6	1	0	0	0	0	1	4	0	0	6	11	7
V7	178	20	23	67	56	8	52	12	27	46	18	47	16	0	24	3	0
V8	137	27	91	11	23	78	24	198	0	9	5	2	26	0	0	3	0
V9	32	54	25	3	72	19	0	45	68	3	39	0	12	0	0	5	0
V10	1	11	0	1	0	1	2	0	0	0	0	1	0	0	0	0	0
V11	17	89	10	82	31	0	104	0	0	22	9	58	39	0	0	10	0
V12	65	3	0	12	96	5	16	3	5	6	58	2	0	22	0	11	0
V13	74	30	21	52	50	44	22	4	57	6	28	0	9	0	0	17	0
V14	17	0	0	36	2	5	15	7	5	44	0	25	11	13	0	0	0
V15	24	10	42	21	14	0	2	0	4	0	26	8	2	29	5	4	0
V16	27	26	0	15	4	15	10	13	36	0	4	0	31	30	0	3	0
V17	8	47	66	106	201	25	5	24	8	25	41	16	20	0	0	5	0
V18	1	94	16	9	3	11	0	34	19	0	0	6	0	0	0	1	12
V19	78	10	25	48	8	27	41	18	24	21	2	10	7	0	29	0	0
V20	146	132	32	9	3	18	0	67	15	5	2	0	0	0	17	2	0
V21	9	21	3	0	27	5	0	7	3	0	75	0	4	0	0	1	0
V22	35	10	79	7	38	10	7	16	3	11	29	6	20	10	0	14	0
V23	22	61	0	12	15	0	0	1	0	8	3	9	3	0	9	0	2
V24	8	62	0	58	7	2	34	0	0	7	1	78	26	22	8	3	0
V25	163	0	1	12	18	7	35	37	0	7	18	6	19	0	0	5	41
V26	2	53	85	33	1	3	8	35	13	23	3	13	13	0	0	0	22
V27	109	28	0	6	63	122	7	21	37	16	46	0	11	0	0	0	0
V28	9	99	18	19	6	21	28	22	8	26	1	15	22	0	0	0	0
V29	5	25	117	29	19	27	17	0	57	74	2	13	35	11	0	0	0
V30	68	25	0	161	0	0	145	0	0	93	0	112	48	61	0	0	0
V31	104	39	0	119	6	5	98	1	17	36	0	83	35	42	18	0	0
V32	10	44	0	3	10	26	0	22	29	0	1	8	6	0	5	0	6
V33	1	76	87	3	3	33	16	23	3	0	3	30	0	0	0	16	0
V34	40	102	40	69	83	10	15	22	4	39	36	2	0	16	8	19	21
V35	44	131	120	4	3	59	7	22	34	0	5	0	11	0	0	13	34
V36	8	4	10	2	4	6	0	0	17	1	0	0	0	0	0	0	2
V37	70	76	0	15	5	0	11	0	0	8	5	24	0	14	7	4	9
V38	12	67	193	4	18	1	0	20	0	6	6	0	2	0	0	38	0
V39	32	1	0	2	3	9	6	0	2	3	0	4	2	0	0	0	0
V40	4	12	0	51	16	80	8	60	0	25	13	7	7	6	11	0	0
V41	9	19	2	18	18	56	43	87	21	0	16	12	4	68	0	3	4
V42	81	30	95	20	81	98	39	130	169	0	96	0	13	0	0	6	0
V43	1	201	9	67	7	34	31	0	42	23	9	3	40	0	0	8	4
V44	0	24	103	6	34	20	10	26	10	13	30	5	0	7	0	12	1
V45	51	8	27	1	15	4	1	0	0	2	11	0	0	0	24	1	3
V46	3	60	6	8	295	0	0	0	0	0	124	17	6	1	0	1	0
V47	34	22	31	16	1	190	0	143	81	16	1	0	20	11	23	0	0
V48	150	43	0	23	26	81	0	3	66	11	5	3	18	17	44	4	0
V49	58	5	0	93	8	2	26	0	7	16	4	7	13	37	0	7	0
V50	43	8	33	0	0	0	4	7	0	0	8	0	0	0	5	0	2
V51	86	18	48	52	17	0	27	0	0	38	8	33	41	0	0	23	0
V52	89	35	30	76	23	0	53	0	0	60	13	31	1	90	4	24	0
V53	2	24	47	46	0	0	17	0	1	27	0	23	14	1	8	3	8
V54	1	61	0	2	4	2	0	29	4	7	3	1	1	0	0	2	2
V55	38	102	11	16	14	0	13	12	18	0	2	0	17	0	0	0	0
V56	3	14	0	1	24	1	0	1	0	0	8	1	1	0	9	0	0
V57	87	11	0	108	0	0	122	0	0	150	0	84	74	45	0	0	0
V58	123	6	95	39	17	2	10	2	9	2	6	3	0	2	0	11	0
V59	32	25	37	9	2	5	0	0	0	2	4	5	0	0	20	6	0
V60	5	3	36	49	31	43	10	38	20	7	6	18	38	27	0	4	0
V61	3	2	76	8	6	75	11	28	0	1	19	0	6	6	0	0	13
V62	16	6	347	22	81	7	8	9	15	10	65	10	13	14	0	1	12
V63	186	31	0	102	2	161	22	191	217	28	0	0	15	12	37	16	0
V64	14	94	0	10	2	15	0	15	0	6	0	10	0	0	0	5	2
V65	46	229	47	0	1	6	1	10	0	6	5	9	0	0	15	1	6
V66	44	21	11	0	39	14	0	18	31	12	0	3	4	0	23	0	20
V67	32	73	35	4	1	0	0	0	0	0	0	14	33	51	10	20	11
V68	113	47	8	77	72	8	18	6	1	4	33	61	53	0	18	0	0
V69	33	2	0	13	1	0	10	0	0	25	4	9	8	15	0	1	0
V70	11	34	90	0	0	3	6	0	11	0	0	3	0	1	0	0	0
V71	8	41	0	22	45	0	10	0	0	13	74	15	4	11	0	0	3
V72	0	0	138	126	0	0	104	0	0	44	0	85	66	52	0	12	1
V73	0	20	86	15	2	18	0	26	4	28	5	11	7	43	0	32	0
V74	78	27	3	28	101	5	0	0	0	7	31	0	0	28	12	1	0
V75	333	25	9	15	43	22	5	3	62	0	8	4	8	0	56	0	7
V76	68	5	0	5	5	14	3	0	18	1	25	0	2	1	0	0	0
V77	3	0	28	2	5	1	2	0	0	0	1	0	1	2	0	0	0
V78	172	4	11	4	15	0	4	1	0	12	4	2	3	2	0	8	0
V79	161	0	64	25	1	2	9	2	0	17	1	2	17	8	6	0	0
V80	858	19	7	21	5	6	20	18	28	13	5	28	1	37	0	4	0
