MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
1:Del:C:0	1.09E-07	1.85E-07	0.00E+00	1.12E-07	2.05E-06	3.73E-02	1.04E-06	1.18E-08	7.24E-07	4.77E-02	1.98E-02	4.15E-02	5.06E-02	4.32E-03	1.62E-02	2.29E-02	8.03E-03	6.10E-07	2.74E-02
1:Del:C:1	0.00E+00	0.00E+00	1.13E-03	0.00E+00	2.24E-03	1.21E-02	0.00E+00	0.00E+00	0.00E+00	2.05E-02	0.00E+00	1.99E-02	7.52E-02	3.45E-02	5.53E-03	2.70E-02	2.28E-03	1.50E-02	1.01E-02
1:Del:C:2	2.09E-04	0.00E+00	2.77E-08	1.56E-05	0.00E+00	3.67E-04	2.33E-03	7.47E-08	3.07E-05	2.06E-03	9.06E-04	2.68E-03	1.04E-03	4.97E-03	4.61E-03	8.00E-04	4.83E-04	2.14E-03	3.82E-03
1:Del:C:3	2.88E-04	7.66E-04	2.72E-03	3.90E-04	7.37E-04	1.37E-03	1.84E-03	7.39E-04	0.00E+00	4.79E-03	2.53E-03	5.78E-03	1.06E-02	5.67E-03	4.16E-03	4.32E-03	3.42E-03	3.68E-03	2.59E-03
1:Del:C:4	1.14E-04	4.19E-04	4.40E-04	4.17E-08	0.00E+00	2.35E-03	1.02E-03	0.00E+00	0.00E+00	8.65E-03	5.51E-03	8.45E-03	1.40E-46	3.05E-03	5.51E-04	1.98E-02	3.82E-03	5.10E-03	1.64E-02
1:Del:C:5	3.95E-08	1.75E-03	2.73E-04	0.00E+00	4.94E-08	7.44E-08	3.30E-04	2.06E-04	0.00E+00	1.26E-06	5.93E-08	0.00E+00	3.83E-04	1.32E-03	1.27E-03	3.05E-08	2.18E-02	6.74E-04	2.48E-02
1:Del:T:0	9.47E-08	7.35E-04	2.16E-07	2.08E-07	7.32E-08	1.25E-02	1.04E-02	7.89E-07	5.41E-03	2.99E-02	3.78E-03	5.39E-02	2.93E-02	1.87E-46	2.08E-02	2.87E-03	8.58E-03	3.09E-03	7.06E-02
1:Del:T:1	1.02E-04	4.61E-04	0.00E+00	5.39E-08	1.37E-06	8.86E-03	1.21E-03	6.73E-07	1.21E-03	1.71E-02	6.52E-03	2.00E-02	5.29E-03	3.16E-03	9.27E-03	4.79E-03	8.02E-04	6.66E-08	4.32E-03
1:Del:T:2	1.67E-04	4.58E-04	3.86E-04	5.60E-04	0.00E+00	9.56E-03	8.16E-04	1.92E-04	9.96E-04	3.13E-02	2.99E-46	1.66E-02	3.84E-02	6.43E-03	1.27E-03	2.63E-02	7.42E-03	1.11E-02	1.58E-02
1:Del:T:3	0.00E+00	3.13E-03	0.00E+00	0.00E+00	1.73E-03	1.64E-02	3.44E-07	1.80E-06	1.40E-46	5.08E-02	3.16E-02	2.10E-02	3.65E-02	4.18E-03	2.13E-03	1.97E-02	6.88E-03	3.89E-03	1.34E-02
1:Del:T:4	1.75E-03	8.95E-03	0.00E+00	0.00E+00	2.74E-03	1.01E-02	0.00E+00	6.08E-07	0.00E+00	9.08E-03	2.34E-02	1.65E-02	1.90E-02	0.00E+00	1.81E-02	7.55E-02	2.98E-03	1.07E-02	3.97E-02
1:Del:T:5	2.53E-07	7.57E-03	6.15E-08	3.85E-07	1.78E-08	2.42E-20	8.10E-08	9.76E-07	2.56E-07	5.62E-07	3.33E-02	7.14E-03	4.92E-07	3.53E-07	2.41E-07	4.85E-03	8.59E-02	2.43E-07	8.28E-02
1:Ins:C:0	1.97E-04	4.74E-09	2.86E-08	5.74E-08	2.64E-08	1.64E-08	1.04E-03	4.25E-08	1.48E-03	3.54E-08	1.40E-46	1.09E-04	1.64E-07	2.23E-03	1.67E-03	3.76E-07	7.75E-04	1.90E-06	3.37E-04
1:Ins:C:1	1.08E-04	3.80E-08	1.41E-04	9.65E-05	0.00E+00	2.70E-04	8.78E-04	3.24E-04	1.46E-03	8.85E-04	8.86E-04	1.93E-03	2.66E-03	1.19E-03	2.54E-04	0.00E+00	1.89E-04	4.59E-04	2.14E-03
1:Ins:C:2	4.65E-05	5.45E-08	6.62E-05	2.38E-08	6.67E-07	9.65E-09	1.82E-04	2.69E-07	1.93E-04	9.40E-04	0.00E+00	3.93E-04	1.51E-03	6.79E-04	3.67E-04	0.00E+00	4.63E-04	4.60E-04	2.35E-03
1:Ins:C:3	1.88E-03	7.06E-09	1.50E-04	3.05E-08	2.22E-03	7.11E-04	0.00E+00	5.80E-04	5.58E-08	0.00E+00	4.93E-04	7.14E-08	1.76E-03	3.44E-04	1.26E-02	6.66E-04	0.00E+00	1.23E-03	0.00E+00
1:Ins:C:4	4.68E-04	0.00E+00	4.13E-08	9.32E-04	3.82E-08	4.74E-07	6.69E-04	9.43E-04	2.48E-03	6.03E-03	1.05E-02	7.28E-08	3.87E-03	0.00E+00	0.00E+00	1.87E-46	3.56E-03	2.82E-03	1.28E-02
1:Ins:C:5	4.31E-04	2.25E-04	4.04E-03	1.22E-04	7.41E-05	0.00E+00	6.52E-08	4.06E-04	0.00E+00	1.46E-04	0.00E+00	5.34E-03	3.81E-03	6.28E-03	3.02E-04	0.00E+00	1.09E-02	1.55E-02	3.66E-02
1:Ins:T:0	0.00E+00	3.35E-04	8.49E-04	7.94E-08	4.52E-04	2.00E-03	2.35E-03	6.08E-04	1.64E-03	7.34E-03	4.54E-03	8.15E-03	1.53E-02	4.34E-03	1.99E-03	1.53E-03	2.84E-03	3.11E-03	7.22E-03
1:Ins:T:1	8.18E-08	1.91E-08	1.55E-06	1.86E-04	0.00E+00	8.98E-04	5.22E-04	6.76E-08	3.10E-04	3.98E-03	5.41E-04	1.12E-02	5.77E-03	5.85E-03	7.41E-04	5.76E-03	2.44E-04	0.00E+00	4.00E-03
