Samples	ID83A	ID83B
V1	68	216
V2	205	85
V3	34	77
V4	74	415
V5	35	478
V6	58	110
V7	113	13
V8	213	46
V9	135	127
V10	64	74
V11	81	268
V12	210	63
V13	130	0
V14	20	45
V15	92	181
V16	133	167
V17	99	287
V18	290	27
V19	298	0
V20	148	83
V21	507	78
V22	123	69
V23	16	363
V24	218	20
V25	100	332
V26	397	72
V27	129	270
V28	183	0
V29	209	159
V30	101	172
V31	77	392
V32	0	253
V33	169	66
V34	107	312
V35	15	47
V36	89	70
V37	379	0
V38	253	132
V39	30	91
V40	97	81
V41	0	761
V42	40	167
V43	182	76
V44	386	120
V45	417	12
V46	170	12
V47	279	42
V48	120	148
V49	32	2
V50	674	0
V51	9	251
V52	0	352
V53	695	0
V54	154	74
V55	194	27
V56	102	16
V57	119	121
V58	60	382
V59	422	36
V60	109	4
V61	193	254
V62	40	55
V63	270	360
V64	161	40
V65	360	0
V66	78	209
V67	55	56
V68	208	0
V69	9	100
V70	269	80
V71	262	76
V72	469	0
V73	234	162
V74	113	13
V75	31	137
V76	558	56
V77	282	10
V78	106	6
V79	259	104
V80	133	162
V81	57	10
V82	18	140
V83	175	37
V84	207	85
V85	263	62
V86	0	138
V87	150	0
V88	263	69
V89	174	0
V90	0	332
V91	247	112
V92	83	117
V93	179	178
V94	71	70
V95	0	345
V96	213	20
V97	68	136
V98	0	276
V99	66	54
V100	143	206
