NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	76.611	31.387	20.999	20.602	0.181	0.972	40000.0
2	76.493	31.516	20.49	20.465	0.187	0.972	20000.0
3	75.624	31.379	20.577	20.478	0.182	0.972	20000.0
4	75.915	31.26	20.931	20.791	0.176	0.971	30000.0
5	75.423	30.71	21.017	20.568	0.175	0.972	20000.0
6	77.027	31.635	21.166	21.048	0.181	0.972	30000.0
7	75.0	31.302	20.588	20.751	0.183	0.971	20000.0
8	75.757	31.459	20.56	21.075	0.183	0.971	30000.0
9	76.355	31.581	21.209	21.162	0.183	0.971	20000.0
10	74.898	30.94	20.463	20.338	0.179	0.973	30000.0
