NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	52.889	26.343	12.38	15.466	0.16	0.983	20000.0
2	51.992	26.25	12.139	15.123	0.158	0.984	40000.0
3	52.301	26.052	12.231	15.082	0.156	0.984	50000.0
4	51.656	25.898	12.196	15.261	0.152	0.984	30000.0
5	52.042	25.841	12.244	15.058	0.152	0.984	40000.0
6	51.283	25.358	12.125	14.788	0.151	0.986	60000.0
7	52.959	26.581	12.429	15.436	0.161	0.983	70000.0
8	51.476	25.376	12.133	14.947	0.152	0.985	20000.0
9	52.852	26.743	12.255	15.527	0.161	0.984	30000.0
10	49.265	24.767	11.491	14.372	0.15	0.986	50000.0
