MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
1:Del:C:0	0.00156355	0.00113419	0.08486641	0.03799863	0.00199568
1:Del:C:1	0.00050427	0.00245659	0.04887486	0.01672164	0.00060977
1:Del:C:2	0.00086374	0.00211331	0.02309538	0.01081891	0.00033166
1:Del:C:3	0.00338694	0.00091991	0.01454741	0.00574926	0.00000000
1:Del:C:4	0.01050785	0.00042997	0.00445179	0.00416940	0.00000000
1:Del:C:5	0.02836807	0.00208645	0.00212575	0.00195054	0.00025575
1:Del:T:0	0.00186108	0.00224725	0.06119199	0.01775501	0.00100623
1:Del:T:1	0.00204014	0.00254299	0.03835304	0.00726358	0.00059218
1:Del:T:2	0.00354453	0.00109534	0.04263295	0.01513768	0.00046905
1:Del:T:3	0.01826193	0.00411204	0.03567110	0.01982784	0.00076316
1:Del:T:4	0.05268632	0.00294740	0.02515561	0.01853831	0.00284012
1:Del:T:5	0.69914021	0.04205821	0.00001572	0.01579179	0.01160887
1:Ins:C:0	0.00156150	0.00032145	0.00994193	0.01236483	0.32780764
1:Ins:C:1	0.00088973	0.00076979	0.00011531	0.00180422	0.05837769
1:Ins:C:2	0.00088818	0.00211153	0.00009379	0.00023168	0.01524560
1:Ins:C:3	0.00033517	0.00041311	0.00024051	0.00006483	0.00423514
1:Ins:C:4	0.00018406	0.00015269	0.00003581	0.00004904	0.00258309
1:Ins:C:5	0.00026821	0.00032305	0.00026648	0.00000000	0.00017969
1:Ins:T:0	0.07494678	0.47568849	0.09846687	0.02299191	0.36935883
1:Ins:T:1	0.02626322	0.20486767	0.05652226	0.00631887	0.12152167
1:Ins:T:2	0.00907576	0.06292323	0.01322848	0.00008044	0.03407187
1:Ins:T:3	0.00454505	0.03880019	0.00890202	0.00161002	0.01836773
1:Ins:T:4	0.00494702	0.02727168	0.00052634	0.00249108	0.00823209
1:Ins:T:5	0.00663187	0.03679734	0.00334449	0.00212977	0.00564991
2:Del:R:0	0.00158602	0.00057635	0.02208150	0.00599018	0.00000000
2:Del:R:1	0.00507932	0.00176397	0.03358290	0.00612821	0.00116699
2:Del:R:2	0.00154009	0.00048046	0.01084417	0.00163213	0.00019778
2:Del:R:3	0.00378037	0.00005150	0.00190444	0.00071235	0.00000001
2:Del:R:4	0.00209100	0.00002475	0.00061871	0.00023843	0.00000002
2:Del:R:5	0.00326197	0.00000000	0.01142983	0.00070607	0.00000001
3:Del:R:0	0.00019446	0.00076746	0.00791087	0.00692859	0.00020542
3:Del:R:1	0.00307360	0.00083126	0.03419395	0.00386502	0.00042318
3:Del:R:2	0.00069770	0.00023045	0.00808256	0.00059728	0.00017286
3:Del:R:3	0.00023706	0.00044174	0.00193459	0.00003389	0.00020028
3:Del:R:4	0.00015211	0.00000905	0.00667066	0.00038110	0.00000002
3:Del:R:5	0.00022492	0.00032263	0.00914200	0.00000030	0.00000001
4:Del:R:0	0.00003247	0.00013932	0.00707574	0.00540452	0.00000001
4:Del:R:1	0.00108990	0.00115185	0.02129519	0.00259345	0.00039754
4:Del:R:2	0.00027574	0.00001186	0.00418849	0.00039351	0.00000002
4:Del:R:3	0.00013767	0.00011336	0.00375655	0.00091597	0.00000001
4:Del:R:4	0.00013675	0.00006126	0.00316260	0.00031086	0.00000001
4:Del:R:5	0.00027362	0.00028180	0.00124570	0.00010509	0.00000001
5:Del:R:0	0.00014079	0.00125593	0.03846235	0.07622444	0.00109223
5:Del:R:1	0.00038399	0.00247349	0.00548777	0.00642587	0.00047532
5:Del:R:2	0.00008690	0.00047279	0.00117678	0.00065883	0.00000000
5:Del:R:3	0.00008038	0.00001333	0.00065625	0.00017572	0.00000001
5:Del:R:4	0.00009919	0.00004599	0.00002013	0.00009029	0.00000001
5:Del:R:5	0.00000962	0.00007756	0.00055673	0.00015244	0.00000001
2:Ins:R:0	0.01331370	0.03683746	0.01375093	0.00712518	0.00209517
2:Ins:R:1	0.00033859	0.00296267	0.00122632	0.00033989	0.00012426
2:Ins:R:2	0.00039844	0.00036724	0.00000792	0.00007402	0.00000002
2:Ins:R:3	0.00014809	0.00006857	0.00006465	0.00000000	0.00000002
2:Ins:R:4	0.00013070	0.00007977	0.00001948	0.00000010	0.00000003
2:Ins:R:5	0.00003058	0.00007196	0.00005956	0.00000000	0.00000006
3:Ins:R:0	0.00123542	0.00551162	0.01008607	0.00301389	0.00078508
3:Ins:R:1	0.00008853	0.00026906	0.00048853	0.00008340	0.00000001
3:Ins:R:2	0.00000764	0.00002102	0.00003057	0.00000000	0.00000863
3:Ins:R:3	0.00001834	0.00000102	0.00000115	0.00000000	0.00002447
3:Ins:R:4	0.00000000	0.00000002	0.00000057	0.00000003	0.00000002
3:Ins:R:5	0.00000000	0.00000002	0.00000057	0.00000003	0.00000002
4:Ins:R:0	0.00029444	0.00729315	0.00984167	0.00373352	0.00053878
4:Ins:R:1	0.00005642	0.00003344	0.00051880	0.00031820	0.00000002
4:Ins:R:2	0.00000001	0.00001599	0.00000137	0.00000002	0.00000002
4:Ins:R:3	0.00000000	0.00001543	0.00000021	0.00000001	0.00000762
4:Ins:R:4	0.00000000	0.00000001	0.00000124	0.00004966	0.00000001
4:Ins:R:5	0.00000000	0.00000002	0.00000057	0.00000003	0.00000002
5:Ins:R:0	0.00000000	0.00859620	0.02987305	0.01337030	0.00186419
5:Ins:R:1	0.00000000	0.00002880	0.00014286	0.00020008	0.00000002
5:Ins:R:2	0.00000000	0.00001451	0.00000019	0.00000001	0.00000003
5:Ins:R:3	0.00000000	0.00000002	0.00000057	0.00000003	0.00000002
5:Ins:R:4	0.00000000	0.00000002	0.00000057	0.00000003	0.00000002
5:Ins:R:5	0.00000000	0.00000002	0.00000057	0.00000003	0.00000002
2:Del:M:1	0.00287138	0.00170272	0.03198381	0.00301863	0.00031504
3:Del:M:1	0.00006321	0.00003343	0.00805880	0.00574749	0.00017873
3:Del:M:2	0.00126737	0.00063940	0.01771458	0.00480423	0.00040603
4:Del:M:1	0.00011541	0.00005576	0.00701533	0.00451557	0.00000001
4:Del:M:2	0.00025330	0.00079257	0.01100269	0.00801934	0.00000000
4:Del:M:3	0.00082340	0.00044809	0.01478896	0.00427987	0.00082695
5:Del:M:1	0.00008613	0.00140489	0.02789860	0.10341013	0.00039714
