MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K
1:Del:C:0	1.16E-03	5.31E-07	1.89E-03	2.84E-02	7.94E-03	8.82E-04	5.09E-02	2.47E-06	2.39E-02	4.11E-02	1.69E-02
1:Del:C:1	4.21E-04	2.04E-03	0.00E+00	1.40E-02	1.92E-03	4.08E-08	4.80E-03	6.57E-03	3.82E-02	2.86E-03	2.42E-02
1:Del:C:2	0.00E+00	7.05E-05	1.78E-04	6.54E-04	5.66E-04	4.28E-05	1.07E-03	6.11E-04	2.28E-03	2.83E-03	1.05E-03
1:Del:C:3	3.81E-04	9.70E-05	1.02E-03	1.67E-03	8.65E-04	5.09E-04	3.57E-03	3.26E-03	3.31E-03	1.66E-02	7.18E-03
1:Del:C:4	1.56E-04	4.64E-04	3.75E-04	1.60E-03	1.69E-04	2.71E-04	3.18E-03	8.95E-03	4.11E-03	6.62E-03	6.98E-03
1:Del:C:5	2.64E-08	9.60E-04	1.02E-03	5.56E-05	8.85E-05	2.87E-04	6.39E-05	3.83E-03	5.20E-03	2.01E-03	7.65E-03
1:Del:T:0	7.77E-04	1.52E-08	8.28E-04	1.31E-02	7.55E-03	2.84E-08	1.41E-02	1.50E-02	1.20E-02	2.69E-02	3.20E-02
1:Del:T:1	5.45E-05	1.30E-07	2.73E-04	4.68E-03	2.47E-03	0.00E+00	3.24E-03	1.09E-02	1.11E-02	1.35E-02	1.52E-02
1:Del:T:2	4.99E-04	9.54E-09	8.88E-04	9.16E-03	2.03E-03	4.14E-08	2.61E-03	8.10E-04	2.58E-02	5.57E-08	7.42E-03
1:Del:T:3	2.27E-03	4.82E-04	2.07E-03	2.12E-02	0.00E+00	5.64E-04	1.26E-03	2.60E-03	4.99E-02	1.67E-03	2.02E-02
1:Del:T:4	1.83E-07	5.19E-04	2.76E-03	1.10E-02	0.00E+00	2.56E-08	1.67E-03	7.20E-04	2.06E-02	7.90E-03	3.65E-02
1:Del:T:5	7.15E-07	9.13E-08	5.00E-03	3.55E-03	2.18E-03	5.56E-07	2.03E-02	5.88E-03	7.68E-02	5.07E-02	2.15E-03
1:Ins:C:0	2.71E-08	1.47E-04	5.46E-09	1.20E-08	5.10E-04	8.51E-08	2.71E-04	7.48E-04	7.73E-07	5.52E-04	4.81E-04
1:Ins:C:1	3.94E-04	3.65E-14	2.00E-08	3.48E-04	4.28E-03	3.08E-02	7.53E-02	1.94E-03	7.08E-04	5.22E-03	1.02E-03
1:Ins:C:2	2.43E-08	1.85E-08	1.23E-04	0.00E+00	8.07E-04	3.23E-05	7.34E-04	1.48E-04	1.83E-04	9.22E-05	2.63E-04
1:Ins:C:3	2.15E-04	9.60E-09	3.35E-04	2.02E-04	2.37E-04	3.53E-03	7.81E-03	1.42E-03	8.95E-04	0.00E+00	1.47E-03
1:Ins:C:4	0.00E+00	2.61E-04	5.85E-04	3.46E-04	5.90E-04	3.49E-05	3.19E-04	4.72E-04	3.08E-03	1.40E-03	1.75E-03
1:Ins:C:5	1.94E-03	3.48E-08	8.47E-04	1.40E-46	1.08E-03	1.78E-09	3.93E-03	1.77E-03	1.94E-03	2.71E-03	1.28E-02
1:Ins:T:0	1.23E-04	6.94E-06	6.36E-04	1.41E-03	1.60E-04	1.83E-04	1.47E-03	3.60E-03	4.22E-03	7.98E-04	1.34E-02
1:Ins:T:1	0.00E+00	7.44E-04	2.52E-05	1.67E-03	4.64E-04	8.30E-08	1.35E-03	4.50E-03	2.86E-03	5.14E-03	5.23E-03
1:Ins:T:2	9.39E-06	4.38E-08	2.77E-04	4.77E-04	9.10E-05	4.33E-08	4.13E-04	7.04E-04	2.12E-03	3.93E-03	1.98E-03
1:Ins:T:3	5.60E-04	3.29E-04	3.26E-04	2.35E-04	0.00E+00	1.43E-04	1.21E-04	6.38E-04	2.01E-03	1.29E-03	3.38E-03
1:Ins:T:4	1.78E-03	5.33E-04	8.07E-04	2.31E-04	1.12E-03	5.56E-04	4.88E-03	0.00E+00	3.50E-03	4.04E-03	1.59E-02
1:Ins:T:5	4.32E-03	6.30E-08	1.68E-07	1.33E-03	3.95E-03	8.62E-08	1.59E-02	8.98E-04	2.04E-03	2.37E-02	1.07E-01
