De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-A, Signature 83-A, 0, 0, 0, 1, 1
Signature 83-B, Signature ID2 (100.00%), 5.64,  1.60, 0.036, 1.00, 1.00
Signature 83-C, Signature ID9 (100.00%), 10.59,  6.80, 0.179, 1.00, 1.00
Signature 83-D, Signature 83-D, 0, 0, 0, 1, 1
Signature 83-E, Signature ID1 (100.00%), 4.84,  0.87, 0.081, 1.00, 1.00
Signature 83-F, Signature ID8 (100.00%), 23.22,  11.57, 0.073, 0.99, 0.99
