De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-A, Signature ID9 (100.00%), 6.00,  3.56, 0.047, 1.00, 1.00
Signature 83-B, Signature ID1 (100.00%), 4.44,  0.79, 0.081, 1.00, 1.00
Signature 83-C, Signature ID19 (100.00%), 119.74,  40.51, 1.019, 0.91, 0.92
Signature 83-D, Signature ID8 (100.00%), 17.98,  9.78, 0.063, 1.00, 1.00
Signature 83-E, Signature ID2 (100.00%), 9.97,  2.00, 0.046, 1.00, 1.00
Signature 83-F, Signature 83-F, 0, 0, 0, 1, 1
