Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
V1	1.22E+00	4.54E+00	2.04E+00	5.62E-01	9.48E-01	1.80E+00	1.33E-01	2.26E+00	5.00E-01	2.47E+00	2.74E+00	1.36E+00	5.53E+00	2.00E+00	2.31E+00	4.07E+00
V2	4.57E+00	2.38E+00	1.56E+01	2.74E+00	1.94E+00	1.87E+00	5.05E+00	1.58E+00	2.40E+00	9.29E+00	4.79E+00	5.38E+00	5.40E+00	2.54E+00	4.37E+00	1.76E+01
V3	2.23E+00	1.56E+00	2.58E+00	4.35E+00	1.45E+00	8.72E-01	6.68E+00	5.21E-01	2.97E+00	7.00E-01	2.53E+00	4.33E+00	2.77E+00	5.17E-01	1.20E+00	1.17E+00
V4	1.51E+00	0.00E+00	1.97E+00	2.20E+00	3.25E+00	1.18E+00	2.83E+00	0.00E+00	1.20E+00	8.92E-01	2.63E+00	2.45E+00	7.00E-01	1.06E+00	2.89E+00	3.65E+00
V5	3.26E+00	0.00E+00	2.16E+00	3.77E+00	2.21E-01	1.54E+00	7.23E+00	3.00E-01	5.07E+00	4.04E+00	1.00E-01	8.32E+00	0.00E+00	0.00E+00	4.66E+00	7.00E-01
V6	1.74E+00	4.32E+00	2.25E+00	1.50E+00	9.07E-01	2.15E+00	1.70E+00	1.69E+00	8.79E-01	3.71E+00	1.27E+00	1.41E+00	6.12E+00	2.52E+00	9.40E-01	2.84E+00
V7	4.45E+00	1.85E+00	7.64E+00	1.29E+00	6.16E-01	1.78E+00	1.17E+00	1.40E+00	1.01E+00	1.15E+01	9.12E-01	4.15E+00	2.20E+00	1.49E+00	3.06E+00	2.42E+00
V8	1.20E+00	6.81E+00	1.77E+00	1.16E+00	5.12E-01	5.66E+00	6.90E-01	1.03E+01	1.48E+00	1.29E+01	8.41E-01	4.90E+00	8.26E+00	5.78E-01	1.16E+00	1.01E+00
V9	2.76E+00	2.27E+00	1.38E+00	3.94E-01	1.41E+00	0.00E+00	5.37E-01	1.39E+00	1.00E-01	9.92E-01	1.42E+00	7.81E-01	2.77E+00	7.18E-01	3.05E+00	1.02E+00
V10	1.10E+00	2.32E+00	3.05E+00	5.73E-01	5.44E+00	3.37E+00	5.37E-01	3.55E+00	2.19E+00	3.87E+00	2.75E+00	1.59E+00	3.15E+00	3.64E+00	9.43E-01	5.74E+00
V11	2.80E+00	4.58E+00	3.27E-01	0.00E+00	2.67E+00	1.56E+00	0.00E+00	2.13E+00	4.33E-01	1.88E+00	8.69E-01	3.07E-01	4.88E+00	2.45E+00	2.45E+00	2.00E-01
V12	2.50E+00	1.29E+01	1.53E+01	9.91E-01	2.31E+00	2.10E+00	1.93E+00	7.31E-01	3.58E+00	2.27E+00	4.93E+00	8.28E+00	1.45E+01	2.45E+00	1.67E+00	1.05E+01
V13	6.96E-01	8.27E+00	1.97E+00	7.91E+00	0.00E+00	1.47E+00	1.67E+01	4.90E-01	8.70E+00	2.51E+00	4.27E-01	1.69E+01	1.57E+01	3.16E+00	2.00E-01	3.53E+00
V14	4.99E-01	4.30E+00	1.12E+00	3.16E+00	1.19E+00	7.58E+00	6.80E+00	7.08E+00	4.10E+00	7.93E+00	5.96E-01	8.15E+00	3.81E+00	7.81E+00	7.16E-01	1.60E+00
V15	5.93E-01	1.22E+00	8.14E-01	4.18E+00	0.00E+00	3.33E-01	5.92E+00	6.33E-01	3.31E+00	6.00E-01	1.53E-01	8.04E+00	1.59E+00	6.23E-01	4.48E-01	4.27E-01
V16	1.43E+00	7.57E+00	4.70E+00	1.58E+00	2.01E+00	3.79E-01	3.17E+00	3.06E-01	2.84E+00	8.00E-01	2.69E+00	4.72E+00	8.01E+00	2.65E+00	0.00E+00	4.52E+00
V17	2.21E+00	3.78E+00	6.00E-01	1.05E+00	0.00E+00	1.20E+00	4.01E-01	1.33E+00	8.88E-01	1.20E+00	4.33E-01	1.05E+00	4.28E+00	7.02E-01	2.61E+00	1.41E+00
V18	1.64E+00	1.58E+00	3.23E+00	4.67E-01	3.22E+00	8.20E+00	0.00E+00	9.55E+00	1.98E+00	6.74E+00	2.65E+00	4.88E+00	1.87E+00	2.62E+00	4.42E-01	3.27E+00
V19	4.12E+00	6.25E+00	6.55E+00	3.48E-01	2.22E+00	1.30E+00	3.06E-01	1.12E+00	1.45E+00	6.64E+00	1.65E+00	1.71E+00	6.77E+00	4.99E-01	2.34E+00	6.44E+00
V20	4.26E+00	1.68E+00	4.28E+00	1.03E+00	1.86E+00	1.83E+00	3.03E+00	1.62E+00	1.56E+00	5.56E+00	1.27E+00	4.37E+00	2.63E+00	1.45E+00	2.40E+00	1.98E+00
V21	5.98E+00	7.72E-01	0.00E+00	1.08E+01	4.93E+00	4.49E+00	1.22E+01	6.07E+00	8.32E+00	4.68E+00	4.38E+00	1.91E+01	1.55E+00	1.84E+00	8.21E+00	0.00E+00
V22	2.25E+00	3.22E+00	5.02E+00	2.72E+00	2.95E+00	1.07E+00	4.14E+00	1.40E+00	4.95E+00	1.85E+00	3.06E+00	9.18E+00	2.63E+00	1.86E+00	1.77E+00	3.56E+00
V23	3.79E+00	1.34E+00	5.26E-01	0.00E+00	1.29E+00	0.00E+00	0.00E+00	0.00E+00	2.60E-01	3.20E+00	6.05E-01	2.00E-01	4.71E-01	1.15E+00	2.28E+00	1.24E+00
V24	1.33E+00	3.57E+00	1.03E+00	9.80E-01	6.16E-01	2.15E+00	1.73E+00	2.17E+00	0.00E+00	1.70E+00	3.07E-01	1.94E+00	4.38E+00	2.00E-01	8.83E-01	5.00E-01
V25	9.57E-01	3.89E+00	8.06E-01	3.18E+00	3.35E-01	4.33E-01	6.36E+00	3.40E-01	4.58E+00	3.00E-01	0.00E+00	6.42E+00	3.62E+00	3.89E-01	6.96E-01	1.12E+00
V26	2.18E+00	3.07E-01	3.37E+00	3.79E-01	1.34E+01	0.00E+00	0.00E+00	0.00E+00	3.48E+00	0.00E+00	1.35E+01	2.04E+00	1.50E+00	7.67E-01	2.13E+00	9.42E+00
V27	2.56E+00	1.38E+00	1.48E+00	1.66E+00	1.12E+00	2.43E+00	1.44E+00	2.93E+00	8.06E-01	3.37E+00	6.53E-01	9.60E-01	1.58E+00	1.09E+00	1.77E+00	2.98E+00
V28	0.00E+00	1.92E+01	1.44E+01	5.78E-01	2.83E+00	1.65E+00	0.00E+00	0.00E+00	5.71E+00	9.00E-01	4.72E+00	3.20E+00	2.12E+01	7.88E+00	1.53E-01	1.50E+01
V29	7.00E-01	3.71E+00	6.50E+00	1.08E+00	4.62E+00	2.24E-01	9.55E-01	0.00E+00	4.23E+00	6.00E-01	6.82E+00	3.26E+00	3.88E+00	1.31E+00	3.07E-01	4.92E+00
V30	1.58E+00	3.79E-01	0.00E+00	3.83E+00	8.95E-01	3.67E+00	4.38E+00	3.42E+00	1.78E+00	9.60E-01	4.33E-01	1.37E+00	3.00E-01	1.00E-01	9.89E-01	0.00E+00
V31	2.00E-01	0.00E+00	1.24E+01	5.39E-01	2.54E+00	5.21E-01	0.00E+00	9.20E-01	7.49E-01	7.61E-01	2.20E+00	1.20E+00	7.61E-01	5.63E-01	4.00E-01	1.24E+01
V32	6.63E-01	5.43E+00	0.00E+00	9.55E-01	2.55E+00	3.32E+00	9.17E-01	1.63E+00	5.55E+00	3.62E+00	6.12E+00	6.08E+00	6.09E+00	9.29E+00	8.46E-01	9.00E-01
V33	5.67E-01	1.16E+00	1.19E+01	1.75E+00	4.63E+00	3.96E+00	1.17E+00	3.21E+00	5.73E+00	5.75E+00	4.82E+00	8.69E+00	2.50E+00	4.49E+00	1.03E+00	5.89E+00
V34	6.36E-01	3.58E+00	8.03E-01	1.58E+00	9.51E+00	5.86E-01	4.81E+00	9.55E-01	3.05E+00	1.18E+00	1.12E+01	6.55E+00	4.02E+00	1.88E+00	0.00E+00	3.18E+00
V35	2.24E-01	2.41E+00	3.45E+00	1.79E+00	3.51E+00	0.00E+00	7.90E-01	0.00E+00	1.90E+00	3.00E-01	3.31E+00	2.30E+00	4.12E+00	8.84E-01	0.00E+00	6.33E+00
V36	2.36E+00	1.13E+00	3.68E+00	1.10E+00	2.05E+00	5.92E+00	1.39E+00	1.07E+01	3.34E+00	1.13E+01	4.59E+00	5.87E+00	1.74E+00	4.93E+00	5.74E+00	4.38E+00
V37	1.90E+00	8.97E+00	1.13E+00	6.57E+00	2.53E+00	7.39E+00	7.03E+00	1.47E+01	3.87E+00	1.30E+01	0.00E+00	8.56E+00	9.29E+00	1.16E+01	3.24E+00	3.85E+00
V38	7.09E+00	9.14E+00	1.84E+01	1.13E+00	4.00E-01	1.53E-01	2.97E+00	0.00E+00	2.25E+00	1.93E+01	6.87E-01	3.73E+00	6.98E+00	5.17E-01	3.74E+00	1.80E+01
V39	0.00E+00	4.43E+00	5.58E+00	2.22E+00	2.23E+00	7.16E-01	1.39E+00	2.38E+00	1.31E+00	2.81E+00	2.01E+00	6.16E+00	4.16E+00	4.76E+00	0.00E+00	2.55E+00
V40	1.63E+00	3.22E+01	9.29E-01	5.42E+00	5.77E+00	0.00E+00	8.26E+00	1.64E+00	2.22E+00	1.28E+00	9.25E+00	5.19E+00	3.97E+01	8.46E+00	1.63E+00	1.38E+00
V41	1.01E+00	7.90E-01	1.07E+01	1.93E+00	3.65E-01	9.20E-01	8.83E-01	5.47E-01	2.13E-01	1.55E+00	1.15E+00	3.42E-01	0.00E+00	0.00E+00	4.52E-01	1.23E+01
V42	1.07E+00	0.00E+00	0.00E+00	5.26E-01	1.77E+00	1.59E+00	0.00E+00	6.16E-01	1.85E+00	6.01E-01	2.32E+00	1.31E+00	2.00E-01	6.05E-01	0.00E+00	1.00E-01
V43	7.27E-01	2.69E+00	1.18E+00	1.12E+00	0.00E+00	1.28E+00	8.56E-01	1.58E+00	2.21E-01	1.53E+00	9.46E-01	6.96E-01	3.49E+00	3.00E-01	1.61E+00	9.21E-01
V44	0.00E+00	8.98E-01	1.07E+00	4.96E-01	4.96E+00	8.95E+00	1.25E+00	7.36E+00	6.68E+00	9.64E+00	6.10E+00	7.56E+00	9.68E-01	7.25E+00	0.00E+00	3.46E+00
V45	3.65E+00	5.45E+00	3.89E+00	0.00E+00	2.00E-01	9.36E-01	0.00E+00	9.64E-01	1.05E+00	5.06E+00	1.54E+00	1.98E+00	6.01E+00	1.10E+00	2.83E+00	3.61E+00
V46	5.08E+00	1.53E+01	9.97E+00	1.84E+00	5.62E-01	3.42E-01	1.73E+00	0.00E+00	1.05E+00	1.48E+01	8.72E-01	1.83E+00	1.61E+01	1.72E+00	2.35E+00	3.29E+00
V47	3.27E-01	8.38E+00	5.73E+00	8.35E+00	0.00E+00	0.00E+00	6.60E+00	9.10E-01	4.76E+00	4.73E-01	6.11E-01	7.98E+00	1.44E+01	4.99E-01	0.00E+00	2.63E+00
V48	6.83E-01	5.26E-01	2.99E+00	3.22E+00	2.14E+00	1.13E+00	3.36E+00	6.29E-01	2.61E+00	7.49E-01	4.20E+00	3.28E+00	8.94E-01	1.72E+00	4.76E-01	4.18E+00
V49	4.90E-01	5.81E-01	6.69E+00	3.01E+00	1.66E+00	1.41E+00	3.81E+00	1.31E+00	1.87E+00	8.95E-01	2.77E+00	1.91E+00	2.39E+00	4.00E-01	0.00E+00	9.59E+00
V50	2.21E-01	1.37E+00	1.21E+01	0.00E+00	1.35E+00	2.73E+00	4.23E-01	3.89E+00	1.65E+00	5.33E+00	1.93E+00	9.82E+00	3.25E+00	3.28E+00	0.00E+00	1.03E+01
V51	5.93E+00	1.87E+00	1.03E+01	1.86E+00	2.15E+00	1.87E+00	3.12E+00	2.39E+00	1.58E+00	1.15E+01	2.85E+00	1.94E+00	1.68E+00	2.53E+00	2.78E+00	9.09E+00
V52	2.53E+00	6.80E-01	4.78E+00	2.91E+00	2.86E+00	1.59E+00	5.43E+00	1.39E+00	4.30E+00	3.86E+00	3.22E+00	7.23E+00	6.83E-01	2.47E+00	2.96E+00	5.32E+00
V53	2.00E+00	2.73E+00	1.18E+01	1.07E+00	3.33E+00	9.36E+00	1.06E+00	1.11E+01	4.80E+00	1.40E+01	3.98E+00	8.78E+00	3.46E+00	4.77E+00	1.31E+00	1.35E+01
V54	5.63E-01	7.72E-01	2.66E+00	1.40E+00	2.06E+00	4.64E+00	1.81E+00	4.98E+00	2.03E+00	5.38E+00	1.52E+00	1.82E+00	0.00E+00	1.47E+00	0.00E+00	3.03E+00
V55	6.95E+00	9.55E-01	9.84E+00	2.69E-01	2.24E+00	0.00E+00	1.16E+00	0.00E+00	2.05E+00	5.87E+00	3.61E+00	1.97E+00	1.83E+00	4.67E-01	6.95E+00	9.38E+00
V56	1.00E+00	2.83E+00	7.66E+00	1.67E+00	0.00E+00	1.83E+00	1.59E+00	1.50E+00	4.23E-01	8.33E-01	2.48E+00	1.25E+00	3.05E+00	1.45E+00	1.81E+00	8.80E+00
V57	2.21E-01	3.96E+00	1.14E+01	1.80E+00	2.41E+00	2.86E+00	2.12E+00	2.87E+00	9.17E-01	2.28E+00	3.48E+00	3.24E+00	3.99E+00	3.84E+00	0.00E+00	1.17E+01
V58	6.18E-01	1.77E+00	1.00E+00	4.27E-01	2.08E+00	3.61E+00	0.00E+00	3.58E+00	2.40E+00	3.03E+00	2.71E+00	1.72E+00	8.00E-01	2.68E+00	0.00E+00	2.64E+00
V59	2.55E+00	3.78E+00	2.27E+00	5.12E-01	1.48E+00	1.93E+00	0.00E+00	2.76E+00	1.63E-01	3.11E+00	1.58E+00	6.32E-01	4.41E+00	1.55E+00	3.03E+00	3.83E+00
V60	4.52E-01	0.00E+00	1.62E+00	1.19E+00	4.17E+00	0.00E+00	1.56E+00	2.21E-01	3.52E+00	6.00E-01	4.13E+00	4.53E+00	0.00E+00	1.00E-01	2.21E-01	0.00E+00
V61	0.00E+00	1.16E+00	1.14E+00	9.04E-01	7.67E-01	0.00E+00	2.13E-01	0.00E+00	1.03E+00	0.00E+00	1.08E+00	9.89E-01	8.70E-01	4.00E-01	0.00E+00	1.25E+00
V62	2.88E+00	4.16E+00	9.31E+00	7.72E-01	1.19E+00	4.23E+00	1.89E+00	4.61E+00	1.52E+00	8.09E+00	1.78E+00	3.38E+00	5.15E+00	2.91E+00	6.77E+00	9.94E+00
V63	1.86E+00	1.26E+00	0.00E+00	3.94E-01	8.92E-01	0.00E+00	1.46E+00	4.47E-01	4.22E-01	1.00E+00	9.80E-01	7.00E-01	8.14E-01	4.27E-01	7.33E-01	0.00E+00
V64	2.77E-01	5.54E-01	3.59E+00	4.82E-01	4.07E-01	3.01E+00	6.23E-01	2.47E+00	1.26E+00	2.02E+00	9.09E-01	1.15E+00	5.63E-01	2.06E+00	0.00E+00	2.83E+00
V65	2.98E+00	1.67E+01	2.13E-01	3.14E+00	0.00E+00	9.00E-01	3.79E+00	6.96E-01	1.28E+00	1.28E+00	1.79E+00	2.13E+00	1.82E+01	2.00E-01	1.50E+00	2.49E+00
