Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
V1	3.63E+00	1.01E+00	2.07E+00	1.65E+00	3.82E+00	7.53E+00	3.41E+00	3.14E+00	6.94E+00	1.85E+00
V2	6.80E-01	1.48E+00	6.00E-01	3.02E+00	4.18E+00	0.00E+00	1.48E+01	1.47E+01	1.58E+00	1.37E+00
V3	2.16E+00	3.51E+00	4.94E-01	5.26E-01	7.33E-01	7.76E+00	4.93E+00	5.33E+00	7.50E+00	3.12E+00
V4	4.99E-01	1.11E+00	8.00E+00	8.62E+00	7.60E+00	1.70E+00	4.05E+00	8.05E+00	3.37E+00	1.58E+00
V5	1.92E+00	0.00E+00	1.56E+00	2.61E+00	1.60E+00	9.07E+00	5.26E-01	3.42E-01	8.21E+00	1.00E-01
V6	1.33E-01	4.35E+00	0.00E+00	0.00E+00	0.00E+00	1.84E+00	4.82E-01	6.16E-01	2.12E+00	4.90E+00
V7	2.11E+00	8.28E+00	8.55E+00	1.82E+00	8.00E+00	2.00E-01	2.03E+00	6.03E+00	1.02E+00	7.70E+00
V8	1.63E+01	1.17E+01	1.70E+00	8.16E-01	1.05E+00	1.13E+00	8.41E-01	1.11E+00	7.12E-01	1.81E+01
V9	1.82E+00	6.13E+00	1.41E+00	8.09E-01	8.00E-01	5.79E+00	4.07E-01	1.59E+00	6.33E+00	7.09E+00
V10	1.96E+00	3.14E-01	9.21E-01	7.18E-01	1.02E+00	5.76E+00	2.11E+00	2.35E+00	6.05E+00	8.94E-01
V11	1.74E+00	1.19E+00	8.58E+00	8.93E+00	7.06E+00	5.02E+00	3.68E+00	5.34E+00	3.92E+00	1.61E+00
V12	7.19E-01	1.00E+01	8.16E+00	8.72E+00	7.98E+00	4.05E+00	2.14E+00	7.90E+00	3.09E+00	1.25E+01
V13	7.78E+00	2.79E+00	1.46E+00	2.47E+00	1.91E+00	6.70E-01	2.41E+00	1.71E+00	2.16E+00	7.58E+00
V14	4.07E+00	8.19E-01	7.89E-01	1.74E+01	1.74E+01	5.95E+00	1.53E-01	7.95E-01	5.14E+00	2.67E+00
V15	1.97E+00	9.22E+00	4.51E+00	3.89E-01	4.76E-01	6.01E-01	1.61E+00	5.79E+00	1.00E+00	1.05E+01
V16	7.02E+00	3.75E+00	3.28E+00	6.39E+00	4.48E+00	1.74E+00	2.28E+00	4.22E+00	2.40E+00	5.98E+00
V17	1.62E+00	8.92E-01	0.00E+00	6.67E+00	1.09E+01	4.00E+00	2.20E+01	2.59E+01	3.88E+00	5.47E-01
V18	2.01E+00	5.23E+00	0.00E+00	1.48E+01	1.44E+01	1.32E+00	2.91E-01	3.42E-01	1.01E+00	5.87E+00
V19	3.11E+00	4.50E+00	3.98E+00	8.50E+00	7.07E+00	1.01E+00	2.67E+00	4.59E+00	3.55E+00	5.29E+00
V20	4.31E+00	2.21E+01	5.21E+00	8.06E-01	3.02E+00	0.00E+00	0.00E+00	4.01E+00	3.48E-01	2.40E+01
V21	6.50E-01	0.00E+00	2.08E+00	3.50E+00	1.71E+00	4.25E+00	1.57E+01	1.65E+01	3.49E+00	1.44E+00
V22	5.39E+00	1.36E+00	2.44E+00	1.82E+00	4.76E+00	5.05E+00	8.67E-01	3.49E+00	4.24E+00	1.59E+00
