Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P
V1	19	4	21	5	0	0	0	14	0	1	2	0	0	0	7	1
V2	0	81	98	46	0	21	7	2	8	0	27	0	31	2	21	10
V3	28	9	10	2	0	4	22	2	6	0	28	21	69	4	3	0
V4	11	22	114	12	2	7	19	39	35	16	0	0	0	8	0	1
V5	25	12	2	1	1	18	48	11	6	6	12	19	0	17	7	8
V6	7	0	17	101	63	37	38	34	24	104	1	3	3	20	0	0
V7	0	47	107	0	0	4	2	0	0	0	0	12	3	10	4	10
V8	30	1	42	1	13	35	1	1	2	14	2	6	0	16	3	0
V9	13	81	3	7	0	0	2	3	11	4	0	1	5	1	0	8
V10	0	24	249	30	0	16	0	18	11	10	0	16	0	3	6	38
V11	0	0	7	80	0	1	6	57	21	6	6	16	18	0	0	0
V12	33	4	5	28	0	0	0	5	10	1	0	0	0	3	6	0
V13	5	5	42	2	18	62	30	0	0	6	0	1	0	2	0	0
V14	1	10	91	96	299	17	58	30	110	62	4	0	0	63	0	0
V15	108	36	27	18	1	3	7	8	17	0	15	8	3	15	56	12
V16	26	17	0	0	28	10	0	0	0	4	1	2	7	15	0	1
V17	5	26	17	16	29	18	34	12	1	0	9	0	41	4	0	6
V18	12	14	2	67	0	0	0	37	9	3	2	1	1	1	0	1
V19	52	0	9	50	0	0	0	8	2	13	1	9	0	0	0	6
V20	0	1	15	3	10	17	14	0	0	5	23	1	61	32	0	0
V21	0	104	128	0	2	4	17	1	0	0	20	2	0	18	0	16
V22	1	4	41	71	43	31	7	76	9	0	0	1	2	52	0	2
V23	140	56	13	8	5	0	12	1	16	0	2	0	0	1	13	4
V24	40	11	120	12	11	3	0	3	11	1	0	0	1	2	0	0
V25	133	52	0	8	36	27	12	4	2	20	3	0	0	0	18	7
V26	3	0	55	17	8	0	7	4	8	26	2	0	0	0	0	0
V27	103	6	63	2	13	3	15	4	1	14	0	0	0	1	110	5
V28	25	6	5	11	0	0	3	1	0	0	0	4	5	0	24	3
V29	0	198	8	19	0	3	7	2	0	0	0	10	16	2	0	31
V30	0	214	72	7	3	17	3	2	0	0	143	0	0	1	6	18
V31	25	26	27	0	0	0	5	0	0	0	9	2	0	7	0	0
V32	96	21	2	43	4	0	12	25	22	0	5	3	0	3	0	8
V33	2	80	26	22	0	6	9	10	21	26	10	4	0	1	0	6
V34	12	14	4	8	28	0	38	2	0	2	33	105	11	46	28	1
V35	223	47	38	30	23	0	75	5	1	44	27	4	68	16	0	1
V36	165	2	1	33	26	0	0	31	6	31	0	0	8	62	0	2
V37	10	0	0	33	20	0	23	34	13	18	0	1	0	11	0	0
V38	3	28	14	0	5	13	0	0	0	12	4	1	0	7	0	6
V39	7	3	15	10	0	0	0	6	3	0	0	3	2	1	0	0
V40	14	16	37	50	0	0	4	4	24	0	2	6	0	2	0	2
V41	93	16	141	33	16	18	5	16	21	54	0	0	7	7	1	0
V42	525	0	3	43	0	0	1	12	18	13	35	92	0	7	0	2
V43	5	113	2	141	18	12	42	43	46	0	19	9	5	6	0	5
V44	94	137	1	29	0	0	76	8	36	34	0	0	0	57	6	16
V45	3	54	30	19	0	46	0	1	11	3	8	14	0	6	0	2
V46	14	0	2	223	7	4	0	217	47	0	60	73	2	0	0	0
V47	25	6	34	30	0	0	1	10	11	0	0	0	0	4	0	1
V48	0	6	0	0	6	35	2	0	0	11	0	1	1	9	0	0
V49	1	2	0	11	27	28	47	5	0	0	11	18	6	9	0	0
V50	0	38	1	6	4	6	10	23	25	3	0	27	0	21	3	8
V51	66	10	6	51	130	23	27	15	12	0	2	6	11	14	0	2
V52	41	1	16	0	0	0	0	0	0	0	0	0	13	0	24	2
V53	1	2	11	35	0	0	5	31	28	0	37	15	0	3	0	1
V54	6	8	40	58	0	0	3	50	5	23	0	0	0	1	0	4
V55	117	0	6	0	69	43	14	0	0	0	0	1	27	20	0	0
V56	0	1	1	35	1	5	13	18	25	19	0	6	8	0	0	2
V57	30	32	11	20	3	0	36	23	7	18	35	28	4	11	16	1
V58	13	67	2	3	2	27	12	9	2	15	0	0	5	9	0	0
V59	425	111	0	14	0	19	1	7	10	0	10	1	18	0	0	17
V60	40	29	0	0	0	0	0	0	0	0	0	0	0	1	36	11
V61	0	28	137	7	28	2	62	3	0	17	4	15	0	2	3	0
V62	158	34	110	230	5	1	0	151	185	4	3	0	0	0	0	0
V63	66	0	161	7	67	142	84	1	0	62	8	8	40	0	0	2
V64	55	2	9	3	0	0	7	1	3	0	3	0	0	2	0	0
V65	29	5	6	2	80	148	58	2	3	0	15	0	0	57	0	1
V66	23	2	0	303	0	0	5	36	69	5	6	30	0	0	0	0
V67	0	20	0	9	80	150	55	0	0	104	2	4	0	14	0	5
V68	69	28	0	11	16	10	48	9	7	25	1	3	0	9	0	1
V69	8	12	81	330	49	67	60	86	85	45	28	9	18	30	0	10
V70	0	36	5	0	0	0	9	0	3	3	10	13	0	0	0	14
V71	42	0	6	81	34	60	45	36	76	55	0	1	0	0	0	0
V72	166	4	0	2	44	34	7	0	0	9	3	0	19	0	1	5
V73	26	161	19	2	0	5	1	1	3	5	0	5	0	14	0	0
V74	117	67	0	0	3	17	24	0	0	3	10	23	0	0	42	49
V75	0	1	80	41	11	91	26	5	3	23	0	9	0	14	39	0
V76	83	14	94	5	27	2	1	1	0	4	26	42	9	1	1	3
V77	17	11	161	80	37	17	22	33	34	6	9	17	19	0	0	2
V78	22	2	0	0	0	0	0	0	0	0	16	13	18	0	0	0
V79	161	68	1	6	6	17	24	10	8	0	27	27	0	5	7	18
V80	91	111	13	27	17	0	35	9	8	0	57	64	10	0	0	10
V81	6	13	6	0	14	11	10	3	0	10	5	42	0	8	43	1
V82	197	176	4	0	27	43	104	0	0	0	48	45	113	38	0	62
V83	0	73	24	0	1	0	0	0	0	0	24	68	41	0	0	4
V84	287	0	3	17	0	0	7	3	14	0	0	3	0	12	81	0
V85	6	0	5	14	7	8	5	7	0	0	14	12	4	6	0	1
V86	0	159	0	0	6	0	0	3	2	0	27	30	9	0	2	13
V87	69	25	0	14	0	22	21	12	5	40	0	0	0	17	0	1
V88	1	150	0	11	10	37	10	0	2	13	9	0	0	2	3	19
V89	44	94	76	8	0	0	0	10	20	0	14	4	0	2	38	20
V90	10	5	2	56	114	140	42	24	12	92	4	5	0	30	0	0
V91	39	64	49	8	0	0	3	0	2	12	21	0	16	0	0	3
V92	35	124	129	41	4	14	10	3	10	0	15	0	0	3	0	24
V93	15	0	23	28	0	0	0	15	38	4	12	8	0	0	0	1
V94	0	42	0	13	16	14	0	8	0	17	44	63	109	2	0	20
V95	16	37	10	52	6	0	2	38	16	1	2	0	0	2	0	11
V96	20	99	1	39	5	0	0	27	19	0	1	5	0	2	0	9
V97	1	0	5	0	5	0	6	0	0	0	25	9	45	0	0	0
V98	44	8	79	13	26	0	13	2	0	12	20	26	58	0	0	4
V99	7	11	3	12	5	4	1	0	0	11	31	6	20	4	27	0
V100	9	27	38	1	9	24	54	0	1	55	23	7	0	19	0	12
