NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	157.483	52.565	48.908	40.497	0.338	0.882	50000.0
2	156.676	53.508	50.728	42.942	0.347	0.868	40000.0
3	156.929	52.138	49.463	40.64	0.337	0.882	20000.0
4	170.303	55.228	59.37	44.803	0.342	0.868	20000.0
5	159.578	54.304	50.589	42.993	0.357	0.868	20000.0
6	172.549	59.017	55.747	46.133	0.394	0.861	30000.0
7	156.11	53.378	51.435	43.307	0.341	0.866	30000.0
8	157.168	52.61	49.264	40.992	0.342	0.88	20000.0
9	156.938	53.465	50.231	42.962	0.348	0.868	30000.0
10	159.54	54.432	50.359	42.762	0.364	0.869	20000.0
