NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	50.914	22.48	11.925	12.518	0.146	0.988	30000.0
2	51.52	22.999	12.2	13.377	0.149	0.985	30000.0
3	50.479	22.594	11.757	12.54	0.149	0.989	40000.0
4	54.34	24.749	12.989	14.65	0.159	0.983	30000.0
5	52.763	23.16	12.405	13.516	0.149	0.985	50000.0
6	54.828	24.074	13.631	14.639	0.158	0.983	50000.0
7	50.742	22.261	11.597	12.348	0.142	0.989	30000.0
8	54.2	23.637	13.214	13.731	0.15	0.986	40000.0
9	50.363	22.368	11.918	13.086	0.142	0.987	50000.0
10	54.739	24.499	13.462	14.737	0.155	0.983	40000.0
