Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O
V1	0	199	7	0	8	0	7	14	0	0	1	0	0	8	0
V2	493	6	0	15	0	190	0	139	37	17	24	0	11	0	33
V3	23	56	23	15	36	3	23	0	11	19	10	9	0	6	0
V4	16	1	0	0	2	0	0	0	0	0	0	0	1	0	0
V5	48	9	2	0	30	0	9	0	6	20	5	0	0	0	3
V6	72	3	12	9	9	118	18	7	0	32	13	0	0	0	6
V7	74	0	176	14	2	8	60	0	0	12	19	0	0	0	29
V8	4	149	6	20	26	104	40	3	0	0	0	19	73	0	0
V9	237	0	2	110	25	0	5	0	18	43	33	18	0	0	5
V10	20	12	1	110	59	34	5	14	38	30	4	0	0	4	0
V11	93	6	26	0	0	0	8	10	0	10	3	0	0	0	8
V12	0	32	0	0	0	0	0	20	13	0	2	1	0	0	0
V13	56	11	98	0	7	4	42	10	7	6	0	0	8	10	17
V14	0	42	8	0	46	14	3	0	41	4	0	9	0	0	1
V15	49	3	2	0	1	34	3	8	0	0	0	0	16	16	0
V16	6	22	0	240	14	0	0	0	0	0	6	31	0	0	2
V17	1	64	7	3	28	1	33	1	28	0	3	0	3	0	0
V18	0	2	7	0	97	10	13	0	61	0	0	0	12	0	0
V19	1	0	1	0	1	2	0	2	0	0	0	0	0	0	0
V20	17	108	39	5	1	0	10	0	0	0	0	10	0	2	9
V21	26	103	0	24	72	3	0	4	19	10	5	41	0	4	0
V22	3	24	7	20	0	0	16	4	0	6	5	0	1	4	0
V23	180	17	149	8	0	1	69	0	0	2	20	0	6	5	0
V24	0	10	0	64	46	10	0	7	21	5	0	17	0	0	9
V25	97	13	21	3	2	2	0	1	0	7	5	0	0	0	7
V26	19	0	156	34	20	0	82	0	2	5	2	0	0	0	0
V27	218	0	1	7	22	0	0	0	0	39	28	0	0	0	0
V28	10	9	2	9	0	17	0	9	13	2	7	17	0	0	0
V29	0	35	0	64	19	4	5	6	3	8	2	8	0	3	0
V30	13	2	5	22	4	6	0	0	71	0	0	0	0	0	0
V31	1	86	0	72	2	0	0	0	0	0	0	10	0	30	0
V32	274	6	0	0	0	0	0	0	0	49	12	0	0	0	15
V33	22	7	4	15	19	0	0	8	0	19	0	0	0	0	0
V34	6	35	0	0	29	21	0	0	39	0	0	2	10	0	0
V35	0	1	0	20	3	34	0	0	0	6	2	0	0	0	0
V36	4	78	8	1	105	0	0	0	0	5	0	18	0	0	0
V37	76	60	14	14	0	0	56	7	0	3	6	0	0	13	5
V38	165	1	1	12	0	6	0	12	0	31	3	0	0	0	47
V39	16	67	57	7	10	5	9	9	0	12	0	7	0	14	0
V40	1	53	0	32	0	0	0	0	0	0	2	2	0	2	0
V41	49	0	52	99	0	2	47	0	0	0	10	0	0	0	0
V42	162	30	0	39	0	20	0	15	0	7	17	0	0	2	7
V43	26	24	4	0	0	16	7	10	0	0	0	4	6	0	0
V44	16	0	23	0	47	0	0	3	86	27	0	2	0	0	0
V45	36	33	0	9	10	0	0	0	30	4	7	0	0	6	7
V46	104	1	91	8	0	6	26	7	0	5	19	0	0	0	8
V47	222	32	4	9	1	0	16	0	0	38	18	0	0	0	12
V48	376	0	9	111	0	0	0	4	0	8	51	0	0	0	13
V49	84	169	2	0	42	121	3	92	10	8	7	13	0	27	4
V50	71	45	33	21	0	0	7	1	0	11	10	0	0	13	9
V51	18	24	7	10	2	6	8	13	42	28	3	15	0	0	0
V52	0	18	36	19	0	39	56	0	26	0	0	0	0	2	0
V53	53	19	100	0	3	1	40	0	0	0	5	0	4	0	0
V54	213	160	7	5	5	0	15	19	0	7	34	0	0	8	44
V55	14	32	22	1	4	1	0	19	10	6	0	0	0	11	2
V56	25	0	0	12	17	40	0	54	0	0	1	8	4	0	0
V57	0	20	7	63	6	31	0	0	0	7	6	19	27	0	0
V58	138	278	62	4	0	6	29	1	0	16	15	0	0	0	0
V59	50	136	30	87	0	1	11	0	0	0	15	8	0	18	0
V60	26	5	0	9	12	33	0	0	1	5	4	0	0	0	0
V61	0	67	5	1	224	0	12	0	93	16	2	13	0	37	0
V62	0	11	3	18	1	35	10	0	16	2	0	0	3	0	0
V63	0	19	64	51	105	59	8	76	44	29	0	42	33	0	0
V64	90	0	119	18	0	14	30	0	0	8	27	0	1	2	0
V65	79	0	3	17	0	7	0	10	1	15	6	2	9	0	0
V66	28	7	0	16	0	7	0	6	2	7	0	0	9	0	4
V67	0	29	4	19	135	33	0	64	0	28	0	2	72	30	0
V68	46	42	2	0	0	7	12	5	0	0	2	3	0	0	0
V69	61	11	0	54	0	1	0	6	0	13	14	0	9	1	5
V70	56	89	44	33	0	0	16	0	6	5	10	12	0	0	9
V71	18	0	59	36	14	31	43	41	0	0	2	0	0	0	0
V72	0	1	10	1	5	4	3	17	0	2	0	0	0	0	0
V73	185	0	2	153	0	0	0	0	14	8	1	0	0	1	7
V74	13	0	5	5	9	14	7	14	0	5	6	0	0	0	0
V75	102	0	10	4	16	4	6	58	8	6	0	0	2	0	7
V76	35	111	10	39	0	8	35	15	0	4	6	30	3	0	0
V77	46	6	1	112	0	0	4	0	0	0	7	18	2	15	5
V78	49	0	7	5	6	12	33	18	0	13	6	4	0	0	0
V79	73	2	0	2	0	0	0	19	2	13	4	0	0	0	15
V80	44	13	51	0	47	0	24	27	126	9	0	7	0	0	3
V81	13	87	0	19	13	55	0	19	0	15	1	8	0	25	0
V82	284	69	17	7	0	0	17	45	0	15	27	0	0	0	16
V83	4	10	0	20	0	0	0	0	0	0	0	9	0	0	0
V84	0	32	64	12	4	40	22	28	0	0	0	0	2	2	0
V85	2	0	11	0	10	22	7	0	0	4	1	1	0	3	0
V86	57	2	21	10	7	22	0	101	0	4	6	0	9	0	23
V87	15	0	0	12	36	29	0	63	46	0	6	0	34	0	0
V88	0	264	148	21	4	0	114	0	0	0	14	1	0	5	0
V89	12	109	20	5	0	0	33	0	0	1	2	0	0	22	0
V90	0	0	4	41	58	123	7	104	11	0	0	0	0	0	0
V91	128	57	33	40	34	0	53	0	29	0	2	30	0	0	0
V92	49	51	61	0	22	107	32	18	19	0	5	14	0	0	5
V93	2	61	59	7	152	149	20	51	30	3	0	15	109	17	0
V94	22	94	0	11	15	0	0	3	7	5	0	0	0	23	0
V95	4	0	106	5	0	105	99	34	18	0	0	6	0	0	4
V96	0	0	11	98	204	0	0	0	147	10	0	20	10	26	0
V97	18	81	96	1	0	16	56	0	0	0	5	0	12	0	4
V98	14	24	18	3	27	0	7	0	29	0	2	0	8	14	0
V99	20	12	103	0	52	0	43	31	0	0	5	15	0	0	0
V100	52	0	0	1	5	46	1	0	0	4	12	0	0	0	6
