Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R
V1	0	12	2	41	0	10	13	7	0	10	0	0	19	0	0	3	0	0
V2	2	2	41	141	0	0	40	0	6	2	0	0	2	0	0	16	4	0
V3	94	120	71	48	0	0	51	0	0	41	58	19	4	0	0	0	9	0
V4	1	46	8	20	10	0	25	42	0	0	0	0	0	21	6	0	6	0
V5	34	10	11	15	10	0	10	0	16	0	19	0	0	1	2	6	0	0
V6	0	0	0	0	4	0	2	7	24	0	0	0	0	5	0	8	1	0
V7	230	22	3	17	21	0	14	0	0	0	77	40	0	0	0	3	0	0
V8	0	16	8	33	69	0	12	32	1	2	0	39	0	58	2	45	0	0
V9	0	1	112	3	28	0	3	21	28	0	0	0	0	0	20	29	0	0
V10	3	2	16	3	76	93	10	5	64	75	4	57	0	65	63	13	0	0
V11	0	28	25	2	4	17	2	0	3	0	0	0	16	0	0	0	7	0
V12	238	0	4	98	0	0	36	0	0	0	75	28	0	0	17	0	0	0
V13	0	3	106	46	0	0	66	0	4	0	0	0	0	0	0	0	0	0
V14	95	57	0	12	11	214	28	118	36	110	23	8	9	6	0	3	0	0
V15	43	59	18	0	0	0	1	0	0	9	14	0	13	0	0	0	14	0
V16	74	20	2	0	3	0	1	0	4	0	23	0	4	6	16	0	0	0
V17	0	0	0	107	44	0	69	27	28	0	0	4	0	1	3	5	0	0
V18	167	0	0	105	0	44	35	0	0	0	74	39	0	0	0	0	0	0
V19	15	6	100	6	2	0	0	0	12	0	2	0	41	0	0	0	0	2
V20	5	193	18	50	15	178	48	0	0	26	0	9	33	0	10	60	2	0
V21	0	10	40	9	69	0	10	0	17	3	0	6	0	30	21	0	0	0
V22	51	38	56	149	0	159	70	0	0	0	13	9	0	4	0	27	6	0
V23	1	4	71	0	112	0	10	59	130	1	2	2	0	29	0	5	9	0
V24	3	0	20	3	8	28	4	0	7	32	4	0	0	0	0	4	0	0
V25	0	4	56	12	48	0	8	0	3	45	5	14	0	5	0	13	3	0
V26	32	3	116	172	10	90	88	0	12	25	11	21	0	2	0	0	0	0
V27	16	74	11	54	0	161	23	0	2	0	0	53	26	2	39	53	3	0
V28	78	14	0	0	173	0	0	86	83	0	0	0	0	34	119	0	0	0
V29	2	0	2	11	10	18	10	0	2	0	3	38	1	0	0	14	2	2
V30	0	18	125	147	13	10	60	0	20	8	0	0	12	1	0	0	0	0
V31	3	21	0	92	4	0	59	3	4	6	2	5	0	8	0	4	9	0
V32	3	45	122	56	179	0	21	82	50	0	0	5	0	4	0	0	1	0
V33	31	12	0	13	3	31	6	0	0	7	11	10	0	1	0	0	1	0
V34	40	5	59	0	0	0	0	0	10	0	10	0	13	0	0	0	2	0
V35	191	14	13	15	0	10	26	0	0	11	36	6	0	0	3	0	0	0
V36	0	6	149	3	0	108	7	1	29	32	0	46	51	0	3	0	0	0
V37	1	0	14	6	6	0	7	4	5	0	0	0	0	14	21	1	0	0
V38	18	3	137	137	3	0	64	0	5	0	7	11	0	0	0	0	7	0
V39	38	23	23	3	40	64	23	27	9	94	0	54	0	0	0	21	0	0
V40	37	162	161	8	0	0	14	4	11	10	10	0	27	0	6	17	6	5
V41	0	17	0	52	103	14	15	19	46	7	0	0	0	0	1	19	0	0
V42	72	69	30	39	11	0	28	0	0	2	16	3	13	0	0	0	2	0
V43	1	30	0	12	10	8	1	23	0	0	0	8	30	3	0	0	0	0
V44	0	37	133	33	2	93	15	12	0	0	3	22	5	0	0	17	5	21
V45	3	34	40	14	25	0	4	0	26	0	4	5	11	1	0	0	0	0
V46	0	10	2	0	11	0	2	0	0	0	0	0	22	0	3	0	0	0
V47	34	26	9	41	3	49	47	0	0	11	11	0	0	0	12	0	0	0
V48	68	55	39	0	71	0	9	0	29	12	22	0	0	0	7	0	9	0
V49	8	11	0	84	116	0	39	27	56	9	0	11	0	38	22	56	0	0
V50	45	143	2	0	42	10	0	0	0	23	34	34	10	30	0	0	0	0
V51	89	66	61	9	84	0	19	35	29	0	25	0	28	0	0	0	0	0
V52	27	176	155	0	23	0	1	8	27	0	13	0	100	5	0	0	23	0
V53	33	17	21	0	255	0	2	110	0	17	9	0	0	64	0	0	16	0
V54	6	21	6	0	70	19	17	125	0	18	0	7	0	21	0	0	1	1
V55	6	24	81	4	0	0	2	4	9	1	0	0	14	0	3	0	4	17
V56	4	31	12	0	23	0	3	0	2	0	0	0	0	16	0	0	0	7
V57	106	65	2	46	8	31	39	0	0	66	41	54	0	0	0	8	15	0
V58	3	69	54	8	89	0	6	0	40	0	0	0	0	6	0	0	0	11
V59	1	104	53	103	0	9	35	0	0	5	1	0	66	1	0	1	6	0
V60	370	13	6	0	1	2	0	1	0	27	35	47	0	2	4	9	0	0
V61	18	11	105	0	0	0	1	0	0	0	6	8	0	0	0	0	9	0
V62	40	1	80	27	4	88	32	0	5	3	19	18	3	3	0	2	0	13
V63	35	21	18	14	5	105	11	8	0	40	21	32	0	0	0	34	0	0
V64	12	23	10	1	1	3	4	0	0	0	0	0	15	0	0	8	0	0
V65	123	58	41	18	0	12	9	0	0	3	69	1	0	0	0	0	7	0
V66	12	6	40	119	43	0	53	0	20	15	0	10	6	14	0	0	0	4
V67	1	34	15	2	0	0	0	4	0	25	0	23	1	4	0	0	0	0
V68	16	202	62	27	82	0	43	116	21	0	0	0	0	13	29	3	22	0
V69	29	45	7	0	34	0	1	10	8	9	6	0	22	0	21	0	0	0
V70	75	0	126	0	17	0	0	0	0	0	27	10	25	5	0	0	0	29
V71	4	0	7	7	0	2	21	0	0	0	0	3	0	0	0	0	0	0
V72	2	58	6	11	4	8	10	3	4	5	0	2	12	1	23	0	0	0
V73	47	29	21	60	60	59	21	0	57	52	21	10	13	32	21	0	0	0
V74	11	16	11	65	0	1	36	0	23	3	11	4	7	0	1	0	0	0
V75	0	46	61	49	7	46	66	0	23	0	0	0	0	0	0	5	1	3
V76	129	4	32	0	266	0	3	169	75	0	47	0	3	55	0	0	0	17
V77	2	3	0	0	0	63	0	0	0	0	4	0	0	0	7	24	0	2
V78	12	0	0	7	0	0	12	0	0	10	6	0	7	0	0	3	0	0
V79	1	31	4	22	0	0	2	21	2	0	2	0	0	2	8	0	0	0
V80	45	22	36	76	0	20	38	14	11	11	6	7	22	11	0	4	2	0
V81	108	292	24	0	48	0	8	0	0	0	33	3	13	12	0	0	31	0
V82	94	97	3	103	20	45	79	0	0	79	9	27	25	0	3	0	0	0
V83	25	18	7	14	0	0	14	0	2	0	6	5	0	2	0	0	0	1
V84	78	74	4	6	0	56	1	0	14	5	29	0	0	0	17	0	12	0
V85	7	180	6	30	0	0	4	0	2	0	2	0	17	0	0	0	0	0
V86	3	24	0	0	76	0	0	25	25	0	0	0	0	60	76	2	0	0
V87	2	10	11	11	21	110	20	0	0	39	14	0	29	2	6	16	0	0
V88	95	6	2	3	0	2	0	0	0	27	30	25	7	3	0	0	0	0
V89	36	4	6	0	0	59	2	0	0	39	13	23	0	0	21	0	0	0
V90	103	11	8	4	55	0	9	2	4	0	37	27	0	32	44	0	0	0
V91	24	62	2	0	11	0	3	1	0	21	2	16	29	5	0	0	7	0
V92	0	0	17	253	0	1	156	0	0	12	0	14	0	0	0	0	0	0
V93	0	0	148	35	0	6	10	18	7	3	0	0	44	4	0	0	7	33
V94	0	34	2	78	24	1	38	0	3	12	0	0	0	0	0	39	0	2
V95	3	168	30	0	98	0	14	58	46	0	0	0	6	0	0	24	19	0
V96	22	3	5	0	33	0	0	101	0	35	0	0	0	0	21	9	0	0
V97	75	1	43	0	0	0	2	0	0	0	27	6	2	0	0	0	0	6
V98	8	1	7	35	0	0	7	0	3	0	7	0	0	0	0	0	0	0
V99	2	1	9	7	1	6	4	3	0	35	0	9	6	0	0	0	0	0
V100	52	10	17	8	0	0	2	0	9	0	15	0	0	0	0	0	0	0
