Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
V1	108	120	0	35	0	53	77	47	62	5	15	0	46
V2	214	3	0	33	0	0	98	0	0	0	0	0	25
V3	72	26	0	169	3	0	17	3	16	15	7	21	0
V4	0	73	21	92	8	19	3	17	46	0	0	1	10
V5	97	0	98	0	87	2	25	17	0	0	0	2	33
V6	6	1	9	5	16	38	21	0	9	0	0	0	0
V7	177	14	197	0	61	19	92	0	0	19	29	19	8
V8	3	106	1	0	13	5	0	6	0	0	0	10	15
V9	19	3	4	0	6	12	26	0	0	0	0	2	0
V10	0	0	169	7	45	10	0	6	0	0	46	0	6
V11	1	14	58	25	136	25	0	32	24	40	0	2	0
V12	9	22	1	73	0	0	23	3	10	0	0	1	0
V13	34	1	13	9	3	16	7	0	0	0	0	10	0
V14	2	75	257	16	5	10	0	0	0	0	75	6	42
V15	34	6	11	10	0	20	12	5	19	0	2	7	0
V16	36	99	50	69	0	0	7	16	0	2	9	0	53
V17	42	0	12	19	7	30	1	9	0	0	6	3	0
V18	36	0	45	13	10	27	0	5	5	8	0	11	0
V19	8	17	136	0	1	18	0	8	50	0	19	0	0
V20	24	200	0	116	1	0	43	0	15	5	17	25	13
V21	25	28	3	0	5	279	9	114	82	0	0	19	0
V22	25	57	1	0	31	52	14	20	81	2	0	18	0
V23	66	21	24	0	0	17	29	4	25	0	0	2	8
V24	106	30	0	3	86	0	102	0	0	52	0	0	0
V25	66	5	75	0	2	82	41	35	32	0	0	0	0
V26	0	9	0	19	18	0	0	0	0	31	7	8	0
V27	38	20	46	0	19	43	11	13	0	0	0	0	1
V28	56	31	0	0	1	1	50	16	0	0	0	0	0
V29	0	9	194	0	0	17	0	0	0	5	11	0	6
V30	10	54	23	240	1	8	14	25	24	3	14	41	0
V31	13	47	61	33	1	6	13	0	0	0	5	0	0
V32	50	60	21	9	21	8	0	26	0	15	38	0	2
V33	0	35	106	149	1	29	0	0	47	0	0	5	0
V34	24	28	70	110	13	12	53	8	29	0	2	1	0
V35	2	0	11	0	56	25	0	35	8	13	0	8	0
V36	36	39	33	41	2	40	18	17	33	11	15	0	1
V37	56	0	1	0	20	67	47	9	6	14	0	0	0
V38	0	180	24	17	7	9	0	20	4	0	0	0	0
V39	8	18	29	22	1	36	0	44	0	0	0	0	0
V40	4	91	45	0	37	29	0	2	18	23	0	0	2
V41	3	55	4	10	6	65	0	11	0	0	0	0	0
V42	6	0	27	0	49	0	22	5	0	14	0	0	7
V43	18	67	0	2	13	0	6	0	0	0	1	13	1
V44	2	39	18	8	5	0	2	0	0	0	37	15	0
V45	0	7	3	192	13	0	1	37	0	33	0	0	0
V46	0	132	147	6	10	104	5	39	39	0	0	0	0
V47	7	14	0	12	1	0	42	4	3	0	0	0	0
V48	18	28	42	0	28	59	51	20	0	1	6	0	33
V49	5	32	0	62	0	0	4	3	13	0	13	8	11
V50	25	12	185	0	2	1	12	6	0	0	58	0	17
V51	18	0	1	0	19	24	23	13	40	0	0	6	0
V52	75	3	35	0	21	0	24	0	0	29	0	0	0
V53	64	0	6	69	13	44	29	22	6	11	0	7	0
V54	93	54	42	2	0	99	52	31	38	0	0	0	0
V55	78	103	50	0	8	0	58	0	0	12	0	0	31
V56	11	19	0	36	4	2	9	0	5	0	0	1	0
V57	0	43	109	116	374	0	0	0	0	127	5	3	7
V58	51	67	57	1	0	6	54	30	4	0	0	30	0
V59	5	70	0	6	16	12	0	0	0	11	6	0	18
V60	51	0	3	133	78	19	79	0	50	27	53	1	0
V61	7	4	1	0	36	51	14	2	0	23	0	10	0
V62	1	138	12	8	217	0	6	0	0	61	0	0	0
V63	103	81	0	0	52	11	57	8	0	1	0	1	0
V64	4	0	3	0	21	11	0	3	0	29	0	0	0
V65	20	22	4	20	27	56	0	32	28	10	9	0	0
V66	10	21	9	0	67	0	0	0	0	47	0	0	0
V67	10	5	10	0	52	0	12	0	0	31	0	0	0
V68	187	71	2	3	0	0	120	0	0	0	0	0	10
V69	11	213	1	2	42	1	8	0	0	1	0	3	0
V70	82	0	0	0	0	0	15	0	0	0	0	18	10
V71	0	11	0	13	37	0	0	0	1	0	0	1	0
V72	0	86	8	84	52	0	9	0	11	6	9	0	0
V73	22	21	257	51	2	66	3	0	28	0	0	12	0
V74	113	28	21	139	0	3	52	7	0	0	0	9	0
V75	8	140	1	42	49	33	0	1	1	2	39	11	0
V76	78	0	7	0	25	0	11	0	2	17	0	0	0
V77	15	19	0	0	366	213	16	156	22	83	0	0	0
V78	324	0	47	117	7	0	98	0	0	0	0	10	39
V79	51	0	0	11	2	45	19	23	40	0	3	16	0
V80	0	30	0	5	18	6	0	3	18	6	2	7	9
V81	6	7	32	168	48	11	1	9	12	65	0	0	0
V82	19	114	4	0	5	0	0	0	0	9	22	0	13
V83	1	9	0	45	1	57	17	14	37	2	3	11	0
V84	30	0	4	0	0	0	0	1	0	8	0	0	0
V85	101	4	4	0	12	50	8	14	12	8	0	11	0
V86	0	120	92	0	19	15	0	20	5	0	0	9	0
V87	324	37	0	3	8	71	68	10	3	0	0	19	0
V88	22	0	50	19	108	10	2	4	0	12	16	7	0
V89	0	11	48	99	41	0	0	8	1	4	3	3	0
V90	50	27	36	56	0	29	32	0	13	0	0	0	0
V91	24	7	22	0	193	145	11	84	135	75	3	5	0
V92	41	66	1	64	17	17	41	27	32	0	0	19	0
V93	30	33	0	13	75	18	52	18	0	25	0	6	0
V94	241	0	13	0	67	101	0	33	61	0	0	43	0
V95	122	119	26	0	6	121	80	15	0	11	0	25	22
V96	37	25	30	0	12	57	0	73	34	7	29	0	27
V97	0	56	0	13	2	31	0	93	67	3	36	2	0
V98	58	200	35	41	19	38	0	15	8	29	13	16	0
V99	0	0	63	0	1	79	0	132	20	0	0	0	0
V100	0	13	62	279	17	14	0	60	0	0	26	2	0
