Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M
V1	33	3	3	0	23	14	27	0	11	0	0	8	0
V2	0	47	91	5	8	0	68	19	0	17	0	0	8
V3	0	19	20	0	42	19	38	40	0	3	0	0	0
V4	4	30	25	0	0	0	3	2	6	0	2	0	0
V5	159	23	20	34	0	0	2	0	0	10	40	0	0
V6	191	154	15	0	39	3	47	30	0	83	42	1	0
V7	47	195	1	38	0	30	3	23	103	30	0	0	0
V8	70	55	4	43	11	0	0	3	33	23	0	0	0
V9	1	27	0	1	15	15	0	2	25	0	13	0	0
V10	0	20	6	13	0	7	0	0	47	0	38	0	1
V11	20	3	68	15	9	18	0	0	33	0	0	22	0
V12	12	109	63	139	8	74	5	25	16	42	0	0	25
V13	0	70	0	7	37	24	7	14	20	0	20	26	0
V14	302	9	48	92	26	11	0	13	50	0	5	2	0
V15	0	1	56	96	0	0	11	5	2	0	0	0	25
V16	108	18	60	59	19	0	1	26	5	16	3	0	0
V17	0	33	0	7	17	37	8	9	2	0	14	18	42
V18	0	112	68	0	19	0	3	0	0	37	0	0	0
V19	10	30	40	36	10	0	32	43	0	3	34	0	14
V20	44	0	11	51	0	32	6	0	0	2	9	9	0
V21	18	2	37	5	0	100	24	0	6	12	0	0	0
V22	0	5	7	47	30	73	9	23	0	3	0	0	0
V23	0	22	0	10	1	0	0	0	0	26	23	6	7
V24	149	132	43	65	26	47	15	0	0	96	0	0	0
V25	259	144	8	15	2	159	9	0	183	0	0	30	8
V26	3	0	0	4	34	101	11	0	0	0	2	4	18
V27	18	0	19	50	0	18	15	2	25	0	8	0	1
V28	144	7	0	18	0	5	0	0	35	12	0	14	1
V29	50	7	4	12	80	44	53	15	15	10	0	0	0
V30	119	62	0	59	12	44	14	7	60	0	62	59	0
V31	38	0	30	0	56	40	105	91	3	18	0	4	0
V32	74	170	64	0	0	39	0	0	19	46	10	46	0
V33	12	38	38	204	0	7	0	60	24	14	0	0	0
V34	77	0	29	102	2	9	0	17	0	53	78	43	0
V35	11	128	93	0	0	13	0	3	15	0	69	0	0
V36	115	0	46	0	114	0	141	33	0	0	7	0	0
V37	6	1	1	13	0	12	0	0	0	0	1	2	0
V38	77	26	18	5	27	0	16	4	0	19	19	0	0
V39	64	0	7	16	31	0	35	19	0	12	34	3	0
V40	0	5	31	78	146	17	67	25	4	0	5	15	0
V41	2	0	27	0	4	0	11	0	0	0	6	0	14
V42	3	0	1	22	0	7	0	1	0	0	0	11	0
V43	0	3	0	16	9	29	1	0	0	4	1	6	14
V44	40	13	4	2	41	54	0	9	16	0	0	52	0
V45	236	142	294	6	0	1	0	0	47	39	0	0	7
V46	0	86	0	84	12	3	0	17	9	18	2	22	9
V47	4	16	3	53	14	14	29	13	0	0	3	0	0
V48	0	7	9	10	33	39	41	13	0	0	2	28	0
V49	0	19	96	1	4	6	15	7	0	0	3	1	4
V50	7	184	22	12	0	1	0	0	11	55	38	0	0
V51	6	3	7	0	0	2	26	16	13	0	11	0	0
V52	87	12	8	0	100	0	50	53	44	9	0	0	0
V53	7	0	0	2	134	0	98	19	40	0	0	0	0
V54	0	0	0	111	8	65	6	5	0	3	12	0	0
V55	38	4	53	0	2	5	0	0	17	0	0	12	0
V56	14	79	54	0	13	171	5	0	4	44	0	8	3
V57	2	0	27	99	73	63	156	35	22	0	39	0	0
V58	3	0	2	30	0	0	0	0	17	0	0	0	0
V59	27	20	54	28	121	3	78	71	22	0	0	0	50
V60	28	57	0	4	33	22	0	0	13	0	1	0	14
V61	0	0	166	49	107	0	121	100	0	0	0	0	86
V62	0	285	0	48	1	4	4	0	34	2	22	0	0
V63	78	2	38	0	14	102	0	0	66	0	0	19	0
V64	1	0	59	77	185	5	98	75	0	0	0	1	10
V65	137	0	274	61	0	0	0	0	0	14	54	20	0
V66	3	0	57	77	28	4	24	12	0	0	0	2	0
V67	36	32	0	51	1	0	10	0	12	0	44	0	0
V68	15	204	7	13	0	0	10	2	6	37	0	0	0
V69	129	19	97	7	0	0	0	23	26	0	0	9	0
V70	14	2	2	6	0	190	6	0	0	0	9	52	0
V71	0	75	0	26	52	60	39	23	0	34	1	0	61
V72	30	4	126	0	6	38	0	0	21	0	6	13	0
V73	10	53	66	139	55	0	0	48	0	12	0	0	27
V74	66	0	53	3	4	7	2	0	7	0	0	0	0
V75	113	160	97	38	0	2	0	0	0	32	43	4	0
V76	0	68	34	21	0	17	0	0	1	31	9	0	18
