NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	45.059	18.488	10.952	12.224	0.09	0.989	30000.0
2	50.616	20.736	12.372	13.744	0.096	0.987	30000.0
3	49.743	20.302	12.104	13.706	0.092	0.987	40000.0
4	49.736	20.254	11.961	13.549	0.093	0.987	60000.0
5	48.936	19.694	11.779	13.224	0.094	0.988	40000.0
6	47.423	19.555	11.305	13.043	0.096	0.988	40000.0
7	49.366	20.232	12.006	13.471	0.093	0.987	50000.0
8	48.047	19.812	11.818	13.509	0.094	0.987	40000.0
9	47.199	19.168	11.383	12.61	0.095	0.989	40000.0
10	45.315	18.415	10.821	12.058	0.091	0.99	40000.0
