NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	184.696	30.889	42.284	20.123	0.152	0.972	40000.0
2	186.616	31.208	42.582	20.353	0.153	0.972	50000.0
3	188.636	31.576	43.19	21.045	0.152	0.972	50000.0
4	186.647	31.156	43.008	20.217	0.151	0.972	30000.0
5	187.787	31.388	42.664	20.117	0.153	0.972	30000.0
6	184.387	30.904	42.293	20.395	0.148	0.972	30000.0
7	187.263	31.356	43.288	20.812	0.154	0.971	50000.0
8	185.752	30.975	42.389	20.045	0.151	0.973	30000.0
9	186.23	31.466	42.467	20.549	0.154	0.97	40000.0
10	186.109	31.286	42.296	20.423	0.155	0.972	60000.0
11	186.653	30.993	42.746	20.263	0.15	0.973	40000.0
12	185.287	31.369	42.1	20.438	0.154	0.97	30000.0
13	185.015	30.739	42.297	20.02	0.15	0.973	50000.0
14	185.975	31.143	42.433	20.399	0.152	0.97	20000.0
15	186.824	31.063	42.833	20.39	0.152	0.971	20000.0
16	186.024	31.043	42.406	20.041	0.152	0.971	60000.0
17	186.926	31.046	42.706	20.234	0.152	0.972	30000.0
18	186.988	31.424	42.832	20.575	0.153	0.971	50000.0
19	185.542	31.044	42.403	20.29	0.151	0.971	40000.0
20	184.502	30.938	42.199	20.106	0.151	0.971	30000.0
21	185.625	31.307	42.309	20.414	0.153	0.971	30000.0
22	185.254	31.252	42.727	20.47	0.151	0.971	30000.0
23	184.93	31.087	42.078	20.182	0.151	0.971	60000.0
24	187.363	31.043	42.974	20.245	0.15	0.973	30000.0
25	185.016	31.02	42.576	20.372	0.152	0.971	40000.0
