Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.65,0.5,NO,N/A,51.1%,43.73%,158.42%,33.64%,106.23,0.2019,2.4177,0.063,0.693,0.929,0.157
3,1.0,1.0,NO,N/A,7.38%,23.61%,160.84%,13.96%,109.8,0.1213,2.5622,0.019,0.706,0.978,0.154
4,0.99,0.98,YES,5.22e-10,6.01%,22.56%,159.16%,12.85%,108.55,0.1071,2.4559,0.016,0.699,0.982,0.159
5*,0.98,0.92,YES,3.65e-01,4.15%,19.78%,149.87%,11.08%,98.65,0.091,2.0871,0.012,0.655,0.986,0.172
6,0.93,0.65,YES,Most Stab Sigs,3.76%,18.79%,105.21%,10.52%,74.4,0.0782,1.0943,0.01,0.332,0.988,0.597
7,0.74,-0.27,NO,N/A,3.68%,19.1%,102.02%,10.68%,73.23,0.078,1.054,0.009,0.319,0.989,0.614
8,0.64,-0.15,NO,N/A,3.74%,17.84%,103.62%,10.29%,73.16,0.0737,1.0722,0.009,0.318,0.99,0.615
9,0.61,-0.32,NO,N/A,3.27%,17.91%,104.9%,10.07%,74.12,0.0726,1.0686,0.008,0.326,0.99,0.606
10,0.51,-0.23,NO,N/A,3.41%,17.63%,103.89%,10.01%,73.57,0.0713,1.0857,0.008,0.321,0.99,0.612
11,0.46,-0.53,NO,N/A,3.23%,16.47%,103.11%,9.0%,72.98,0.0682,1.0418,0.007,0.315,0.991,0.62
12,0.38,-0.46,NO,N/A,3.45%,17.05%,98.14%,9.3%,71.32,0.069,1.0007,0.007,0.299,0.991,0.64
13,0.36,-0.5,NO,N/A,3.5%,16.78%,97.55%,9.32%,71.38,0.0669,0.9917,0.007,0.299,0.992,0.639
14,0.27,-0.72,NO,N/A,3.08%,15.38%,104.16%,8.25%,73.95,0.065,1.0864,0.007,0.323,0.992,0.611
15,0.28,-0.6,NO,N/A,3.64%,15.52%,99.21%,8.27%,72.0,0.0651,1.0003,0.006,0.305,0.993,0.632
