Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
V1	181	160	162	52	10	3
V2	312	0	20	41	0	0
V3	95	14	31	195	4	10
V4	2	67	84	104	23	10
V5	126	19	15	0	106	95
V6	21	47	3	7	10	17
V7	261	24	26	17	232	75
V8	6	16	122	0	0	15
V9	38	14	6	1	5	8
V10	0	15	0	16	211	47
V11	2	71	17	41	63	163
V12	26	8	26	82	0	0
V13	45	19	1	12	13	3
V14	5	18	99	34	328	4
V15	48	44	7	14	13	0
V16	47	17	132	83	62	0
V17	45	39	0	22	16	7
V18	42	38	0	19	46	15
V19	9	63	19	4	161	1
V20	61	11	230	145	9	3
V21	39	476	33	1	3	12
V22	43	148	67	4	1	38
V23	95	45	29	0	27	0
V24	195	0	42	20	0	122
V25	102	143	9	0	84	0
V26	1	3	12	36	4	36
V27	47	53	21	0	50	20
V28	100	17	38	0	0	0
V29	0	14	12	0	216	0
V30	29	51	61	280	33	3
V31	22	3	50	36	67	1
V32	56	34	66	21	44	29
V33	0	57	38	164	113	0
V34	61	37	35	124	78	15
V35	0	72	0	0	12	74
V36	53	84	45	53	44	7
V37	96	88	3	1	1	31
V38	0	27	189	20	25	0
V39	8	72	19	25	32	2
V40	0	48	101	0	49	53
V41	3	74	56	10	4	7
V42	24	0	5	0	33	68
V43	28	0	77	0	0	16
V44	7	6	46	20	42	5
V45	0	22	9	226	0	29
V46	3	166	140	7	155	11
V47	38	7	21	17	0	0
V48	57	90	49	2	53	35
V49	10	15	41	77	8	0
V50	37	9	21	11	239	1
V51	40	78	1	1	1	23
V52	104	0	6	0	39	38
V53	91	70	2	83	6	19
V54	138	164	63	0	46	0
V55	131	0	133	0	58	18
V56	17	5	21	40	0	4
V57	0	0	51	164	120	449
V58	105	47	82	0	66	0
V59	6	15	85	12	4	22
V60	114	63	3	178	34	102
V61	20	65	6	3	1	53
V62	0	0	149	26	13	255
V63	148	20	90	0	0	56
V64	5	18	0	6	4	38
V65	22	108	25	28	10	35
V66	12	2	25	8	10	97
V67	20	1	7	6	12	74
V68	299	0	94	0	0	0
V69	17	1	217	3	1	43
V70	119	0	6	0	0	0
V71	0	0	12	15	0	36
V72	5	5	90	96	13	56
V73	28	83	23	56	270	2
V74	161	0	34	154	23	0
V75	10	40	149	54	22	52
V76	97	0	0	0	8	35
V77	29	391	24	0	0	446
V78	429	0	22	138	53	0
V79	78	107	1	19	2	3
V80	1	28	40	10	1	24
V81	7	24	10	206	34	78
V82	22	1	130	6	17	10
V83	15	110	12	57	1	2
V84	34	0	0	0	5	4
V85	116	78	5	4	4	17
V86	0	35	128	0	97	20
V87	403	96	44	0	0	0
V88	27	16	0	29	61	117
V89	0	0	12	108	53	45
V90	74	38	31	62	38	0
V91	37	347	14	29	27	250
V92	78	72	77	78	1	19
V93	70	40	41	25	0	94
V94	272	191	1	9	14	72
V95	197	155	144	8	29	14
V96	45	166	41	8	52	19
V97	0	185	68	29	21	0
V98	67	63	209	57	44	32
V99	0	223	0	0	72	0
V100	0	54	14	307	79	19
