NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	42.368	15.637	10.348	9.871	0.075	0.993	70000.0
2	40.526	14.698	9.717	9.043	0.071	0.994	50000.0
3	39.065	14.019	9.371	8.672	0.071	0.995	50000.0
4	41.669	15.388	10.143	9.601	0.074	0.993	60000.0
5	40.879	14.888	9.903	9.213	0.071	0.994	110000.0
6	41.562	14.944	9.983	9.141	0.071	0.994	60000.0
7	39.586	13.969	9.233	8.245	0.069	0.995	40000.0
8	40.214	14.692	9.634	8.997	0.07	0.994	120000.0
9	37.967	13.466	9.203	8.219	0.067	0.995	30000.0
10	39.376	14.461	9.679	8.959	0.071	0.995	50000.0
