MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
3:Ins:R:0	2.31E-08	3.22E-08	5.75E-08	5.31E-08	4.13E-05	6.18E-08	4.43E-05
3:Ins:R:1	3.91E-04	7.06E-04	5.00E-04	0.00E+00	3.88E-07	1.64E-02	3.09E-03
3:Ins:R:2	3.23E-08	7.07E-05	4.13E-05	8.09E-08	1.77E-07	7.82E-08	1.94E-07
3:Ins:R:3	8.74E-05	3.88E-09	7.09E-05	1.40E-04	1.61E-04	2.30E-08	1.97E-04
3:Ins:R:4	0.00E+00	1.48E-04	1.78E-05	2.61E-08	1.30E-08	2.13E-08	1.56E-08
3:Ins:R:5	5.49E-04	4.20E-04	3.23E-03	3.41E-04	0.00E+00	4.94E-04	2.68E-05
4:Ins:R:0	1.58E-08	3.66E-08	4.28E-05	1.66E-08	1.66E-04	2.97E-07	2.85E-04
4:Ins:R:1	0.00E+00	9.85E-05	4.34E-05	2.00E-04	1.84E-04	2.08E-04	2.00E-04
4:Ins:R:2	8.24E-05	3.31E-08	4.32E-08	3.91E-08	1.22E-04	3.58E-08	1.15E-04
4:Ins:R:3	2.55E-08	3.19E-08	4.69E-08	4.04E-08	9.26E-05	5.16E-08	5.42E-05
4:Ins:R:4	4.01E-05	2.87E-08	8.10E-05	1.02E-04	5.54E-05	7.86E-09	5.25E-05
4:Ins:R:5	3.00E-04	3.38E-04	1.72E-04	4.14E-05	2.58E-04	8.65E-05	1.51E-04
5:Ins:R:0	1.89E-08	9.12E-09	1.23E-08	2.34E-08	1.86E-04	1.03E-04	2.49E-04
5:Ins:R:1	1.27E-04	4.12E-04	2.77E-04	4.60E-04	1.74E-03	2.87E-04	2.31E-03
5:Ins:R:2	2.12E-08	5.77E-08	3.83E-08	1.28E-04	8.17E-05	6.76E-05	4.51E-08
5:Ins:R:3	3.82E-08	4.29E-08	4.77E-08	6.09E-05	9.58E-05	5.30E-08	1.47E-04
5:Ins:R:4	4.51E-05	4.18E-08	9.05E-05	3.48E-05	6.17E-05	1.74E-08	1.11E-04
5:Ins:R:5	3.30E-08	6.02E-05	5.62E-08	5.14E-08	7.26E-08	4.73E-08	3.38E-08
2:Del:M:1	3.67E-04	0.00E+00	3.27E-04	3.01E-04	9.07E-04	2.99E-05	5.13E-04
