Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G
V1	31	25	111	18	172	4	0
V2	108	50	137	542	5	46	0
V3	18	36	2	116	34	44	32
V4	37	20	81	22	16	0	35
V5	43	27	11	145	46	62	34
V6	77	4	79	14	45	24	22
V7	438	16	24	21	10	0	78
V8	22	4	30	0	28	72	0
V9	62	5	300	17	164	36	25
V10	252	0	0	136	0	0	81
V11	16	0	93	0	82	0	25
V12	46	306	4	115	4	54	10
V13	118	13	17	0	11	91	85
V14	0	0	50	30	107	146	44
V15	512	72	0	10	2	3	0
V16	81	19	27	0	4	24	46
V17	66	11	5	41	7	3	7
V18	28	26	2	0	42	0	0
V19	4	12	29	29	19	95	10
V20	43	6	78	0	0	10	9
V21	66	7	14	72	8	2	19
V22	4	33	0	50	27	134	0
V23	5	49	192	27	75	78	0
V24	0	197	61	3	126	0	0
V25	48	1	37	3	10	0	0
V26	12	3	148	6	6	105	9
V27	238	78	11	0	20	0	109
V28	5	528	9	0	0	0	0
V29	114	11	120	0	71	77	54
V30	33	4	4	0	6	4	12
V31	0	0	133	0	102	41	21
V32	30	0	70	0	1	0	26
V33	2	0	7	0	43	57	26
V34	1	163	152	108	46	24	0
V35	2	24	17	42	115	23	19
V36	0	22	353	18	59	19	0
V37	16	2	6	96	2	0	22
V38	40	17	70	17	0	6	2
V39	65	0	30	0	15	25	62
V40	26	19	51	3	70	32	0
V41	99	0	7	80	14	143	18
V42	12	39	0	3	54	34	0
V43	344	1	2	36	10	109	0
V44	2	2	75	16	1	51	34
V45	16	0	47	0	44	0	53
V46	70	27	2	78	127	16	7
V47	136	14	2	41	0	2	38
V48	2	4	106	39	65	3	0
V49	504	73	1	17	4	34	0
V50	112	4	56	0	43	9	18
V51	6	19	39	21	10	121	0
V52	18	125	107	0	6	1	69
V53	0	6	148	308	61	59	61
V54	11	104	0	0	172	12	4
V55	55	5	56	15	6	0	20
V56	1	154	21	3	76	59	6
V57	18	59	2	3	75	21	6
V58	261	79	34	3	41	70	28
V59	0	2	115	71	32	65	59
V60	82	73	7	185	17	10	0
V61	3	0	88	0	159	0	121
V62	106	92	38	12	75	17	59
V63	14	15	31	0	0	18	35
V64	61	96	30	0	0	71	12
V65	39	463	70	133	5	34	4
V66	43	89	48	38	1	29	0
V67	6	20	39	168	2	37	27
V68	34	0	13	4	19	9	6
V69	33	21	1	72	0	55	5
V70	2	114	11	1	5	3	0
V71	1	0	3	11	33	6	0
V72	9	13	0	28	230	55	12
V73	0	1	5	11	122	134	0
V74	118	59	40	11	52	16	6
V75	37	8	126	9	10	13	0
V76	15	12	1	0	7	39	0
V77	51	0	0	207	11	56	23
V78	146	44	16	55	34	26	0
V79	7	147	1	0	100	7	0
V80	154	19	157	0	67	7	47
V81	136	2	47	74	19	7	0
V82	5	36	2	3	16	8	2
V83	92	0	0	79	146	22	28
V84	0	20	29	0	7	6	12
V85	9	7	1	0	96	5	0
V86	76	49	27	25	61	11	16
V87	1	613	42	36	3	33	48
V88	16	11	27	30	16	5	4
V89	38	5	0	186	6	0	27
V90	111	100	194	67	5	24	24
V91	42	5	33	11	8	10	4
V92	17	24	15	27	17	229	12
V93	4	314	0	1	23	27	11
V94	17	24	66	1	150	8	30
V95	0	1	16	4	121	3	0
V96	36	183	60	112	5	13	109
V97	8	47	23	50	21	82	0
V98	33	8	14	102	4	92	15
V99	17	17	311	70	6	80	0
V100	3	17	0	27	3	1	6
