De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-A, Signature ID8 (100.00%), 23.27,  10.44, 0.074, 0.99, 0.99
Signature 83-B, Signature ID9 (100.00%), 14.01,  8.71, 0.081, 1.00, 1.00
Signature 83-C, Signature 83-C, 0, 0, 0, 1, 1
Signature 83-D, Signature 83-D, 0, 0, 0, 1, 1
Signature 83-E, Signature ID1 (100.00%), 6.34,  1.36, 0.272, 1.00, 1.00
Signature 83-F, Signature ID2 (100.00%), 7.74,  1.83, 0.131, 1.00, 1.00
