Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I
V1	140	8	143	12	57	0	0	10	16
V2	205	71	0	5	26	6	0	0	20
V3	0	10	1	107	49	0	13	0	0
V4	6	0	1	9	0	12	0	0	4
V5	220	1	15	53	0	2	0	0	49
V6	187	75	69	158	58	0	48	23	44
V7	8	0	62	76	28	77	0	13	11
V8	16	484	0	55	9	22	0	20	0
V9	108	12	12	108	0	17	7	11	0
V10	0	44	40	13	69	0	7	17	17
V11	0	1	20	16	0	1	0	0	0
V12	95	19	0	10	27	1	0	0	32
V13	0	5	51	98	2	5	6	0	2
V14	425	7	252	102	56	0	0	0	13
V15	43	79	21	2	20	82	20	2	0
V16	5	2	11	6	36	2	0	0	0
V17	115	13	0	141	0	13	0	47	0
V18	52	5	34	96	12	0	11	5	0
V19	32	60	7	0	21	75	13	0	0
V20	286	30	0	128	18	0	16	0	50
V21	180	39	12	2	12	0	0	0	0
V22	0	0	0	76	43	4	28	8	0
V23	13	59	0	0	57	0	17	34	0
V24	10	16	0	69	21	0	14	2	0
V25	389	0	0	20	35	0	9	11	78
V26	10	60	173	82	29	342	13	0	0
V27	104	8	5	21	0	47	36	0	7
V28	11	68	6	26	11	96	34	80	0
V29	103	41	32	21	2	0	8	0	34
V30	281	0	0	1	13	0	0	0	43
V31	2	94	127	14	4	46	0	0	0
V32	100	5	19	0	93	100	20	0	0
V33	67	33	21	0	20	17	0	7	0
V34	107	9	2	62	9	16	6	9	30
V35	130	50	52	142	74	0	5	5	23
V36	34	0	1	17	5	0	0	0	30
V37	21	1	31	6	11	44	0	0	0
V38	0	15	125	0	19	1	5	77	6
V39	135	21	0	51	7	27	37	53	0
V40	112	4	47	0	22	5	0	0	6
V41	37	41	0	31	95	307	171	31	0
V42	43	109	98	49	14	37	0	13	0
V43	2	99	11	34	0	1	0	0	7
V44	1	1	86	0	46	0	0	0	3
V45	29	40	141	230	49	18	22	58	9
V46	37	279	0	2	0	116	37	0	0
V47	19	5	49	66	37	0	13	0	0
V48	8	70	22	66	89	0	0	0	15
V49	0	23	0	137	27	0	39	19	0
V50	122	228	235	3	40	18	35	0	0
V51	16	79	2	3	48	0	0	0	7
V52	18	22	30	0	9	160	58	0	0
V53	23	0	0	21	316	88	0	9	11
V54	3	6	0	0	11	0	0	0	0
V55	14	14	2	12	4	8	31	12	10
V56	6	0	37	12	0	37	0	0	0
V57	42	0	284	11	66	39	0	36	7
V58	138	23	39	0	64	0	5	39	0
V59	5	87	9	107	18	41	29	3	0
V60	66	47	17	52	44	27	28	0	0
V61	32	0	0	42	14	5	0	2	5
V62	127	224	0	0	183	0	44	0	0
V63	81	36	76	2	10	84	2	0	2
V64	11	60	46	38	0	19	0	1	0
V65	13	40	10	1	8	10	0	10	8
V66	0	5	29	129	229	21	38	11	0
V67	20	27	0	7	0	40	0	23	0
V68	63	69	3	44	205	15	16	0	0
V69	192	51	124	55	155	0	1	0	0
V70	1	18	0	0	4	15	8	2	3
V71	13	1	3	55	8	8	0	0	0
V72	4	32	4	0	9	0	4	2	0
V73	21	15	107	9	0	67	0	8	0
V74	38	1	93	184	46	3	0	0	24
V75	30	0	79	3	128	401	0	1	0
V76	21	90	0	0	106	27	3	32	0
V77	13	464	6	8	2	0	0	24	0
V78	9	253	0	0	0	20	1	4	0
V79	17	266	10	199	10	8	43	0	0
V80	15	95	64	77	22	78	62	0	0
V81	0	19	0	5	7	2	0	0	0
V82	0	45	3	0	9	8	4	0	0
V83	9	76	105	26	0	0	0	0	0
V84	1	0	2	19	4	40	0	0	0
V85	51	107	34	12	2	11	8	0	0
V86	5	26	2	51	0	28	10	34	0
V87	73	36	38	1	0	0	0	7	6
V88	31	6	51	0	1	35	4	0	0
V89	144	0	177	0	0	6	17	0	3
V90	32	6	0	1	0	0	13	32	0
V91	55	0	109	12	48	65	22	5	0
V92	0	7	292	33	23	35	8	30	0
V93	26	8	6	0	37	2	0	0	0
V94	11	27	18	29	192	57	0	4	31
V95	6	0	8	13	43	21	0	34	15
V96	6	2	86	69	21	0	5	0	14
V97	95	4	434	1	0	160	0	29	0
V98	9	244	89	2	11	26	0	47	0
V99	8	89	40	41	2	0	1	0	18
V100	0	54	53	300	0	44	5	33	1
