NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	42.479	15.136	10.025	8.456	0.091	0.995	40000.0
2	46.152	17.084	11.065	9.836	0.098	0.993	60000.0
3	43.093	16.016	9.713	8.777	0.099	0.994	40000.0
4	47.685	17.592	11.144	9.864	0.103	0.993	40000.0
5	42.324	15.633	9.595	8.667	0.097	0.995	50000.0
6	44.324	16.487	10.104	9.244	0.097	0.993	50000.0
7	46.764	17.358	11.118	9.936	0.102	0.992	50000.0
8	46.765	17.032	11.141	9.819	0.099	0.993	40000.0
9	44.336	16.038	10.333	8.778	0.097	0.994	50000.0
10	42.884	16.025	9.72	8.767	0.1	0.994	100000.0
