De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-A, Signature 83-A, 0, 0, 0, 1, 1
Signature 83-B, Signature ID9 (100.00%), 7.26,  4.10, 0.053, 1.00, 1.00
Signature 83-C, Signature ID1 (100.00%), 4.20,  0.83, 0.068, 1.00, 1.00
Signature 83-D, Signature ID8 (100.00%), 20.53,  9.51, 0.066, 1.00, 1.00
Signature 83-E, Signature ID2 (100.00%), 6.07,  1.15, 0.070, 1.00, 1.00
Signature 83-F, Signature 83-F, 0, 0, 0, 1, 1
