NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	44.275	17.696	10.653	11.145	0.092	0.991	60000.0
2	47.984	18.751	11.697	11.852	0.092	0.991	40000.0
3	46.259	18.857	11.346	12.218	0.101	0.99	40000.0
4	49.202	19.595	11.708	12.176	0.099	0.99	30000.0
5	49.058	20.053	12.143	13.081	0.098	0.988	40000.0
6	50.074	20.025	12.461	12.827	0.092	0.989	50000.0
7	47.774	19.22	11.668	12.509	0.096	0.989	60000.0
8	43.992	17.511	10.717	11.041	0.093	0.992	50000.0
9	50.908	20.617	12.425	13.226	0.103	0.988	30000.0
10	45.483	18.704	10.706	11.82	0.102	0.99	80000.0
