NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	257.301	79.027	90.782	62.443	0.511	0.761	30000.0
2	256.652	77.78	89.712	62.034	0.504	0.769	30000.0
3	260.46	78.97	91.679	62.728	0.507	0.766	30000.0
4	259.069	78.075	91.267	62.138	0.507	0.766	30000.0
5	265.684	80.699	93.887	64.594	0.533	0.746	20000.0
6	255.586	78.627	90.391	62.534	0.512	0.762	40000.0
7	256.38	77.636	88.356	61.462	0.502	0.772	30000.0
8	255.385	77.246	88.112	60.773	0.499	0.778	60000.0
9	257.57	77.295	89.303	61.383	0.495	0.774	20000.0
10	259.715	79.113	91.57	62.899	0.513	0.76	20000.0
