NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	47.695	15.099	11.816	9.75	0.086	0.993	40000.0
2	43.937	13.753	10.169	8.288	0.082	0.995	60000.0
3	43.424	13.986	10.414	8.793	0.086	0.994	30000.0
4	43.86	14.117	10.415	8.86	0.085	0.994	60000.0
5	42.698	13.524	9.792	8.001	0.082	0.995	50000.0
6	44.647	14.301	10.851	9.024	0.089	0.995	30000.0
7	47.097	14.956	11.156	9.201	0.086	0.994	70000.0
8	47.205	14.736	12.221	9.743	0.087	0.992	60000.0
9	45.371	14.385	10.732	8.838	0.087	0.994	40000.0
10	45.142	14.525	10.927	9.113	0.084	0.993	80000.0
