Samples	ID83A	ID83B	ID83C	ID83D
V1	15	4	46	31
V2	61	9	1	42
V3	25	276	38	9
V4	49	3	9	1
V5	85	86	6	76
V6	76	96	4	8
V7	111	6	19	3
V8	159	29	66	119
V9	74	61	1	54
V10	41	31	16	14
V11	74	21	3	7
V12	20	5	21	128
V13	189	46	0	1
V14	67	13	35	5
V15	24	35	55	0
V16	41	47	0	1
V17	30	78	260	31
V18	18	0	12	25
V19	8	20	281	19
V20	85	41	16	5
V21	101	170	17	94
V22	382	49	205	0
V23	0	240	7	5
V24	345	101	0	24
V25	115	38	445	16
V26	97	3	53	227
V27	255	94	58	0
V28	5	549	35	0
V29	50	12	159	10
V30	527	97	11	19
V31	382	284	31	0
V32	88	16	36	0
V33	48	0	7	108
V34	4	154	138	110
V35	103	22	12	30
V36	4	20	54	7
V37	0	40	14	2
V38	0	0	6	481
V39	7	145	552	52
V40	114	5	3	205
V41	0	29	83	0
V42	267	196	18	5
V43	0	3	122	0
V44	38	3	116	14
V45	15	133	5	294
V46	2	7	52	162
V47	2	58	57	68
V48	44	262	89	0
V49	99	39	23	26
V50	112	64	42	0
V51	14	32	0	113
V52	11	49	107	86
V53	21	78	26	51
V54	158	105	12	4
V55	16	2	12	5
V56	4	81	0	332
V57	1	56	66	1
V58	60	92	30	117
V59	31	84	13	54
V60	219	17	118	31
V61	101	69	69	79
V62	70	348	1	42
V63	17	21	8	11
V64	27	100	94	6
V65	70	116	1	1
V66	243	19	87	6
V67	12	67	0	263
V68	75	106	19	58
V69	95	60	178	0
V70	3	21	4	2
V71	282	17	221	0
V72	28	109	18	42
V73	63	196	3	74
V74	19	165	297	0
V75	219	213	97	0
V76	26	0	0	7
V77	125	24	36	20
V78	0	28	79	48
V79	11	119	5	0
V80	344	8	0	0
V81	43	28	11	125
V82	129	22	202	0
V83	586	0	75	0
V84	54	94	14	9
V85	18	57	42	33
V86	45	4	2	7
V87	28	3	7	39
V88	30	0	32	31
V89	81	43	20	1
V90	12	0	314	1
V91	0	61	121	237
V92	22	159	12	10
V93	41	43	0	19
V94	67	85	39	117
V95	8	79	9	4
V96	36	8	15	212
V97	57	0	280	0
V98	1	43	14	52
V99	152	321	24	0
V100	24	31	496	0
