NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	61.553	26.827	15.402	15.999	0.179	0.981	30000.0
2	62.277	27.353	15.113	16.105	0.182	0.981	20000.0
3	61.805	27.297	14.917	15.97	0.185	0.98	30000.0
4	60.967	27.171	14.821	16.196	0.184	0.98	30000.0
5	63.36	27.794	15.681	16.763	0.185	0.979	20000.0
6	63.896	27.587	15.708	16.438	0.188	0.98	20000.0
7	61.419	26.447	14.941	15.538	0.172	0.982	20000.0
8	64.63	28.079	16.205	16.645	0.186	0.979	30000.0
9	60.401	26.509	14.845	15.963	0.173	0.98	20000.0
10	61.65	27.061	14.938	16.027	0.178	0.98	40000.0
