MutationType	ID83A	ID83B	ID83C	ID83D	ID83E
1:Del:C:0	0.1439615186303854	0.0005243540916126221	0.02136497765313834	0.006284651975147426	0.06440180195495486
1:Del:C:1	0.06079334523528814	0.0012888652989033744	0.0001488388457801193	0.00017530068715068125	0.01876872757354988
1:Del:C:2	0.003661099122837186	1.051930595963313e-08	0.0005229254681268003	6.625817578864712e-05	0.0002625164207330499
1:Del:C:3	0.00764927794225514	0.00011773955775424838	0.004511817893944681	0.000466063671046868	0.0008055387705098837
1:Del:C:4	0.00462589884409681	0.0008979374484624714	0.0042299531865864996	5.3053931333124636e-05	0.0020849228429142387
1:Del:C:5	0.0048025880008935925	0.5017655998468399	0.007040404953295365	0.0007587300502004624	0.0006649928633123636
1:Del:T:0	0.06242826376110315	0.0017667045758571476	0.008353588846512138	0.0002523688890505582	0.0277472079731524
1:Del:T:1	0.022148291673511268	0.0002940101956482977	0.003832037071697414	0.0	0.00989360558160115
1:Del:T:2	0.040857555065304044	0.0010857308516278863	0.011645066738128661	0.0014502407444524578	0.015521327662281693
1:Del:T:3	0.050169522408396006	0.0011056891176849603	0.03065596427768469	0.0	0.02698786756955087
1:Del:T:4	0.042447941936552526	0.001858657726552343	0.047638358920812605	0.002645103191025555	0.017554877512156963
1:Del:T:5	5.122992612349719e-07	1.1771849585784367e-06	0.7909860849380493	2.009774092925909e-07	1.0631297769237426e-06
1:Ins:C:0	0.0026676599634811284	1.8999643367223485e-05	0.0007070425505240508	4.784561014048449e-09	6.393477889332643e-08
1:Ins:C:1	0.002010953414719552	0.0006443544419681757	0.0002107411299988371	1.0678570205868709e-08	3.495546188787557e-05
1:Ins:C:2	9.895793198211323e-08	0.026734587515008457	0.0016546218666704249	0.0021387020645505573	0.6555903486907482
1:Ins:C:3	5.669169430611021e-05	0.0006996866360168497	0.00043922915856455804	0.0005755230609793216	0.020653170114383102
1:Ins:C:4	0.0002502376461052336	3.4304055407119447e-05	0.001815703813917935	0.0017506011761724948	0.0
1:Ins:C:5	0.0015082028970937245	0.0012280694383662194	0.008571630949154497	0.019645599462091923	0.004047753731720149
1:Ins:T:0	0.006888049561530352	4.2483070865273474e-05	0.003053024725522846	0.0006895116428495384	0.003539229673333466
1:Ins:T:1	0.006900699902325868	0.0002438487704651493	0.00010486835778920068	1.754634523862819e-05	0.001985828796047606
1:Ins:T:2	0.0011270960516412743	0.0009225370944477618	0.0013376404298469425	0.00016012462583603337	0.0005137873522471637
1:Ins:T:3	0.001635826117126271	0.0	0.0002913938001391614	0.002350735757499933	3.686222626129165e-05
1:Ins:T:4	5.7462239055894315e-05	3.088077100983355e-05	0.0037265289924107493	0.01738134166225791	0.0020918450318276882
1:Ins:T:5	9.259079803314307e-07	0.0010409275575739229	1.2024844409097567e-08	0.8975816905498505	2.1926798836613416e-07
2:Del:R:0	0.011692007863894105	0.00010229378731310134	0.0008849364137859083	5.567891747659814e-09	0.004887313826475293
2:Del:R:1	0.008400876354426146	0.00045758286250929814	0.0031538645387627186	0.0010057289204269183	0.0033602144627366214
2:Del:R:2	0.00022152340970933438	0.0001606247649760917	0.0014415779907722027	0.0008921612694393844	0.00019553538877516984
2:Del:R:3	0.000864293063315813	0.003812104312237352	0.0003737841553970611	0.00040365945897065104	0.08962865145877004
2:Del:R:4	1.1684637684084009e-07	0.00010532768537032666	0.0009772739463215884	2.861066494830311e-08	6.277985455263035e-05
2:Del:R:5	0.0006640721295894991	1.7458434742323448e-08	3.913906851948923e-08	6.072375917653971e-08	0.00010116515214235733
3:Del:R:0	0.008546371664851903	0.00016201306134462358	0.0007108573936420726	0.00010668542818166315	5.617265705950558e-05
3:Del:R:1	0.003783188620582223	0.00022581930970773102	0.004797238577157259	0.00449329954572022	0.001962124864803627
3:Del:R:2	0.0017876609577797352	0.0004966674110619351	0.0010430200898554176	0.0	0.00041617981041781605
3:Del:R:3	2.4267870912808577e-08	2.731952086776346e-07	0.00010556482296948388	0.0004140674794854249	0.00046813459346140007
3:Del:R:4	3.455927355844324e-07	2.63127651578543e-07	3.612916486872564e-07	2.3297582458781107e-07	4.4411077908534936e-07
3:Del:R:5	3.455927355844324e-07	2.63127651578543e-07	3.612916486872564e-07	2.3297582458781107e-07	4.4411077908534936e-07
