Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
V1	94	46	34	20	0	0	0	2	20	7	0	2	0	0	29	0	0	1	0	0
V2	12	41	0	0	0	0	0	21	22	5	10	0	1	5	30	5	0	0	3	0
V3	15	56	17	1	0	11	22	4	24	4	4	4	19	9	1	6	0	5	0	0
V4	0	0	0	10	0	0	7	9	0	10	3	0	7	1	0	0	0	0	0	1
V5	132	23	0	61	0	8	33	1	8	5	37	0	4	1	0	5	2	0	4	0
V6	18	100	32	2	0	91	2	0	25	0	7	14	0	49	31	1	0	4	0	0
V7	114	28	0	0	4	47	0	0	33	2	2	0	0	0	0	4	0	0	0	0
V8	18	4	6	28	47	0	0	0	4	0	0	3	6	0	2	0	0	0	4	0
V9	1	45	11	3	0	6	0	7	0	14	1	1	0	0	0	3	0	0	2	0
V10	28	42	97	0	1	0	0	0	4	2	0	14	0	0	2	0	0	6	0	0
V11	39	9	15	0	0	0	35	43	0	15	1	2	10	23	16	21	0	0	0	0
V12	0	40	20	12	23	2	0	0	0	5	0	4	0	0	2	1	0	8	0	0
V13	1	7	4	0	100	0	0	0	0	4	0	2	5	10	0	6	0	0	0	0
V14	123	0	2	78	14	0	0	10	0	2	0	0	0	0	0	0	1	0	0	5
V15	51	9	16	28	0	18	0	0	9	0	0	6	0	0	0	0	0	2	4	0
V16	70	12	3	32	19	0	25	0	0	10	12	0	1	2	0	7	0	0	6	0
V17	26	6	24	1	0	1	7	5	0	5	0	3	0	0	7	0	0	0	0	0
V18	5	37	2	0	32	0	13	2	0	5	0	4	0	2	9	2	0	0	2	0
V19	126	47	0	30	69	0	0	0	0	4	0	0	0	0	0	0	0	5	0	3
V20	26	107	0	0	46	8	0	0	4	0	2	0	0	2	0	3	11	8	2	2
V21	22	23	0	0	4	0	0	28	0	28	13	0	11	9	0	4	0	0	1	0
V22	27	22	64	0	0	0	61	0	0	15	23	23	11	0	1	9	0	0	0	0
V23	4	47	117	167	14	41	14	41	40	5	0	27	20	12	16	12	0	2	0	11
V24	19	2	3	0	130	3	1	4	1	2	0	2	0	0	6	3	0	2	2	0
V25	15	15	16	52	0	8	0	44	7	12	17	0	14	2	0	21	0	0	2	0
V26	2	99	0	201	228	0	0	0	0	14	1	0	0	0	0	0	27	0	0	13
V27	3	0	0	8	3	0	70	94	0	19	48	0	33	10	5	11	0	0	1	0
V28	172	300	101	0	0	14	12	0	24	3	9	9	17	9	17	15	0	25	0	0
V29	71	66	0	60	0	0	4	0	8	20	3	0	0	0	0	0	0	12	0	0
V30	71	34	3	93	5	0	22	0	0	17	13	0	5	0	0	9	0	0	0	0
V31	62	79	17	0	0	64	1	5	26	0	0	8	5	0	0	0	2	13	0	0
V32	27	4	0	0	8	28	0	6	10	0	7	2	9	9	6	2	0	0	0	0
V33	83	7	16	31	54	0	0	0	0	12	0	2	0	0	0	0	10	0	0	5
V34	0	4	0	20	0	14	38	45	16	29	24	0	30	2	10	9	0	0	0	0
V35	0	0	2	0	7	75	6	0	23	0	0	0	0	4	46	0	0	0	0	0
V36	100	16	0	98	229	2	0	0	11	31	0	0	0	0	0	14	1	0	0	4
V37	89	0	120	84	94	0	0	0	0	15	5	29	0	0	0	0	0	0	0	0
V38	52	26	9	0	0	1	0	0	0	0	3	0	0	0	3	2	0	9	0	3
V39	22	0	0	22	0	124	0	16	0	6	34	0	8	10	0	4	0	0	7	0
V40	45	0	24	236	36	0	4	23	0	34	0	16	9	6	5	9	0	0	5	0
V41	8	0	57	0	2	0	19	0	0	1	10	12	0	19	0	0	0	0	0	0
V42	0	98	36	0	0	34	0	0	10	0	0	7	1	0	0	9	15	11	0	5
V43	3	47	89	28	120	0	0	0	1	8	0	13	0	0	0	0	28	4	0	14
V44	127	2	5	0	0	17	10	4	1	2	0	3	21	0	0	0	2	0	0	0
V45	0	0	211	0	2	87	0	0	26	0	6	60	0	7	4	1	0	7	0	0
V46	2	27	59	41	0	11	3	0	0	0	1	4	1	5	2	16	0	0	0	0
V47	138	6	23	0	1	0	0	0	7	0	0	4	0	1	8	0	0	0	3	0
V48	37	1	29	55	0	3	61	18	0	6	0	7	11	1	2	15	0	0	0	0
V49	75	2	17	21	2	0	2	0	0	8	5	0	3	0	5	0	0	0	0	0
V50	4	34	23	0	0	0	25	0	0	6	8	2	3	0	0	5	0	10	0	0
V51	77	9	0	0	39	1	9	0	0	0	8	0	6	0	4	3	0	0	5	0
V52	7	2	48	0	3	69	0	0	24	2	0	17	0	8	3	4	0	0	0	0
V53	201	0	4	12	0	105	14	27	70	0	26	0	4	23	30	1	0	0	0	0
V54	21	2	10	0	9	23	3	11	10	0	5	1	0	0	15	4	0	0	13	0
V55	0	55	0	0	0	141	30	51	18	16	40	0	33	8	0	3	0	0	0	0
V56	82	43	1	90	95	2	16	29	54	24	0	0	36	0	33	26	0	0	0	0
V57	23	24	33	35	0	0	2	0	4	17	7	3	6	0	0	3	0	0	0	0
V58	43	98	86	46	70	0	0	0	0	7	0	35	0	2	2	0	0	7	0	0
V59	13	0	0	10	0	0	33	61	21	19	27	1	15	15	0	13	0	0	0	0
V60	125	5	2	23	0	0	6	3	5	0	18	0	0	8	11	3	0	0	0	0
V61	23	21	2	0	0	22	34	13	4	11	0	5	18	22	0	4	1	0	0	0
V62	295	0	18	0	6	23	1	8	40	0	10	7	8	4	7	1	0	0	0	0
V63	207	4	3	35	149	7	6	0	0	13	15	2	0	0	0	0	0	4	0	0
V64	45	102	49	15	0	20	0	2	11	0	2	11	0	8	20	0	4	10	8	3
V65	14	12	17	0	0	0	0	18	6	5	0	8	3	8	2	0	4	0	0	0
V66	30	2	9	0	11	0	5	0	0	4	3	0	8	0	0	3	0	0	0	0
V67	262	18	4	82	11	1	44	14	0	9	10	0	19	0	0	8	0	1	3	0
V68	7	45	8	0	0	70	45	7	0	16	0	6	27	15	10	7	0	4	0	0
V69	5	46	0	82	0	11	20	5	11	21	19	0	22	0	6	11	0	7	10	1
V70	258	59	0	9	8	2	0	0	0	1	0	1	0	0	10	0	0	0	4	0
V71	0	20	39	0	24	0	23	0	0	11	15	16	0	0	0	2	0	0	0	2
V72	42	18	21	14	71	2	17	0	8	0	7	11	0	7	0	0	0	0	0	0
V73	47	1	46	73	0	24	3	14	10	6	19	12	1	5	0	4	36	0	0	0
V74	0	13	25	0	6	0	2	0	0	14	7	2	0	15	0	0	0	0	0	0
V75	62	4	31	19	0	0	4	0	6	0	0	4	0	0	0	0	15	1	0	0
V76	38	202	29	0	9	2	0	0	0	0	0	2	0	0	2	12	0	10	5	3
V77	36	41	2	30	0	0	15	21	6	12	11	7	6	30	0	8	0	6	0	0
V78	11	0	64	2	0	19	41	0	1	10	8	0	23	23	0	0	0	0	0	0
V79	0	2	0	44	25	0	23	26	2	15	8	0	0	0	0	1	0	0	0	0
V80	2	52	0	5	9	0	0	0	2	1	0	0	0	1	8	5	0	0	1	0
V81	1	12	6	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
V82	0	112	71	40	0	4	61	37	13	55	7	16	1	27	8	10	0	7	0	0
V83	6	34	69	5	0	13	0	18	0	6	15	11	1	3	1	6	0	2	2	0
