Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S	ID83T
V1	3.31E+00	4.28E+00	3.30E+00	4.80E+00	6.37E-01	5.96E+00	4.97E+00	6.87E-01	0.00E+00	3.88E+00	0.00E+00	2.14E+00	0.00E+00	5.22E-01	6.91E+00	0.00E+00	0.00E+00	2.68E+00	7.00E-01	2.78E+00
V2	1.29E+00	3.96E-01	2.12E+00	8.79E-01	7.02E-01	3.94E-01	0.00E+00	1.02E+00	1.41E+00	2.16E+00	1.45E+00	1.84E+00	1.58E+00	9.60E-01	0.00E+00	2.24E+00	9.29E-01	2.13E-01	4.27E-01	2.00E-01
V3	1.54E+00	0.00E+00	1.78E+00	5.35E+00	1.13E+00	3.89E-01	7.92E-01	1.37E+00	1.11E+00	2.44E+00	3.03E+00	3.04E+00	2.50E+00	1.53E+00	5.36E+00	1.37E+00	1.19E+00	0.00E+00	1.10E+00	0.00E+00
V4	5.43E+00	6.57E-01	2.64E+00	1.61E+00	1.58E+01	5.67E-01	6.63E-01	5.21E+00	4.31E+00	3.38E+00	2.24E+00	6.66E+00	2.68E+00	8.83E-01	1.40E+00	2.05E+00	2.05E+01	2.00E-01	3.60E+00	1.71E+00
V5	1.00E-01	1.55E+01	4.31E+00	3.64E+00	4.90E-01	3.79E-01	7.75E-01	0.00E+00	2.13E-01	5.50E+00	7.09E+00	0.00E+00	4.73E+00	1.79E+00	4.52E+00	3.02E+00	3.20E+00	1.23E+01	1.20E+00	1.72E+01
V6	3.22E+00	2.21E-01	3.97E+00	5.40E+00	0.00E+00	4.46E+00	7.71E+00	3.07E-01	8.47E-01	4.16E+00	3.00E-01	3.67E+00	0.00E+00	4.99E-01	6.79E+00	6.86E-01	1.00E-01	0.00E+00	1.19E+00	1.00E-01
V7	1.51E+01	4.99E-01	0.00E+00	4.86E+00	1.25E+00	6.33E+00	9.05E+00	5.90E+00	7.93E+00	5.00E-01	1.09E+00	1.44E+01	7.61E-01	4.52E-01	7.76E+00	1.56E+00	8.02E+00	8.46E-01	1.21E+00	1.41E+00
V8	9.50E+00	0.00E+00	1.27E+00	2.02E+00	0.00E+00	9.89E-01	8.20E-01	7.72E-01	7.57E-01	1.80E+00	3.34E+00	9.18E+00	1.36E+00	4.07E-01	3.50E+00	7.92E-01	1.52E+00	1.00E+00	5.38E+00	1.40E+00
V9	4.07E+00	6.09E+00	2.23E+00	3.46E+00	2.48E+00	1.32E+00	0.00E+00	2.94E+00	3.48E+00	2.54E+00	4.82E-01	4.79E+00	7.67E-01	1.19E+00	3.37E+00	8.06E-01	6.09E+00	1.47E+00	0.00E+00	8.53E+00
V10	3.38E+00	1.01E+01	1.73E+01	1.61E+01	2.41E+00	1.72E+01	6.28E+00	3.55E+00	1.08E+00	1.59E+01	2.64E+00	3.49E+00	1.61E+00	2.34E+00	1.94E+01	2.85E+00	3.93E+00	1.14E+01	1.55E+00	3.54E+00
V11	1.84E+01	2.14E+00	2.91E-01	3.00E-01	1.69E+00	5.63E-01	2.54E+00	1.18E+00	1.25E+00	4.00E-01	6.86E-01	1.89E+01	1.09E+00	2.13E-01	9.48E-01	1.28E+00	4.79E+00	2.36E+00	5.13E+00	2.49E+00
V12	2.17E+01	1.66E+00	9.83E+00	2.00E+00	1.65E+00	0.00E+00	7.33E-01	1.70E+00	2.14E+00	1.22E+01	1.46E+00	1.80E+01	3.10E+00	1.29E+00	6.05E-01	2.16E+00	2.52E+00	2.88E+00	5.28E+00	6.32E-01
V13	6.56E+00	1.96E+00	0.00E+00	8.03E-01	4.82E-01	6.99E-01	4.16E-01	1.05E+00	1.37E+00	6.00E-01	6.05E-01	7.03E+00	2.21E-01	3.06E-01	8.03E-01	9.64E-01	1.22E+00	1.56E+00	1.19E+00	1.94E+00
V14	1.49E+00	3.86E+00	3.94E-01	2.02E+00	1.32E+00	1.00E-01	0.00E+00	1.53E+00	3.44E+00	6.96E-01	1.87E+00	2.12E+00	2.34E+00	2.78E+00	3.60E+00	2.78E+00	5.03E+00	7.22E+00	6.00E-01	6.00E-01
V15	3.42E-01	7.14E+00	3.98E+00	5.58E-01	3.27E-01	2.03E+00	3.79E-01	0.00E+00	0.00E+00	3.96E+00	1.00E-01	4.96E-01	0.00E+00	8.33E-01	6.05E-01	0.00E+00	8.00E-01	7.62E+00	7.02E-01	7.27E-01
V16	8.72E-01	2.95E+00	6.54E-01	9.89E-01	6.86E+00	5.81E-01	5.73E-01	4.97E+00	4.48E+00	5.04E-01	7.64E-01	3.95E+00	1.15E+00	1.32E+00	2.32E+00	1.28E+00	9.62E+00	3.49E+00	6.00E-01	2.07E+00
V17	0.00E+00	9.83E-01	5.84E+00	1.51E+00	5.86E-01	1.82E+00	5.26E-01	0.00E+00	0.00E+00	6.27E+00	7.27E-01	0.00E+00	3.06E-01	1.59E+00	1.40E+00	0.00E+00	3.00E-01	0.00E+00	0.00E+00	9.78E-01
V18	3.73E+00	2.67E-01	6.81E+00	2.24E+00	3.35E-01	8.97E-01	1.29E+00	9.00E-01	0.00E+00	9.45E+00	1.48E+00	4.22E+00	2.22E+00	1.85E+00	3.93E+00	1.39E+00	2.31E+00	3.40E-01	3.27E+00	2.00E-01
V19	1.19E+01	0.00E+00	3.59E-01	3.90E+00	0.00E+00	4.16E-01	3.00E-01	0.00E+00	2.13E-01	6.96E-01	2.47E+00	1.09E+01	1.98E+00	2.74E+00	3.41E+00	8.70E-01	1.31E+00	3.00E-01	2.52E+00	0.00E+00
V20	2.49E+01	4.56E+00	4.27E+00	2.12E+00	4.71E+00	0.00E+00	1.63E-01	2.62E+00	6.08E+00	4.27E+00	2.80E+00	2.49E+01	3.06E+00	4.14E+00	3.36E+00	4.07E+00	7.33E+00	8.31E+00	2.99E+00	2.46E+00
V21	1.67E+00	5.37E+00	4.84E+00	3.90E+00	2.20E+00	2.08E+00	1.65E+00	1.32E+00	1.56E+00	6.31E+00	4.56E+00	1.61E+00	3.92E+00	3.36E+00	3.85E+00	2.58E+00	1.13E+00	4.53E+00	1.29E+00	7.69E+00
V22	5.59E-01	9.04E+00	4.70E+00	3.16E+00	4.41E+00	8.67E-01	1.14E+00	4.70E+00	8.90E+00	6.16E+00	4.71E+00	3.59E+00	5.16E+00	3.34E+00	7.94E+00	1.27E+00	7.16E+00	8.00E+00	1.11E+00	8.61E+00
V23	1.02E+00	5.74E+00	3.34E+00	7.14E+00	4.61E+00	2.93E+00	4.35E+00	2.04E+00	3.42E+00	4.41E+00	2.10E+00	2.26E+00	3.51E+00	2.31E+00	9.68E+00	1.28E+00	6.29E+00	8.55E+00	2.53E+00	8.62E-01
V24	6.40E-01	5.73E+00	0.00E+00	4.21E+00	1.14E+01	8.49E-01	1.13E+00	6.30E+00	8.31E+00	0.00E+00	2.53E+00	5.97E-01	2.33E+00	4.39E+00	4.98E+00	2.44E+00	1.44E+01	3.48E+00	0.00E+00	4.80E+00
V25	1.14E+00	8.82E-01	0.00E+00	2.60E+00	9.77E+00	1.14E+00	8.03E-01	5.77E+00	6.99E+00	0.00E+00	8.60E-01	9.85E+00	7.48E-01	1.00E-01	8.95E-01	1.74E+00	1.64E+01	6.00E-01	4.00E-01	2.09E+00
V26	1.41E+00	9.91E+00	3.59E+00	4.47E-01	1.52E+00	8.19E-01	1.08E+00	1.01E+00	9.29E-01	5.27E+00	1.32E+00	1.54E+00	3.67E-01	2.27E+00	4.23E-01	8.85E-01	5.96E-01	7.68E+00	7.22E+00	1.06E+01
V27	1.34E+00	1.34E+00	1.01E+01	2.78E+00	8.62E+00	2.00E+00	1.71E+00	4.53E+00	6.20E+00	1.05E+01	2.48E+00	1.28E+00	1.70E+00	8.00E-01	1.22E+00	1.00E-01	1.64E+01	1.28E+00	0.00E+00	2.63E+00
V28	3.37E+00	2.24E-01	4.15E+00	4.66E+00	1.40E+00	2.33E+00	5.60E+00	2.10E+00	2.56E+00	3.91E+00	2.52E+00	4.06E+00	3.45E+00	2.69E+00	5.26E+00	2.03E+00	3.50E+00	3.40E-01	6.05E-01	0.00E+00
V29	1.12E+01	0.00E+00	0.00E+00	2.00E-01	0.00E+00	5.86E-01	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.22E+01	6.71E-01	1.00E-01	0.00E+00	2.60E-01	1.00E-01	6.00E-01	3.47E+00	5.00E-01
V30	1.25E+01	7.46E-01	1.01E+00	1.80E+00	0.00E+00	1.33E+00	1.53E+00	0.00E+00	0.00E+00	1.10E+00	5.26E-01	1.25E+01	6.11E-01	8.44E-01	1.33E+00	9.75E-01	5.00E-01	2.00E-01	2.12E+00	5.54E-01
V31	2.00E+00	3.42E-01	2.17E+00	3.14E+00	8.79E-01	0.00E+00	5.54E-01	2.60E-01	0.00E+00	3.26E+00	3.63E+00	2.98E+00	6.57E+00	6.39E+00	9.56E+00	3.63E+00	3.00E-01	1.33E-01	1.97E+00	2.00E+00
V32	2.91E+00	2.15E+00	7.25E+00	1.75E+00	1.31E+00	1.21E+00	9.10E-01	8.79E-01	0.00E+00	9.08E+00	0.00E+00	2.21E+00	0.00E+00	1.39E+00	1.19E+00	7.18E-01	0.00E+00	2.83E+00	3.23E+00	6.71E-01
