De novo extracted, Global NMF Signatures, L1 Error %, L2 Error %, KL Divergence, Cosine Similarity, Correlation
Signature 83-A, Signature ID9 (100.00%), 6.10,  3.03, 0.022, 1.00, 1.00
Signature 83-B, Signature 83-B, 0, 0, 0, 1, 1
Signature 83-C, Signature 83-C, 0, 0, 0, 1, 1
Signature 83-D, Signature ID8 (100.00%), 20.67,  9.71, 0.057, 1.00, 1.00
Signature 83-E, Signature ID1 (100.00%), 5.38,  0.95, 0.152, 1.00, 1.00
Signature 83-F, Signature ID2 (100.00%), 7.91,  1.53, 0.041, 1.00, 1.00
