Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
X230f53ef.be3f.495e.9b95.b0f670bd6908..Panc.AdenoCA..DO51508	4.96E-01	1.98E+00	1.38E+00	5.04E-01	2.01E+00	1.76E+00
X241abdfd.e6de.4830.a233.4bbc5f622725..Panc.AdenoCA..DO49138	4.11E+00	6.76E+00	8.81E+00	2.42E+00	4.43E+00	1.64E+00
X2564a262.03e8.467b.9ea2.f3ab38d75ae1..Panc.AdenoCA..DO49457	2.88E+00	5.25E+00	4.47E+00	1.24E+00	2.50E+00	1.57E+00
X25c32aca.6738.43ef.a103.243f2f9a3b43..Panc.AdenoCA..DO51492	1.51E+00	4.04E+00	2.44E+00	1.36E+00	1.99E+00	2.64E+00
X25cf7449.8c5b.403e.aa75.e2af158598e8..Panc.AdenoCA..DO33208	4.90E+00	3.79E+00	4.96E+00	1.86E+00	2.81E+00	0.00E+00
X28f41a20.b6d6.4ecc.888f.72f779ad9af7..Panc.AdenoCA..DO49442	1.00E+00	4.99E+00	8.33E+00	1.76E+00	3.01E+00	1.08E+01
X29a00d78.b9bb.4c6b.b142.d5b8bfa63455..Panc.AdenoCA..DO35144	4.75E+00	4.55E+00	6.75E+00	2.23E+00	1.41E+00	1.00E-01
X2b3837b3.ee29.4a08.848e.1206404da986..Panc.AdenoCA..DO49448	2.30E+00	5.68E+00	6.68E+00	2.60E+00	2.67E+00	0.00E+00
X2b6d4d66.7f0b.4bc0.b3d6.171956a937c5..Panc.AdenoCA..DO49166	1.59E+00	3.91E+00	3.12E+00	1.03E+00	2.03E+00	2.06E+00
X2bd9ccca.3fae.4b66.a762.6f30d6276222..Panc.AdenoCA..DO35152	5.64E+00	1.01E+01	6.24E+00	1.62E+00	4.96E+00	1.37E+00
X2bf5b018.9f19.4fbd.9e1f.7d958aabe5d1..Panc.AdenoCA..DO51489	3.81E+00	4.48E+00	4.16E+00	3.17E+00	3.83E+00	2.71E+00
X2c48eefe.2a08.47bf.8e4d.cbaab6777150..Panc.AdenoCA..DO35222	1.21E+00	5.97E+00	4.09E+00	1.25E+00	2.97E+00	2.39E+00
X2e43e0ca.54ea.482e.acf2.0048d9187a5c..Panc.AdenoCA..DO35258	3.86E+00	7.60E+00	6.83E+00	2.20E+00	3.58E+00	1.10E+00
X2fdfb06c.0d2f.4e1d.9756.bcb08a7f90af..Panc.AdenoCA..DO221546	1.73E+00	3.44E+00	4.80E+00	3.31E+00	2.28E+00	5.45E+00
X31c75873.abb4.4d88.9e2f.07497a6c892d..Panc.AdenoCA..DO35082	6.48E+00	8.05E+00	7.87E+00	1.99E+00	3.65E+00	5.22E+00
X32fa6457.c8bd.4d26.8106.925baf13df68..Panc.AdenoCA..DO51518	4.56E+00	5.49E+00	4.21E+00	1.90E+00	3.70E+00	8.31E-01
X33061bf5.9b99.4735.a810.f2d5eeef6873..Panc.AdenoCA..DO33392	3.25E+00	4.62E+00	2.57E+00	1.75E+00	3.43E+00	1.93E+00
X33070975.0f35.4518.9ffb.4c6170c32534..Panc.AdenoCA..DO33160	2.72E+00	4.63E+00	3.65E+00	1.83E+00	1.15E+00	6.83E-01
X33bcd589.80db.4a58.8f83.a48cb60e0fda..Panc.AdenoCA..DO35148	1.89E+00	3.33E+00	5.48E+00	2.21E+00	0.00E+00	0.00E+00
