Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F
X3933c60d.73d6.4f74.ae02.fd545fc1f092..Panc.AdenoCA..DO51541	70	85	254	55	23	34
X39c6c3b3.4683.4d11.984c.ed589188da65..Panc.AdenoCA..DO51527	172	575	265	38	64	109
X39d38c06.3779.4ca4.b103.1d096f93dae8..Panc.AdenoCA..DO51532	88	196	115	20	33	34
X3b526846.72d6.4e10.b7cd.8cdb45a92a1c..Panc.AdenoCA..DO34736	135	421	205	581	33	0
X3bfbc33d.804b.4bb3.97ac.97563d77b13d..Panc.AdenoCA..DO33376	101	297	127	15	25	9
X3c86ba21.7b11.4ec7.9d20.a2325197c676..Panc.AdenoCA..DO33042	74	94	184	20	20	0
X3e4d0e50.8cf4.4eb0.a00a.ccf0484ecc2f..Panc.AdenoCA..DO33984	57	174	87	44	11	0
X3ed783cf.2248.44a1.a2a2.d6b6519b91ef..Panc.AdenoCA..DO51495	54	96	217	197	12	0
X3fb8f017.576f.4901.b8bf.3a58e5d43de3..Panc.AdenoCA..DO35138	9	44	65	5	8	2
X3fba4880.cb7b.4ac5.ab5f.728614faa1ea..Panc.AdenoCA..DO49466	111	466	154	16	48	0
X40378b7a.a65d.4510.aaba.a34c4058fac7..Panc.AdenoCA..DO49424	164	312	189	42	32	0
X42f00950.09c9.461a.8423.d5b04a96af10..Panc.AdenoCA..DO51472	66	171	149	10	9	40
X441d2f21.b448.4fc8.8c54.9b85aca56237..Panc.AdenoCA..DO35126	212	196	110	16	57	13
X4652ae03.b096.42d0.bdfa.3f6281d4f023..Panc.AdenoCA..DO35236	178	257	272	23	25	41
X46e166fe.3b20.49ad.98db.42c854c61c93..Panc.AdenoCA..DO51470	157	124	108	11	15	38
X4a4e0397.8702.46ef.aaa8.3980f03a40bf..Panc.AdenoCA..DO51521	0	0	0	2	0	16
X4a88981e.e409.440f.9bf0.71ca1bab8b4e..Panc.AdenoCA..DO51534	73	305	132	5	37	40
X4aa7eabc.0419.4897.b7af.5dcccfd6ac2f..Panc.AdenoCA..DO51476	226	0	244	612	51	49
X4c027164.12de.456f.b933.6bc91f70b46f..Panc.AdenoCA..DO49478	87	181	197	17	20	0
X4c4aa1b1.fda3.4c5b.b588.68aa727500ad..Panc.AdenoCA..DO51543	130	276	164	21	47	71
X4cbe411b.b05e.46bd.bea8.126289a0866c..Panc.AdenoCA..DO49090	192	224	166	19	51	2
X4db9e471.0068.4ec6.9bcb.33ef5fdec33e..Panc.AdenoCA..DO32976	46	234	154	20	23	9
X51458c86.0fdd.470e.b059.1ffbffc92a7f..Panc.AdenoCA..DO34288	122	100	148	19	11	5
X5187e77d.f412.4303.8049.11d1aa1a0235..Panc.AdenoCA..DO49419	207	453	89	1117	17	13
X5255d645.d3d2.422e.8449.046cd21f4935..Panc.AdenoCA..DO34809	126	65	222	42	31	5
X52f43b72.15ea.40a0.a3b4.4bf22bc0bf25..Panc.AdenoCA..DO49427	73	153	135	13	5	7
X53534b3c.cd15.4d68.a9b1.6902bb234c45..Panc.AdenoCA..DO33552	358	630	59	962	106	5
X536dedba.46c4.4a21.b112.13c030b13069..Panc.AdenoCA..DO35442	7081	4	251	12	283	120
X53e6a756.bdcc.4217.afe7.27d776159544..Panc.AdenoCA..DO35360	20	76	313	131	25	34
X54195db3.94a9.4538.8bb8.9953d936acd4..Panc.AdenoCA..DO221544	50	239	282	868	72	23
X541f91bd.7e9d.4348.9e78.45b948d8967e..Panc.AdenoCA..DO34961	41	359	246	66	21	9
X5650dc4e.8bce.4716.9199.cd5750d7a888..Panc.AdenoCA..DO35496	41	111	110	38	26	51
X569ff1b4.de87.4309.8484.80549aaf9485..Panc.AdenoCA..DO35200	10	21	50	5	2	6
X5b41e033.6df8.411e.a13b.59eeb8afbf9b..Panc.AdenoCA..DO33000	227	360	197	37	19	0
X5d9ff58c.5702.48fc.a66a.d1276327fd49..Panc.AdenoCA..DO51520	138	416	361	85	83	39
X5f94cb62.4019.47ff.bf6a.eeda8e9e033c..Panc.AdenoCA..DO49129	118	189	140	28	36	16
X60aff7a0.4960.4ed1.922b.3233ccbfdba1..Panc.AdenoCA..DO34336	53	188	135	11	38	1
X60c33e32.7e19.4e71.b075.a63fcf27e660..Panc.AdenoCA..DO49454	41	229	132	23	19	22
X60e78c80.41a5.456a.9a81.9007d18fd72c..Panc.AdenoCA..DO49137	93	277	195	37	35	0
X6297aa77.37a0.4f46.987b.32bd8653c0c2..Panc.AdenoCA..DO51490	83	218	105	38	51	35
X631ab9d0.5400.400c.b0bc.c3e576bcfe06..Panc.AdenoCA..DO49433	68	172	123	11	19	8
X644c669b.937b.4adc.81b9.6a1811cba9da..Panc.AdenoCA..DO49484	106	190	132	13	31	7
X654dba9f.cfe5.4121.97c7.868613cdef53..Panc.AdenoCA..DO33077	22	133	222	22	7	14
X65d2dbc3.a163.4696.b246.47a430e66572..Panc.AdenoCA..DO51514	410	241	143	30	41	57
X66290cc6.1f1f.4a0b.83d1.423952da4840..Panc.AdenoCA..DO49481	48	80	101	10	11	8
X6867811f.ac89.47da.b5dc.1270033c36e7..Panc.AdenoCA..DO49454	60	246	143	25	19	10
X68ba1105.569a.4209.9b45.0e2d64931806..Panc.AdenoCA..DO33152	215	291	137	22	42	6
X6ad44218.d34e.4126.bf56.1be2140cd3fb..Panc.AdenoCA..DO51484	47	239	90	26	64	40
X6b20f942.7b89.497c.8a2e.ccce74d20ca9..Panc.AdenoCA..DO49421	91	289	155	30	26	17
X6bdf00f6.670f.466e.87fb.e853e41f000e..Panc.AdenoCA..DO34504	28	37	215	95	4	0
X6fc0cb07.9713.4355.8543.f85d1c5505c2..Panc.AdenoCA..DO51529	391	714	197	31	46	87
X70dd8453.11d3.4105.a8d0.6a755c52495d..Panc.AdenoCA..DO51540	110	174	148	11	39	13
X71ef8379.03a0.4b81.92c9.1ba666fe4d7a..Panc.AdenoCA..DO49127	81	174	120	12	38	8
X7266ec7b.4824.4b88.910e.e9bfb848d55f..Panc.AdenoCA..DO35290	282	110	191	13	26	12
X72a5e569.99d4.47bc.be1b.6296a5025080..Panc.AdenoCA..DO33264	223	390	149	17	62	9
X72f82fbd.9838.4082.b605.bc3d80226f16..Panc.AdenoCA..DO35116	308	414	405	68	117	122
X73058c80.607e.4b55.b112.8f8f6775d014..Panc.AdenoCA..DO51479	38	104	149	14	15	2
X7410c00d.ed0b.48dc.a4bf.eb76ac613980..Panc.AdenoCA..DO33400	126	254	232	60	70	2
X748d3ff3.8699.4519.8e0f.26b6a0581bff..Panc.AdenoCA..DO32833	50	129	90	20	19	0
X754d26af.f184.497c.856a.cd1ea7a5115c..Panc.AdenoCA..DO51546	27	55	142	32	32	10
X75cd90ef.e884.4812.bbf3.5a524d95147e..Panc.AdenoCA..DO51481	64	150	102	22	20	54
X75fac59c.3346.4c5a.bb9f.fb67fec8d13b..Panc.AdenoCA..DO34264	29	220	152	10	57	12
X78100212.65aa.4365.8b64.4b33f77732d5..Panc.AdenoCA..DO49113	161	390	187	25	53	6
X78103d9b.0b8a.431e.bb58.5c99fbea12e4..Panc.AdenoCA..DO51474	8435	9335	0	1331	2696	237
X7981bbf3.dceb.4d89.900c.555967e97921..Panc.AdenoCA..DO35118	0	214	0	0	5255	0
X7b318282.5df4.42bc.b1e0.0e4a66ba9204..Panc.AdenoCA..DO34720	42	127	90	18	31	3
X7c43c006.d917.4915.b304.65995b6c0d46..Panc.AdenoCA..DO51522	148	87	149	34	12	45
X7cb71498.6ada.43c6.912b.bad4f93cf580..Panc.AdenoCA..DO34905	964	257	0	1250	27	0
X7ccb9a4d.6f48.41c2.a630.27fde8c67d60..Panc.AdenoCA..DO34696	76	251	163	42	27	10
X7ccee959.1e87.4a39.b6b3.840ddcb94995..Panc.AdenoCA..DO51510	81	251	157	853	40	43
X7d04f401.3505.410c.8def.0348ecd8aae2..Panc.AdenoCA..DO51542	172	151	153	15	18	6
X7d7fff91.3f69.4123.b514.140ed3d9cd66..Panc.AdenoCA..DO51488	5	19	62	10	4	29
X7ef9fd9b.d349.4ec3.ab4d.1a1d11c0204b..Panc.AdenoCA..DO35098	30	118	95	18	34	0
X7f42e118.aab6.438a.9e84.e7451fe12d7e..Panc.AdenoCA..DO33168	212	170	180	20	42	0
X7f5fd36f.6e30.45ca.92a5.d8a8a8ee1bc2..Panc.AdenoCA..DO51468	70	242	127	37	48	14
X7fcd8af9.4d73.4c97.95cc.b30b09f21bb2..Panc.AdenoCA..DO32893	51	73	132	9	0	1
X81bc7f0c.865d.4801.a935.2ab04170df53..Panc.AdenoCA..DO35350	143	255	89	1227	47	7
X8282283d.247a.431d.9421.0fcc52f0a897..Panc.AdenoCA..DO221541	174	71	345	1264	6	59
X8454fe53.869d.41c8.b0c8.a7929d00eec3..Panc.AdenoCA..DO32900	240	227	455	135	36	0
X84a6ea88.eeb8.4060.a90c.e4abac013ad4..Panc.AdenoCA..DO32980	61	0	25	363	216	0
X88bc38ba.ad1d.431e.a67e.0a5a23678386..Panc.AdenoCA..DO49181	79	135	130	26	18	2
X88d5a8b2.daba.45ce.90bf.480fac85bf1d..Panc.AdenoCA..DO49168	113	216	117	63	29	1
X89195d56.1ef2.41df.b200.9f18e38f574a..Panc.AdenoCA..DO51507	61	135	130	25	32	22
X8be6b14d.286a.471b.a282.ab98bc6050c3..Panc.AdenoCA..DO51506	85	434	150	18	30	0
X8c233a11.3b2e.4273.bbe1.b5a5f5a351d5..Panc.AdenoCA..DO51477	54	146	81	18	29	60
X8d67c121.37d0.4fc0.a349.2c9452589d65..Panc.AdenoCA..DO34793	166	218	125	25	28	0
X9011cf17.0783.4f9d.b355.4f0fc1a2e78b..Panc.AdenoCA..DO51501	73	190	149	19	19	0
X9078333d.73d3.496a.9fc3.a94353b7e107..Panc.AdenoCA..DO51499	79	168	94	16	34	44
X90b3c237.29a4.48b3.90b3.9f2c0ccb5928..Panc.AdenoCA..DO49193	117	159	180	22	14	6
X91b6fd6b.547a.47e4.8ecb.a6f1826ccfd3..Panc.AdenoCA..DO35216	17	15	71	9	21	0
X92dc0e0c.842f.40de.9c39.486b491ea80a..Panc.AdenoCA..DO33600	145	298	164	28	36	0
X94652d14.2e4d.4f4a.a4f7.8df77df788c0..Panc.AdenoCA..DO51498	107	256	135	18	9	0
X95cc9620.7686.4805.a96c.cf8e659847c3..Panc.AdenoCA..DO51515	44	240	175	43	40	45
X96ba50eb.3c12.41ad.ac7b.d23b2001fe44..Panc.AdenoCA..DO51469	297	135	304	79	10	3
X96cca60e.17dc.44c3.90f7.1b57b0e08e5f..Panc.AdenoCA..DO35228	82	129	146	26	13	0
X97c46ede.b280.4344.8dbb.e860c6472239..Panc.AdenoCA..DO51504	25	143	129	23	13	24
X9c399826.087f.44b9.98c0.bd881646b0f4..Panc.AdenoCA..DO33472	100	188	133	16	29	0
X9c857452.c81d.4b9e.87a8.5b41f4394f7c..Panc.AdenoCA..DO34608	35	63	141	18	8	0
X9df57388.7de1.4c90.910e.ef63a246dff1..Panc.AdenoCA..DO49172	143	216	144	23	23	0
X9ebac79d.8b38.4469.837e.b834725fe6d5..Panc.AdenoCA..DO34640	151	202	187	47	63	11
X9ffe694e.b488.489e.bdbe.0800e505eec4..Panc.AdenoCA..DO49460	260	391	144	27	59	7
a2238b5f.0513.487a.9b1b.7bef85ebf336..Panc.AdenoCA..DO32878	149	141	127	26	26	0
