NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	189.596	75.377	69.647	58.596	0.486	0.784	40000.0
2	190.189	75.583	69.452	58.93	0.485	0.782	20000.0
3	190.175	75.26	69.2	58.433	0.481	0.784	40000.0
4	188.25	74.67	69.84	58.474	0.485	0.784	30000.0
5	191.195	75.789	70.147	58.849	0.486	0.783	30000.0
6	188.52	74.858	69.741	58.474	0.486	0.783	30000.0
7	192.041	76.512	70.549	59.352	0.494	0.779	30000.0
8	204.704	79.778	76.023	64.786	0.519	0.749	30000.0
9	202.595	79.872	76.242	64.422	0.517	0.754	20000.0
10	190.868	75.61	70.334	59.406	0.489	0.784	20000.0
