NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	44.348	18.556	10.96	11.834	0.103	0.99	40000.0
2	42.571	17.587	10.346	10.761	0.103	0.993	80000.0
3	45.164	18.847	10.806	11.579	0.104	0.991	50000.0
4	41.247	16.671	9.737	10.064	0.098	0.993	50000.0
5	45.463	18.181	10.992	11.305	0.098	0.991	60000.0
6	42.543	17.051	10.146	10.557	0.099	0.992	50000.0
7	41.618	17.323	9.613	10.296	0.101	0.993	40000.0
8	42.199	17.509	10.19	10.658	0.101	0.993	40000.0
9	40.774	17.072	9.401	10.198	0.101	0.992	60000.0
10	43.214	17.823	10.155	10.842	0.1	0.992	40000.0
