NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	92.566	36.096	25.79	25.941	0.199	0.952	30000.0
2	80.535	32.452	20.578	22.228	0.191	0.961	30000.0
3	85.121	33.303	22.909	23.434	0.183	0.959	20000.0
4	90.332	34.994	24.997	24.633	0.19	0.957	30000.0
5	89.224	35.274	24.713	25.501	0.189	0.951	30000.0
6	88.493	35.158	24.985	25.299	0.193	0.953	30000.0
7	87.845	34.54	24.542	24.702	0.189	0.957	40000.0
8	80.028	32.064	20.516	22.122	0.187	0.963	30000.0
9	80.919	32.351	20.351	21.926	0.186	0.964	20000.0
10	80.889	32.631	20.263	22.296	0.193	0.96	20000.0
