Signatures,Stability (Avg Silhouette),Minimum Stability,Considerable Solution,P-value,Matrix Frobenius%,Mean Sample L1%,Maximum Sample L1%,Mean Sample L2%,Maximum Sample L2%,Mean Sample KL,Maximum Sample KL,Mean Cosine Distance,Max Cosine Distance,Mean Correlation,Minimum Correlation
2,0.58,0.53,NO,N/A,63.18%,80.53%,138.28%,63.58%,97.88,0.5321,1.2306,0.224,0.567,0.757,0.366
3,0.78,0.67,NO,N/A,45.07%,62.26%,117.18%,51.01%,93.94,0.4145,0.8994,0.147,0.531,0.839,0.406
4,0.75,0.48,NO,N/A,33.58%,46.49%,128.57%,31.27%,79.46,0.3142,1.0578,0.087,0.39,0.904,0.587
5,0.93,0.73,NO,N/A,20.66%,32.29%,84.36%,20.08%,73.78,0.209,0.7006,0.041,0.28,0.954,0.678
6*,1.0,1.0,YES,Most Stab Sigs,14.69%,26.39%,58.98%,16.4%,52.13,0.1457,0.5019,0.021,0.128,0.977,0.855
7,0.76,-0.53,NO,N/A,13.44%,24.98%,67.53%,14.85%,50.73,0.1511,0.489,0.019,0.132,0.979,0.848
8,0.7,-0.14,NO,N/A,12.39%,23.1%,55.44%,13.43%,43.52,0.1439,0.4784,0.016,0.099,0.983,0.885
9,0.63,-0.66,NO,N/A,11.44%,21.96%,52.47%,12.79%,43.34,0.1349,0.4569,0.013,0.099,0.985,0.886
10,0.53,-0.83,NO,N/A,11.72%,22.15%,54.55%,13.11%,43.68,0.1395,0.4627,0.015,0.1,0.984,0.884
11,0.42,-0.87,NO,N/A,12.17%,21.42%,45.15%,12.08%,42.7,0.1352,0.4234,0.013,0.089,0.986,0.898
12,0.47,-0.84,NO,N/A,10.34%,20.34%,48.84%,10.95%,40.14,0.1301,0.4532,0.011,0.083,0.988,0.904
13,0.48,-0.71,NO,N/A,7.71%,17.65%,43.41%,8.44%,42.56,0.1171,0.3603,0.007,0.095,0.992,0.89
14,0.47,-0.78,NO,N/A,7.2%,15.67%,46.06%,7.5%,40.75,0.1115,0.4048,0.006,0.085,0.993,0.902
15,0.47,-0.72,NO,N/A,6.09%,15.12%,38.47%,7.62%,38.71,0.1072,0.37,0.005,0.078,0.995,0.911
16,0.41,-0.67,NO,N/A,6.0%,14.76%,39.61%,7.02%,29.1,0.1059,0.4039,0.004,0.039,0.996,0.957
17,0.39,-0.78,NO,N/A,5.65%,14.67%,40.32%,6.96%,39.14,0.106,0.4,0.004,0.079,0.995,0.909
18,0.39,-0.76,NO,N/A,6.23%,13.9%,48.89%,6.62%,36.26,0.1059,0.3651,0.004,0.055,0.996,0.94
19,0.41,-0.74,NO,N/A,4.87%,12.69%,35.99%,5.73%,31.83,0.0956,0.3325,0.003,0.052,0.996,0.94
20,0.28,-0.81,NO,N/A,5.45%,13.59%,39.35%,6.54%,31.37,0.1009,0.371,0.004,0.047,0.996,0.946
