Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H
X01b0848c.ae36.4ade.a3da.d297b003c99f..Panc.AdenoCA..DO51493	60	355	190	1175	51	0	518	0
X02c97e2b.914e.4afc.bf50.78f0cfbfa67b..Panc.AdenoCA..DO35184	10	76	35	15	14	33	47	4
X02e5c36f.5bec.45e2.a048.875653b85ca1..Panc.AdenoCA..DO34616	58	215	134	18	37	90	24	0
X03c3c692.8a86.4843.85ae.e045f0fa6f88..Panc.AdenoCA..DO32831	317	240	213	499	30	90	117	0
X046d7386.95c8.4501.9e55.c85bec272a7a..Panc.AdenoCA..DO34432	51	63	130	5	3	92	27	4
X05070acd.3ec1.44bb.9c32.26d3a483a72a..Panc.AdenoCA..DO32860	181	167	74	13	55	50	0	0
X0554ffe5.31f7.43f5.8372.2b73c9cf3527..Panc.AdenoCA..DO49076	0	334	97	16	37	69	0	6
X079bcb09.a075.4313.9a3e.dd67734a8c5d..Panc.AdenoCA..DO221540	113	380	260	16	29	1	51	33
X0972bfcf.c6c6.48cc.b820.cdfa6279a4f3..Panc.AdenoCA..DO51467	103	102	0	18	131	124	103	36
X09cb8bc5.13ac.44ac.9b7d.6de143373570..Panc.AdenoCA..DO51524	151	179	10	35	69	112	68	87
X09e1fe3e.bfd8.4175.ac42.0e1bf0ba5523..Panc.AdenoCA..DO51500	147	368	135	25	29	73	9	25
X0b29c893.03bf.4131.b192.c14a2788d411..Panc.AdenoCA..DO49418	600	225	144	25	257	87	81	19
X0cf9bbc2.cbd5.4b64.8d90.cfa416307b39..Panc.AdenoCA..DO33488	70	198	92	24	44	29	175	12
X0efee3f3.313b.44eb.b3b0.af975a1ded82..Panc.AdenoCA..DO49442	0	137	0	22	32	114	56	2
X0fbd94b1.bb34.4620.841b.861a0b5e0c12..Panc.AdenoCA..DO49087	64	154	98	26	25	61	98	8
X0fc63b79.7fff.441d.88fc.922d53c787ab..Panc.AdenoCA..DO51535	18	55	69	7	8	73	53	20
X1168944c.5451.4a18.8758.88bf5723bdd9..Panc.AdenoCA..DO34680	34	54	125	722	100	0	134	0
X129459c1.38be.45da.bb87.18848c97c544..Panc.AdenoCA..DO51536	28	204	165	9	58	57	37	17
X12f038e1.00af.4c64.a2e0.9e63323492ef..Panc.AdenoCA..DO33512	112	161	131	24	19	63	131	0
X1327bbd4.a466.4e26.905f.cf91315f1cc8..Panc.AdenoCA..DO49422	72	127	76	20	32	26	30	4
X1447c8cb.25d4.4092.8919.4df08f898d2d..Panc.AdenoCA..DO32984	149	227	179	11	34	12	18	0
X170ad241.9e24.469b.b7ca.3fd783a89b21..Panc.AdenoCA..DO49430	185	254	121	24	70	50	49	13
X1776f326.b12f.4355.8107.80fa6fcd2159..Panc.AdenoCA..DO51513	30	66	15	10	24	103	61	0
X183b04f5.107f.496c.8e9a.8263dd00cffa..Panc.AdenoCA..DO51491	453	451	322	32	67	72	78	0
X1a0ef226.41a5.4b56.9078.4b7834f0c976..Panc.AdenoCA..DO35376	74	216	14	18	22	80	13	65
X1a841850.fca0.48ab.8c78.db0bd5a64435..Panc.AdenoCA..DO33344	432	400	179	11	64	119	98	0
X1ac54c6e.a1e4.4f3b.b4a5.cdb327e0dca6..Panc.AdenoCA..DO34817	27	250	138	10	69	45	3	0
X1b0fe1d5.b286.4f49.ae92.94d9c6db9657..Panc.AdenoCA..DO35230	179	139	86	17	55	46	16	42
X1c28e44a.6e6c.44ed.b58a.e3262c0e6759..Panc.AdenoCA..DO51544	80	155	10	10	33	68	80	19
X1c9fbe26.1447.4335.aaab.06d6bb3e2741..Panc.AdenoCA..DO49078	73	25	59	14	19	93	37	1
X1e181878.c640.4e91.a620.3fc4b08a4de1..Panc.AdenoCA..DO33008	30	181	4	505	9	118	17	1
