MutationType	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J	ID83K	ID83L	ID83M	ID83N	ID83O	ID83P	ID83Q	ID83R	ID83S
3:Del:M:1	3.64E-09	2.07E-08	2.04E-04	1.91E-04	1.57E-03	2.59E-03	1.13E-03	5.46E-03	5.63E-03	4.14E-04	6.27E-08	6.44E-03	4.74E-04	0.00E+00	8.57E-04	3.78E-03	9.48E-04	1.95E-03	9.27E-04
3:Del:M:2	6.91E-04	3.23E-03	9.45E-04	2.66E-04	0.00E+00	2.04E-03	3.06E-03	1.63E-03	3.42E-03	4.63E-03	3.10E-04	1.40E-07	1.20E-02	1.07E-03	5.17E-03	2.97E-03	8.31E-03	2.36E-03	9.17E-03
4:Del:M:1	3.86E-05	9.77E-04	5.98E-04	3.36E-04	5.61E-04	2.28E-03	3.21E-03	5.67E-04	1.41E-03	2.00E-03	7.93E-04	1.40E-46	3.88E-03	9.95E-03	1.42E-02	3.38E-03	1.91E-03	3.89E-05	3.04E-03
4:Del:M:2	8.52E-05	0.00E+00	2.16E-03	8.19E-04	1.17E-03	9.96E-04	9.41E-04	8.65E-04	1.47E-04	1.51E-03	2.76E-03	1.48E-03	6.11E-04	1.30E-03	6.20E-03	9.19E-04	4.39E-04	3.04E-02	1.05E-02
4:Del:M:3	0.00E+00	6.69E-05	1.01E-04	1.12E-04	7.06E-04	2.91E-04	2.47E-03	1.25E-05	2.11E-07	1.76E-03	1.64E-03	1.62E-03	4.71E-03	1.12E-03	3.88E-04	2.11E-03	4.12E-03	2.34E-03	1.92E-04
5:Del:M:1	4.44E-03	3.77E-46	2.77E-02	5.62E-04	1.87E-46	4.04E-02	9.11E-02	3.51E-02	2.73E-02	3.97E-02	1.58E-02	6.38E-03	3.23E-02	1.73E-02	8.66E-02	4.13E-04	1.86E-02	4.10E-02	1.60E-08
5:Del:M:2	7.20E-07	3.44E-07	2.04E-08	1.49E-06	1.29E-06	1.79E-02	8.78E-03	2.37E-03	2.75E-02	4.00E-03	3.15E-07	1.03E-02	2.53E-02	5.23E-07	3.72E-03	3.94E-07	1.75E-04	6.72E-03	0.00E+00
5:Del:M:3	0.00E+00	2.39E-03	4.04E-07	3.16E-08	5.97E-07	1.45E-02	2.70E-02	3.08E-03	1.16E-02	2.46E-05	1.40E-46	3.83E-03	2.27E-03	5.97E-04	6.98E-04	1.58E-02	1.15E-08	5.04E-03	2.72E-03
5:Del:M:4	1.03E-07	4.26E-04	2.90E-04	2.40E-04	6.26E-07	7.25E-03	1.71E-03	6.74E-04	5.13E-03	2.88E-03	1.46E-03	1.01E-03	2.76E-03	1.89E-03	1.80E-02	3.58E-04	9.13E-04	1.94E-03	1.49E-03
5:Del:M:5	1.33E-08	2.29E-03	3.18E-04	5.96E-04	3.91E-04	4.81E-03	6.66E-03	5.98E-04	5.20E-03	4.91E-04	1.31E-03	1.89E-03	3.15E-03	3.54E-04	0.00E+00	4.10E-07	5.39E-04	4.56E-03	3.10E-03
