Samples	ID83A	ID83B	ID83C	ID83D
V1	1.17E+01	1.24E+01	5.81E+00	6.92E+00
V2	9.43E-01	2.91E+01	2.42E+00	2.79E+01
V3	0.00E+00	2.86E+01	2.75E+01	2.56E+00
V4	0.00E+00	1.18E+00	4.16E-01	1.11E+00
V5	3.86E+00	1.00E+01	4.74E+00	4.31E+00
V6	4.14E+00	3.37E+00	1.87E+00	1.57E+00
V7	6.89E+00	6.77E+00	7.93E+00	5.40E+00
V8	1.47E+01	2.10E+01	1.48E+01	7.58E+00
V9	6.49E+00	7.88E+00	5.88E+00	6.19E-01
V10	1.69E+01	1.96E+01	1.87E+01	2.18E+00
V11	1.05E+01	2.13E+01	1.80E+01	9.66E+00
V12	2.40E+00	3.49E+00	2.97E+00	9.94E-01
V13	3.41E+00	5.16E+00	2.03E+00	1.43E+00
V14	3.49E+00	2.11E+00	2.65E+00	4.22E+00
V15	8.20E+00	7.51E+00	4.62E+00	3.22E+00
V16	6.82E+00	1.03E+01	8.27E+00	1.72E+00
V17	3.12E+00	3.17E+00	1.23E+00	1.74E+00
V18	1.02E+01	1.53E+01	1.69E+01	5.86E-01
V19	2.31E+00	5.47E+00	4.42E+00	1.46E+00
V20	4.74E+00	1.37E+00	4.88E+00	1.46E+00
V21	4.77E+00	7.40E+00	5.87E+00	1.81E+00
V22	5.36E+00	6.18E+00	1.87E+00	3.90E+00
V23	6.00E-01	6.71E-01	8.84E-01	8.33E-01
V24	1.13E+01	1.76E+01	1.86E+01	2.95E+00
V25	1.14E+00	2.64E+00	2.58E+00	1.28E+00
V26	5.58E-01	2.19E+00	0.00E+00	2.24E+00
V27	1.46E+01	2.24E+01	2.22E+01	5.21E-01
V28	8.97E-01	1.27E+01	1.34E+01	2.64E+00
V29	2.71E+00	4.02E+00	2.74E+00	4.67E-01
V30	3.40E+00	1.82E+01	1.22E+01	1.16E+01
V31	6.01E+00	7.41E+00	3.50E+00	0.00E+00
V32	3.82E+00	6.85E+00	5.66E+00	3.28E+00
V33	1.49E+01	1.75E+01	1.54E+01	7.72E-01
V34	2.98E+00	7.78E+00	7.46E+00	2.21E+00
V35	2.63E+01	3.34E+01	3.26E+01	1.06E+00
V36	1.50E+00	1.16E+01	1.09E+01	1.33E+00
V37	0.00E+00	1.23E+00	1.05E+00	2.77E-01
V38	3.47E+00	6.07E+00	8.67E+00	1.90E+00
V39	4.95E+00	6.17E+00	6.70E+00	3.44E+00
V40	1.24E+00	5.36E+00	4.58E+00	5.79E+00
V41	3.22E+00	5.96E+00	7.92E+00	1.01E+00
V42	5.88E+00	5.64E+00	4.87E+00	2.27E+00
V43	1.46E+00	1.80E+00	7.64E-01	1.23E+00
V44	1.68E+01	3.62E+01	3.19E+01	1.52E+01
V45	1.93E+00	1.35E+01	1.44E+01	7.92E-01
V46	4.90E-01	2.17E+00	1.95E+00	1.50E+00
V47	1.26E+01	1.83E+01	1.73E+01	0.00E+00
V48	7.23E+00	2.48E+01	1.92E+01	7.06E-01
V49	3.40E-01	1.82E+01	5.52E+00	1.61E+01
V50	2.89E+00	2.54E+01	2.34E+01	0.00E+00
V51	4.34E+00	3.11E+01	3.04E+01	0.00E+00
V52	2.05E+00	4.14E+00	4.48E+00	3.59E-01
V53	4.97E+00	7.87E+00	6.78E+00	1.90E+00
V54	2.95E+00	2.85E+01	2.90E+01	1.40E+01
V55	9.58E+00	1.66E+01	1.20E+01	6.22E+00
V56	6.46E-01	1.12E+01	1.14E+01	2.34E+00
V57	4.42E+00	3.64E+00	1.71E+00	3.54E+00
V58	3.82E+00	1.57E+01	8.62E+00	1.17E+01
V59	4.04E+00	6.66E+00	5.37E+00	0.00E+00
V60	7.31E-01	6.05E-01	0.00E+00	4.82E-01
V61	2.49E+00	1.84E+01	1.98E+01	0.00E+00
V62	4.42E+00	4.04E+00	3.03E+00	0.00E+00
V63	1.46E+01	9.45E+00	9.60E+00	2.60E-01
V64	2.43E+00	3.34E+00	1.41E+00	3.12E+00
V65	1.05E+01	1.75E+01	1.70E+01	6.00E-01
V66	2.91E-01	3.31E+00	3.44E+00	4.33E+00
V67	0.00E+00	3.92E+00	0.00E+00	3.92E+00
V68	3.39E+00	6.39E+01	6.34E+01	3.24E+00
V69	5.04E-01	1.34E+01	1.25E+01	1.89E+00
V70	1.24E+00	3.42E+00	3.06E+00	1.49E+00
V71	2.61E+01	4.79E+01	3.40E+01	7.37E+00
V72	2.64E+00	1.69E+01	1.74E+01	1.76E+00
V73	2.50E+00	1.39E+01	1.26E+01	4.00E-01
V74	9.00E-01	2.72E+00	1.78E+00	1.99E+00
V75	2.90E+00	1.12E+01	1.00E+01	1.61E+00
V76	1.17E+01	3.47E+01	1.65E+01	2.18E+01
V77	4.00E-01	8.72E-01	8.44E-01	4.23E-01
V78	2.07E+00	7.21E+00	6.89E+00	0.00E+00
V79	2.66E+00	1.02E+01	8.74E+00	3.00E+00
V80	1.06E+01	1.73E+01	1.84E+01	9.40E-01
V81	0.00E+00	9.24E+00	2.69E-01	9.09E+00
V82	3.95E+00	1.75E+01	1.71E+01	4.61E+00
V83	3.70E+00	5.27E+00	1.84E+00	3.29E+00
V84	7.65E+00	4.66E+00	4.83E+00	1.30E+00
V85	6.97E+00	6.49E+00	8.71E+00	2.30E+00
V86	1.52E+00	2.61E+00	3.16E+00	2.20E+00
V87	3.78E+00	4.18E+00	4.24E+00	4.27E+00
V88	5.12E+00	2.09E+01	1.78E+01	2.86E+00
V89	1.86E+00	2.03E+01	1.94E+01	5.20E+00
V90	2.33E+01	3.58E+01	3.85E+01	1.81E+00
V91	3.76E+00	6.07E+00	1.49E+00	3.96E+00
V92	8.52E+00	1.14E+01	4.52E+00	2.02E+00
V93	4.86E+00	7.93E+00	7.14E+00	5.33E+00
V94	3.03E+00	2.50E+00	1.99E+00	2.14E+00
V95	2.57E+00	6.20E+00	3.18E+00	1.85E+00
V96	2.03E+00	7.95E+00	7.47E+00	5.11E+00
V97	1.64E+00	3.79E+00	3.53E+00	1.75E+00
V98	6.64E+00	2.29E+01	1.80E+01	4.48E+00
