Samples	ID83A	ID83B	ID83C
V1	295	0	447
V2	90	119	124
V3	0	307	89
V4	4	2	9
V5	224	0	272
V6	44	201	19
V7	23	61	260
V8	114	216	105
V9	78	55	7
V10	141	194	48
V11	343	446	89
V12	21	15	6
V13	195	0	16
V14	186	0	165
V15	33	37	239
V16	503	0	47
V17	72	0	64
V18	38	272	0
V19	38	49	21
V20	393	174	0
V21	103	26	52
V22	240	0	54
V23	0	73	5
V24	43	126	247
V25	0	153	17
V26	0	0	306
V27	263	42	0
V28	0	176	90
V29	8	47	1
V30	114	119	313
V31	314	0	0
V32	97	87	79
V33	506	9	0
V34	213	53	54
V35	219	169	51
V36	32	86	46
V37	4	14	5
V38	84	68	16
V39	41	8	75
V40	51	74	31
V41	48	75	18
V42	251	62	61
V43	50	4	9
V44	177	87	122
V45	25	106	15
V46	0	79	10
V47	110	104	0
V48	640	182	0
V49	59	40	160
V50	42	302	0
V51	93	229	0
V52	142	32	0
V53	86	0	63
V54	203	317	122
V55	141	40	115
V56	0	212	40
V57	228	0	175
V58	107	0	519
V59	247	30	5
V60	56	0	9
V61	65	149	11
V62	422	43	0
V63	499	147	0
V64	21	168	46
V65	107	25	2
V66	0	66	190
V67	9	3	50
V68	10	480	37
V69	0	77	54
V70	6	24	35
V71	548	98	62
V72	74	146	25
V73	11	141	0
V74	13	26	29
V75	53	86	22
V76	328	120	117
V77	3	9	3
V78	15	172	2
V79	11	37	205
V80	111	156	0
V81	12	0	197
V82	100	205	111
V83	33	121	52
V84	126	297	8
V85	158	161	69
V86	20	37	13
V87	80	0	164
V88	23	367	119
V89	22	150	110
V90	176	130	18
V91	98	20	36
V92	242	54	21
V93	119	161	58
V94	21	31	26
V95	139	11	36
V96	75	84	109
V97	18	7	66
V98	47	364	67
V99	133	0	449
V100	97	50	35
