Samples	ID83A	ID83B
V1	166	0
V2	271	53
V3	183	49
V4	267	102
V5	119	327
V6	255	0
V7	44	140
V8	259	0
V9	140	75
V10	174	58
V11	249	26
V12	232	25
V13	454	201
V14	177	44
V15	138	3
V16	101	0
V17	122	7
V18	247	11
V19	38	28
V20	19	221
V21	133	79
V22	0	655
V23	191	229
V24	20	37
V25	197	0
V26	0	499
V27	181	13
V28	73	203
V29	29	218
V30	208	151
V31	66	4
V32	398	86
V33	31	90
V34	116	398
V35	64	43
V36	150	100
V37	22	25
V38	39	45
V39	243	40
V40	193	32
V41	34	31
V42	133	19
V43	302	327
V44	528	33
V45	104	96
V46	74	6
V47	237	29
V48	160	78
V49	194	278
V50	67	54
V51	565	0
V52	479	31
V53	479	146
V54	213	48
V55	642	1
V56	45	52
V57	116	105
V58	118	156
V59	99	374
V60	25	115
V61	180	4
V62	159	226
V63	186	6
V64	121	0
V65	24	122
V66	185	196
V67	90	201
V68	44	5
V69	111	88
V70	414	4
V71	232	220
V72	0	365
V73	397	71
V74	85	4
V75	8	56
V76	494	0
V77	321	268
V78	0	591
V79	153	235
V80	15	709
V81	265	132
V82	0	258
V83	71	110
V84	160	0
V85	178	105
V86	202	188
V87	0	731
V88	78	92
V89	126	76
V90	112	292
V91	121	75
V92	355	103
V93	82	69
V94	226	3
V95	233	181
V96	41	180
V97	166	69
V98	173	56
V99	35	209
V100	400	256
