Samples	ID83A	ID83B
V1	461	281
V2	299	34
V3	0	396
V4	12	3
V5	291	205
V6	39	225
V7	104	240
V8	269	166
V9	116	24
V10	218	165
V11	561	317
V12	32	10
V13	211	0
V14	244	107
V15	103	206
V16	550	0
V17	101	35
V18	51	259
V19	40	68
V20	491	76
V21	143	38
V22	294	0
V23	0	78
V24	114	302
V25	0	170
V26	79	227
V27	305	0
V28	27	239
V29	2	54
V30	216	330
V31	314	0
V32	153	110
V33	515	0
V34	252	68
V35	359	80
V36	25	139
V37	12	11
V38	137	31
V39	88	36
V40	116	40
V41	85	56
V42	333	41
V43	63	0
V44	369	17
V45	50	96
V46	18	71
V47	177	37
V48	791	31
V49	195	64
V50	31	313
V51	65	257
V52	174	0
V53	121	28
V54	411	231
V55	245	51
V56	0	252
V57	311	92
V58	266	360
V59	282	0
V60	65	0
V61	98	127
V62	465	0
V63	646	0
V64	39	196
V65	134	0
V66	37	219
V67	41	21
V68	0	527
V69	0	131
V70	11	54
V71	708	0
V72	79	166
V73	0	152
V74	36	32
V75	72	89
V76	565	0
V77	4	11
V78	18	171
V79	42	211
V80	173	94
V81	107	102
V82	159	257
V83	94	112
V84	142	289
V85	214	174
V86	49	21
V87	128	116
V88	19	490
V89	66	216
V90	287	37
V91	153	1
V92	317	0
V93	243	95
V94	39	39
V95	186	0
V96	148	120
V97	28	63
V98	117	361
V99	267	315
V100	182	0
