Samples	ID83A	ID83B
V1	5.41E+01	5.41E+01
V2	4.52E+01	4.52E+01
V3	3.05E+01	3.05E+01
V4	1.96E+00	1.96E+00
V5	2.94E+01	2.94E+01
V6	1.81E+01	1.81E+01
V7	2.25E+01	2.25E+01
V8	2.26E+01	2.26E+01
V9	7.59E+00	7.59E+00
V10	2.46E+01	2.46E+01
V11	4.24E+01	4.24E+01
V12	3.35E+00	3.35E+00
V13	1.96E+00	1.96E+00
V14	1.82E+01	1.82E+01
V15	2.08E+01	2.08E+01
V16	6.79E+00	6.79E+00
V17	7.65E+00	7.65E+00
V18	3.34E+01	3.34E+01
V19	5.71E+00	5.71E+00
V20	2.15E+01	2.15E+01
V21	4.26E+00	4.26E+00
V22	6.56E+00	6.56E+00
V23	8.44E+00	8.44E+00
V24	2.11E+01	2.11E+01
V25	1.52E+01	1.52E+01
V26	5.07E+01	5.07E+01
V27	7.62E+00	7.62E+00
V28	1.70E+01	1.70E+01
V29	4.29E+00	4.29E+00
V30	2.98E+01	2.98E+01
V31	1.65E+00	1.65E+00
V32	8.89E+00	8.89E+00
V33	3.14E+00	3.14E+00
V34	4.37E+00	4.41E+00
V35	2.83E+01	2.83E+01
V36	8.78E+00	8.78E+00
V37	1.83E+00	1.83E+00
V38	8.77E+00	8.77E+00
V39	8.81E+00	8.81E+00
V40	9.96E+00	9.96E+00
V41	8.35E+00	8.35E+00
V42	6.73E+00	6.73E+00
V43	1.69E+00	1.69E+00
V44	1.84E+01	1.84E+01
V45	1.15E+01	1.15E+01
V46	8.46E+00	8.46E+00
V47	1.82E+01	1.82E+01
V48	2.32E+01	2.32E+01
V49	2.85E+01	2.85E+01
V50	2.67E+01	2.67E+01
V51	2.10E+01	2.10E+01
V52	4.07E+00	4.07E+00
V53	6.79E+00	6.79E+00
V54	3.83E+01	3.83E+01
V55	1.02E+01	1.02E+01
V56	1.97E+01	1.97E+01
V57	2.24E+01	2.24E+01
V58	6.30E+01	6.30E+01
V59	5.52E+00	5.52E+00
V60	1.40E+00	1.40E+00
V61	1.55E+01	1.55E+01
V62	1.15E+01	1.15E+01
V63	2.17E+01	2.17E+01
V64	1.42E+01	1.42E+01
V65	8.20E+00	8.20E+00
V66	1.90E+01	1.90E+01
V67	8.59E+00	8.59E+00
V68	3.68E+01	3.68E+01
V69	8.68E+00	8.68E+00
V70	3.93E+00	3.93E+00
V71	8.84E+00	8.84E+00
V72	1.30E+01	1.30E+01
V73	1.18E+01	1.18E+01
V74	4.03E+00	4.03E+00
V75	8.16E+00	8.16E+00
V76	2.64E+01	2.64E+01
V77	1.56E+00	1.56E+00
V78	1.51E+01	1.51E+01
V79	1.44E+01	1.44E+01
V80	1.78E+01	1.78E+01
V81	3.19E+01	3.19E+01
V82	1.77E+01	1.77E+01
V83	1.22E+01	1.22E+01
V84	3.05E+01	3.05E+01
V85	1.30E+01	1.30E+01
V86	5.50E+00	5.50E+00
V87	1.79E+01	1.79E+01
V88	3.09E+01	3.09E+01
V89	1.66E+01	1.66E+01
V90	2.74E+01	2.74E+01
V91	5.15E+00	5.15E+00
V92	6.96E+00	6.96E+00
V93	2.07E+01	2.07E+01
V94	4.00E+00	3.99E+00
V95	1.91E+00	1.91E+00
V96	1.16E+01	1.16E+01
V97	6.08E+00	6.08E+00
V98	3.07E+01	3.07E+01
V99	6.60E+01	6.60E+01
V100	5.77E+00	5.77E+00
