Samples	ID83A	ID83B	ID83C	ID83D	ID83E	ID83F	ID83G	ID83H	ID83I	ID83J
V67	2.46E+00	3.86E+00	1.98E+00	3.27E+00	1.33E-01	6.05E-01	2.72E+00	5.55E+00	7.89E+00	6.33E+00
V68	2.49E+00	4.83E+00	5.33E-01	1.06E+01	4.98E+00	3.40E+00	3.46E+00	1.30E+01	4.96E+00	7.04E+00
V69	2.46E+00	7.95E-01	0.00E+00	5.29E+00	9.89E-01	0.00E+00	0.00E+00	6.46E+00	6.36E+00	6.18E+00
V70	1.07E+00	1.67E+00	1.99E+00	2.69E-01	0.00E+00	2.30E+00	1.57E+00	8.94E-01	1.12E+00	8.79E-01
V71	1.19E+00	2.83E+00	4.27E-01	4.65E+00	1.17E+01	6.51E-01	1.00E-01	4.52E+00	3.32E+00	1.14E+01
V72	5.42E-01	2.13E-01	5.66E+00	3.07E+01	2.60E-01	2.77E-01	3.10E+00	3.00E+01	1.68E+01	1.39E+01
V73	0.00E+00	1.32E+00	3.71E+00	5.53E+00	1.18E+00	4.87E+00	6.90E+00	6.09E+00	6.18E+00	3.72E+00
V74	2.37E+00	4.49E+00	8.43E-01	3.08E+00	4.66E+00	6.84E-01	1.09E+00	1.00E-01	2.28E+00	5.88E+00
V75	5.84E+00	2.65E+00	1.49E+00	3.31E+00	1.63E+00	8.60E+00	1.08E+01	2.12E+00	2.23E+00	1.96E+00
V76	1.30E+00	1.27E+00	0.00E+00	1.23E+00	3.65E+00	2.10E+00	2.90E+00	0.00E+00	1.51E+00	3.83E+00
V77	5.97E-01	0.00E+00	1.40E+00	5.59E-01	9.64E-01	3.14E-01	0.00E+00	1.00E-01	5.17E-01	0.00E+00
V78	1.83E+00	1.32E+00	1.39E+00	1.80E+00	1.56E+00	0.00E+00	2.69E-01	1.78E+00	2.69E+00	1.19E+00
V79	2.86E+00	0.00E+00	2.72E+00	4.28E+00	6.90E-01	7.90E-01	2.47E+00	3.02E+00	2.63E+00	4.65E+00
V80	3.52E+00	1.67E+00	9.00E-01	5.43E+00	6.96E-01	4.73E+00	6.42E+00	6.59E+00	4.32E+00	5.10E+00
V81	1.04E+00	9.80E-01	2.70E+00	7.46E+00	0.00E+00	1.56E+00	2.13E+00	6.30E+00	2.13E+00	4.22E+00
V82	4.52E-01	1.03E+00	3.59E-01	3.68E+00	3.67E-01	2.32E+00	2.34E+00	3.45E+00	2.47E+00	1.51E+00
V83	1.44E+00	2.21E-01	8.92E-01	1.96E+00	0.00E+00	3.58E+00	3.76E+00	4.36E+00	4.23E+00	3.77E+00
V84	0.00E+00	3.48E+00	0.00E+00	5.93E-01	3.33E+00	0.00E+00	0.00E+00	7.92E-01	1.67E+00	4.50E+00
V85	3.27E-01	1.94E+00	0.00E+00	4.33E-01	3.71E+00	1.00E-01	6.18E-01	7.75E-01	5.42E-01	2.98E+00
V86	1.60E+00	7.57E-01	8.69E-01	1.32E+00	9.04E-01	2.31E+00	3.50E+00	7.00E-01	0.00E+00	1.41E+00
V87	1.08E+00	2.11E-01	8.31E-01	2.72E+00	0.00E+00	1.41E+00	1.94E+00	4.08E+00	1.89E+00	3.27E+00
V88	2.24E+00	5.10E+00	2.98E-01	5.82E+00	8.11E+00	2.16E+00	6.00E-01	3.83E+00	5.28E+00	9.40E+00
V89	1.45E+00	5.96E-01	1.95E+00	6.70E-01	4.27E-01	5.02E+00	4.40E+00	5.00E-01	1.05E+00	1.80E+00
V90	6.14E+00	4.16E+00	8.85E-01	2.38E+00	1.39E+00	2.79E+00	5.91E+00	2.37E+00	2.52E+00	6.51E+00
V91	0.00E+00	3.53E+00	1.72E+00	2.19E+00	0.00E+00	3.04E+00	3.27E+00	2.83E+00	3.02E+00	4.41E+00
V92	9.67E-01	4.22E+00	8.17E-01	0.00E+00	4.08E+00	0.00E+00	1.00E+00	3.05E+00	7.48E-01	4.90E+00
V93	1.69E+00	3.62E+00	2.05E+00	3.06E-01	7.76E+00	3.35E+00	3.81E+00	2.28E+00	1.54E+00	8.74E+00
V94	6.07E+00	1.12E+00	1.09E+00	3.91E+00	1.58E+00	5.00E+00	7.43E+00	9.39E+00	7.86E+00	9.10E+00
V95	4.76E-01	8.95E-01	2.04E+00	1.66E+00	0.00E+00	5.22E+00	4.99E+00	1.43E+00	1.16E+00	6.11E-01
V96	4.52E-01	1.53E+00	9.04E-01	1.19E+00	8.72E-01	2.21E+00	2.59E+00	1.37E+00	1.91E+00	4.00E-01
V97	3.42E-01	1.15E+00	2.28E+00	7.30E-01	1.51E+00	2.48E+00	1.73E+00	2.67E-01	1.19E+00	5.17E-01
V98	1.50E+00	3.59E+00	2.04E+00	9.33E-01	2.69E+00	5.00E-01	2.13E-01	8.62E-01	3.42E-01	4.39E+00
V99	3.46E+00	4.32E+00	1.03E+00	1.94E+00	1.02E+00	4.76E+00	5.80E+00	2.77E+00	2.79E+00	3.86E+00
V100	2.74E+00	3.19E+00	9.55E-01	0.00E+00	3.60E+00	2.33E-01	0.00E+00	1.80E+00	2.07E+00	5.41E+00
