Samples	ID83A	ID83B
V1	163	61
V2	45	272
V3	145	199
V4	83	188
V5	196	0
V6	197	598
V7	218	102
V8	273	17
V9	258	6
V10	391	119
V11	314	231
V12	110	85
V13	0	684
V14	147	126
V15	460	240
V16	252	320
V17	70	211
V18	158	15
V19	27	25
V20	38	9
V21	514	0
V22	540	124
V23	105	193
V24	231	238
V25	694	103
V26	76	100
V27	42	288
V28	211	0
V29	0	287
V30	0	531
V31	96	211
V32	515	0
V33	243	189
V34	284	0
V35	401	104
V36	73	98
V37	112	30
V38	507	0
V39	86	144
V40	141	474
V41	301	0
V42	622	185
V43	0	113
V44	190	0
V45	32	143
V46	379	0
V47	248	0
V48	57	334
V49	14	524
V50	147	204
V51	22	191
V52	242	207
V53	184	220
V54	167	78
V55	142	58
V56	30	75
V57	138	583
V58	149	29
V59	243	109
V60	317	202
V61	157	79
V62	262	38
V63	220	0
V64	408	16
V65	96	72
V66	476	0
V67	342	12
V68	151	124
V69	495	152
V70	466	78
V71	103	30
V72	63	281
V73	12	137
V74	157	287
V75	365	0
V76	83	6
V77	143	50
V78	359	0
V79	441	81
V80	85	153
V81	25	254
V82	32	45
V83	0	218
V84	339	44
V85	232	26
V86	324	83
V87	245	0
V88	143	286
V89	171	62
V90	74	228
V91	54	105
V92	182	67
V93	34	637
V94	82	0
V95	195	121
V96	74	25
V97	121	19
V98	656	0
V99	583	41
V100	43	50
