NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	43.621	17.439	10.353	10.505	0.108	0.992	80000.0
2	44.984	18.144	10.412	10.752	0.11	0.992	100000.0
3	43.818	17.758	10.191	10.557	0.108	0.992	40000.0
4	47.893	19.177	11.871	11.827	0.111	0.991	40000.0
5	43.563	17.481	10.495	10.587	0.108	0.993	50000.0
6	44.863	17.919	10.992	11.017	0.104	0.992	50000.0
7	43.424	17.151	10.46	10.523	0.101	0.992	30000.0
8	44.528	18.095	10.65	11.004	0.112	0.991	70000.0
9	46.782	18.922	11.826	12.289	0.111	0.989	30000.0
10	42.66	17.395	9.741	9.961	0.111	0.994	50000.0
